"lon","lat","acronym","scientific_name","source"
12.582868,41.876575,"ALLAMP","Allium ampeloprasum L.","gbif"
3.069198,43.316255,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.150407,51.616389,"ALLAMP","Allium ampeloprasum L.","gbif"
3.166809,39.755638,"ALLAMP","Allium ampeloprasum L.","gbif"
3.228264,39.735771,"ALLAMP","Allium ampeloprasum L.","gbif"
1.417048,43.638226,"ALLAMP","Allium ampeloprasum L.","gbif"
4.4299,51.1447,"ALLAMP","Allium ampeloprasum L.","gbif"
4.50877,50.86762,"ALLAMP","Allium ampeloprasum L.","gbif"
-3.61053,37.207266,"ALLAMP","Allium ampeloprasum L.","gbif"
2.875837,43.166413,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.971119,45.73314,"ALLAMP","Allium ampeloprasum L.","gbif"
13.025,55.725,"ALLAMP","Allium ampeloprasum L.","gbif"
14.043045,37.466945,"ALLAMP","Allium ampeloprasum L.","gbif"
-9.100166,38.949631,"ALLAMP","Allium ampeloprasum L.","gbif"
-8.887157,39.215573,"ALLAMP","Allium ampeloprasum L.","gbif"
23.749342,37.887816,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.971872,50.178099,"ALLAMP","Allium ampeloprasum L.","gbif"
-9.085748,38.635568,"ALLAMP","Allium ampeloprasum L.","gbif"
-7.979445,38.237075,"ALLAMP","Allium ampeloprasum L.","gbif"
2.778165,41.904819,"ALLAMP","Allium ampeloprasum L.","gbif"
11.875,57.625,"ALLAMP","Allium ampeloprasum L.","gbif"
24.011664,37.919147,"ALLAMP","Allium ampeloprasum L.","gbif"
-8.613935,39.515646,"ALLAMP","Allium ampeloprasum L.","gbif"
-8.88853,39.217463,"ALLAMP","Allium ampeloprasum L.","gbif"
12.502738,41.989899,"ALLAMP","Allium ampeloprasum L.","gbif"
33.475,44.525,"ALLAMP","Allium ampeloprasum L.","gbif"
10.425,59.625,"ALLAMP","Allium ampeloprasum L.","gbif"
-3.719583,40.45118,"ALLAMP","Allium ampeloprasum L.","gbif"
-8.719086,39.7642,"ALLAMP","Allium ampeloprasum L.","gbif"
11.195172,42.428045,"ALLAMP","Allium ampeloprasum L.","gbif"
33.475,44.575,"ALLAMP","Allium ampeloprasum L.","gbif"
-9.33596,39.343163,"ALLAMP","Allium ampeloprasum L.","gbif"
-7.425256,39.285418,"ALLAMP","Allium ampeloprasum L.","gbif"
3.149986,39.766457,"ALLAMP","Allium ampeloprasum L.","gbif"
9.15102,44.39372,"ALLAMP","Allium ampeloprasum L.","gbif"
9.99044,44.101096,"ALLAMP","Allium ampeloprasum L.","gbif"
-2.907058,37.78861,"ALLAMP","Allium ampeloprasum L.","gbif"
-2.268068,53.448281,"ALLAMP","Allium ampeloprasum L.","gbif"
7.654348,43.830721,"ALLAMP","Allium ampeloprasum L.","gbif"
2.56885,43.30329,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.741008,39.119415,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.739141,39.118989,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.044393,39.970539,"ALLAMP","Allium ampeloprasum L.","gbif"
-3.170602,40.63284,"ALLAMP","Allium ampeloprasum L.","gbif"
9.08058,45.695972,"ALLAMP","Allium ampeloprasum L.","gbif"
-3.660319,40.382402,"ALLAMP","Allium ampeloprasum L.","gbif"
0.086848,38.798641,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.492778,39.518611,"ALLAMP","Allium ampeloprasum L.","gbif"
2.268693,48.847027,"ALLAMP","Allium ampeloprasum L.","gbif"
7.451091,48.493132,"ALLAMP","Allium ampeloprasum L.","gbif"
0.992114,47.410173,"ALLAMP","Allium ampeloprasum L.","gbif"
15.072699,37.411407,"ALLAMP","Allium ampeloprasum L.","gbif"
0.033622,38.759983,"ALLAMP","Allium ampeloprasum L.","gbif"
-9.139073,38.598164,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.974999999999998,50.825,"ALLAMP","Allium ampeloprasum L.","gbif"
-9.225833,38.731945,"ALLAMP","Allium ampeloprasum L.","gbif"
-8.913363,38.566892,"ALLAMP","Allium ampeloprasum L.","gbif"
20.685167,38.845993,"ALLAMP","Allium ampeloprasum L.","gbif"
20.711543,38.790397,"ALLAMP","Allium ampeloprasum L.","gbif"
20.720394,38.799054,"ALLAMP","Allium ampeloprasum L.","gbif"
16.693285,56.688103,"ALLAMP","Allium ampeloprasum L.","gbif"
-7.438388,37.213274,"ALLAMP","Allium ampeloprasum L.","gbif"
5.04153,43.55485,"ALLAMP","Allium ampeloprasum L.","gbif"
2.93875,42.94435,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.79028,53.656756,"ALLAMP","Allium ampeloprasum L.","gbif"
13.40118,43.138734,"ALLAMP","Allium ampeloprasum L.","gbif"
3.122512,45.800133,"ALLAMP","Allium ampeloprasum L.","gbif"
-3.779835,37.766552,"ALLAMP","Allium ampeloprasum L.","gbif"
12.794873,41.963367,"ALLAMP","Allium ampeloprasum L.","gbif"
3.116007,39.813437,"ALLAMP","Allium ampeloprasum L.","gbif"
1.436778,43.623868,"ALLAMP","Allium ampeloprasum L.","gbif"
2.950972,42.679745,"ALLAMP","Allium ampeloprasum L.","gbif"
14.621674,50.116607,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.978887,51.349909,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.951922,46.329648,"ALLAMP","Allium ampeloprasum L.","gbif"
3.46495,39.712245,"ALLAMP","Allium ampeloprasum L.","gbif"
2.3525,48.773611,"ALLAMP","Allium ampeloprasum L.","gbif"
3.090235,50.647475,"ALLAMP","Allium ampeloprasum L.","gbif"
3.875218,43.637682,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.617198,51.492291,"ALLAMP","Allium ampeloprasum L.","gbif"
4.730921,45.784565,"ALLAMP","Allium ampeloprasum L.","gbif"
2.338056,48.818889,"ALLAMP","Allium ampeloprasum L.","gbif"
2.341646,48.682138,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.165817,39.877641,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.769241,38.375652,"ALLAMP","Allium ampeloprasum L.","gbif"
4.851089,45.781822,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.928615,48.293336,"ALLAMP","Allium ampeloprasum L.","gbif"
2.513221,48.850311,"ALLAMP","Allium ampeloprasum L.","gbif"
6.566227,45.452564,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.005022,38.744652,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.059167,50.807222,"ALLAMP","Allium ampeloprasum L.","gbif"
6.16578,48.698521,"ALLAMP","Allium ampeloprasum L.","gbif"
14.252729,37.059307,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.595129,38.188428,"ALLAMP","Allium ampeloprasum L.","gbif"
1.533274,49.074901,"ALLAMP","Allium ampeloprasum L.","gbif"
2.406165,48.840718,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.938611,52.417778,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.551031,39.592103,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.099023,51.343945,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.998582,52.129414,"ALLAMP","Allium ampeloprasum L.","gbif"
1.451689,38.946119,"ALLAMP","Allium ampeloprasum L.","gbif"
-3.63418,40.439931,"ALLAMP","Allium ampeloprasum L.","gbif"
0.120784,44.315776,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.493611,50.919722,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.504726,38.345004,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.155833,51.485833,"ALLAMP","Allium ampeloprasum L.","gbif"
1.240154,43.54649,"ALLAMP","Allium ampeloprasum L.","gbif"
13.025,55.625,"ALLAMP","Allium ampeloprasum L.","gbif"
1.168743,41.312316,"ALLAMP","Allium ampeloprasum L.","gbif"
-2.610473,53.390613,"ALLAMP","Allium ampeloprasum L.","gbif"
