"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"5762058",,"40/2012 A","20120801","10","Portugal, Guarda","9"
"5762061",,"42/2012 A","20120802","10","Portugal, Bragança","9"
"5762063",,"37/2012 B","20120913","10","Portugal, Vila Real","9"
"5762151",,"174/2009 B","20090618","10","Portugal, Beja","9"
"5762155",,"2/2010 C","20100706","10","Portugal, Portalegre","9"
"5762163",,"11/2010 C","20100706","10","Portugal, Portalegre","9"
"5762168",,"175/2009 B","20090618","10","Portugal, Beja","9"
"5762169",,"20/2010 C","20100707","10","Portugal, Portalegre","9"
"5762172",,"7/2005 A","20050616","10","Portugal, Faro","9"
"5762178",,"4/2009 E","20090929","10","Portugal, Évora","9"
"5762181",,"54/2009 E","20090930","10","Portugal, Beja","9"
"5762185",,"90/2009 B","20090616","10","Portugal, Évora","9"
"5762186",,"63/2009 B","20090616","10","Portugal, Évora","9"
"5762189",,"51/2009 B","20090616","10","Portugal, Évora","9"
"5762191",,"14/2009 E","20090929","10","Portugal, Évora","9"
"5762193",,"30/2009 E","20090930","10","Portugal, Beja","9"
"5762194",,"39/2009 E","20090930","10","Portugal, Beja","9"
"5762242",,"1/2010 D","20100920","10","Portugal, Portalegre","9"
"5762251",,"32/2010 C","20100707","10","Portugal, Portalegre","9"
"5762252",,"57/2010 D","20100923","10","Portugal, Portalegre","9"
"5762254",,"31/2010 C","20100707","10","Portugal, Évora","9"
"6407261",,"S062",,"61","Ghabaat Elfrul'loq, Kassab15S","1"
"6407262",,"G116",,"10","Kallithea 2W, Thivai 14E,","1"
"6407263",,"S069",,"23","Kassab, Latakia 65N","1"
"6407264",,"T015A",,"","Ovacik 4E, Dikili 14E","1"
"6407265",,,,"40",,"1"
"6407266",,,,"40",,"1"
"6407267",,,,"40",,"1"
"6407269",,,,"40",,"1"
"6407271",,,,"40",,"1"
"6407272",,,,"40",,"1"
"6407274",,,,"40",,"1"
"6506264",,"G085",,"61","Strefio 2W,  Pirgos 12 E, Peloponnese","0"
"6506520",,"G137",,"24","Kastraki 0,5N, KalaNmbaka 2, toward Meteora","0"
"6506574",,"G099",,"22","Leonidio 2W, toward Sparta, Peloponnese","0"
"6506575",,"G083",,"22","Monodendri 0,4 W, Patra 10S, Peloponnese","0"
"6506885",,,,"40",,"0"
"6507032",,,,"40",,"0"
"6507038",,"G106",,"22","Pirgiotika 1W, Navplion 7E,  toward Eipidaurus, Peloponnese","0"
"6507112",,"S077",,"12","Halwah, Rabi'ah 4W","0"
