"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"5762058","","","199.0",,"",,"0"
"5762061","","","671.0",,"",,"0"
"5762063","","","105.0",,"",,"0"
"5762151","","","235.0",,"",,"0"
"5762155","","","249.0",,"",,"0"
"5762163","","","596.0",,"",,"0"
"5762168","","","235.0",,"",,"0"
"5762169","","","278.0",,"",,"0"
"5762172","","","20.0",,"",,"0"
"5762178","","","420.0",,"",,"0"
"5762181","","","180.0",,"",,"0"
"5762185","","","330.0",,"",,"0"
"5762186","","","250.0",,"",,"0"
"5762189","","","255.0",,"",,"0"
"5762191","","","246.0",,"",,"0"
"5762193","","","153.0",,"",,"0"
"5762194","","","240.0",,"",,"0"
"5762242","","","391.0",,"",,"0"
"5762251","","","259.0",,"",,"0"
"5762252","","","281.0",,"",,"0"
"5762254","","","250.0",,"",,"0"
"6407261","35.85","36.0","590.0",,"",,"0"
"6407262","38.316667","23.416667","310.0",,"",,"0"
"6407263","35.916667","35.95","800.0",,"",,"0"
"6407264","39.066667","27.033333","39.0",,"",,"0"
"6506264","37.666667","21.533333","40.0",,"",,"0"
"6506520","39.716667","21.616667","260.0",,"",,"0"
"6506574","37.166667","22.85","",,"",,"0"
"6506575","38.183333","21.683333","20.0",,"",,"0"
"6507038","37.583333","22.883333","100.0",,"",,"0"
"6507112","35.783333","36.0","400.0",,"",,"0"
