"genesysId","instCode","name","aliasType","lang","version"
"5762058",,"Alho porro bravo","ACCENAME",,"0"
"5762058",,"40/2012 A","COLLNUMB",,"0"
"5762061",,"Alho porro bravo","ACCENAME",,"0"
"5762061",,"42/2012 A","COLLNUMB",,"0"
"5762063",,"Alho porro bravo","ACCENAME",,"0"
"5762063",,"37/2012 B","COLLNUMB",,"0"
"5762151",,"Alho porro bravo","ACCENAME",,"0"
"5762151",,"174/2009 B","COLLNUMB",,"0"
"5762155",,"Alho porro bravo","ACCENAME",,"0"
"5762155",,"2/2010 C","COLLNUMB",,"0"
"5762163",,"Alho porro bravo","ACCENAME",,"0"
"5762163",,"11/2010 C","COLLNUMB",,"0"
"5762168",,"Alho porro bravo","ACCENAME",,"0"
"5762168",,"175/2009 B","COLLNUMB",,"0"
"5762169",,"Alho porro bravo","ACCENAME",,"0"
"5762169",,"20/2010 C","COLLNUMB",,"0"
"5762172",,"Alho porro bravo","ACCENAME",,"0"
"5762172",,"7/2005 A","COLLNUMB",,"0"
"5762178",,"Alho porro bravo","ACCENAME",,"0"
"5762178",,"4/2009 E","COLLNUMB",,"0"
"5762181",,"Alho porro bravo","ACCENAME",,"0"
"5762181",,"54/2009 E","COLLNUMB",,"0"
"5762185",,"Alho porro bravo","ACCENAME",,"0"
"5762185",,"90/2009 B","COLLNUMB",,"0"
"5762186",,"Alho porro bravo","ACCENAME",,"0"
"5762186",,"63/2009 B","COLLNUMB",,"0"
"5762189",,"Alho porro bravo","ACCENAME",,"0"
"5762189",,"51/2009 B","COLLNUMB",,"0"
"5762191",,"Alho porro bravo","ACCENAME",,"0"
"5762191",,"14/2009 E","COLLNUMB",,"0"
"5762193",,"Alho porro bravo","ACCENAME",,"0"
"5762193",,"30/2009 E","COLLNUMB",,"0"
"5762194",,"Alho porro bravo","ACCENAME",,"0"
"5762194",,"39/2009 E","COLLNUMB",,"0"
"5762242",,"Alho porro bravo","ACCENAME",,"0"
"5762242",,"1/2010 D","COLLNUMB",,"0"
"5762251",,"Alho porro bravo","ACCENAME",,"0"
"5762251",,"32/2010 C","COLLNUMB",,"0"
"5762252",,"Alho porro bravo","ACCENAME",,"0"
"5762252",,"57/2010 D","COLLNUMB",,"0"
"5762254",,"Alho porro bravo","ACCENAME",,"0"
"5762254",,"31/2010 C","COLLNUMB",,"0"
"6407261",,"S062","ACCENAME",,"0"
"6407261",,"S062","COLLNUMB",,"0"
"6407262",,"G116","ACCENAME",,"0"
"6407262",,"G116","COLLNUMB",,"0"
"6407263",,"S069","ACCENAME",,"0"
"6407263",,"S069","COLLNUMB",,"0"
"6407264",,"T015A","ACCENAME",,"0"
"6407264",,"T015A","COLLNUMB",,"0"
"6506264",,"G085","ACCENAME",,"0"
"6506264",,"G085","COLLNUMB",,"0"
"6506520",,"G137","ACCENAME",,"0"
"6506520",,"G137","COLLNUMB",,"0"
"6506574",,"G099","ACCENAME",,"0"
"6506574",,"G099","COLLNUMB",,"0"
"6506575",,"G083","ACCENAME",,"0"
"6506575",,"G083","COLLNUMB",,"0"
"6507038",,"G106","ACCENAME",,"0"
"6507038",,"G106","COLLNUMB",,"0"
"6507112",,"Basle Al. Kafer","ACCENAME",,"0"
"6507112",,"S077","COLLNUMB",,"0"
