"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"252600",,,"19920628","10","Off seaside road 1km N of Albena.","1"
"474509",,"B92-239","19920704","10","Upon hill above Albena.","1"
"3310344",,,"2001----","","Vasser, Tjøme","2"
"3321256",,,,"","Kharkov","0"
"3322707",,"BFS9034","1990----","21","Dagestan. Tabasaran, Kurkak, S., 2 km to Sijka","17"
"3807727",,"LEB-322","20040929","10",,"2"
"3817277",,"NONE","19980902","10",,"4"
"4033114","BGR-87","12","19870609","10","Arkutino, westlich der Ropotamo-Mündung","3"
"4033137","BGR-87/2","26","19870621","10","Plovdiv, Park Otdich i Kultura","21"
"4533584",,"675","20090704","10",,"1"
"4890143",,"NO-02-0001-2011","2011----","10","Sachsen-Anhalt;  Stendal","20"
"4892827","SRBHARPKE-2013",,"20130616","10","Gredelicka gorge near Vladicin Han along E75 main road","1"
"5615562",,"Alsc0201310711","20110731","11","Mount Hermon","12"
"5716351",,,"20140618","62","A, Bgld, field margin from Oggau to St. Margarethener Steinbruch","25"
"6421334",,"2008JOR22-6","20080624","","Ma'an","0"
"6506958",,"150/89","1989----","","Biale Karpaty","0"
