"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"252600","1470dcb3-89f1-48d4-8768-9b1599dd4c0d","USA022","PI 576936",,"Allium","scorodoprasum","L.","","","Allium scorodoprasum L.","BGR","10","19920824","","true","false","10;99","100",,"","","","2014-07-23 10:49:55"
"474509","3f047b79-8caf-40c9-abd1-9cf1a6e71b33","USA022","W6 10741",,"Allium","scorodoprasum","L.","","","Allium scorodoprasum L.","BGR","10","19920824","","false","false","10","100",,"","","","2014-07-23 10:50:11"
"3310344","981596e0-98aa-4f88-ac36-1b0ba9685072","SWE054","NGB16236",,"Allium","scorodoprasum","L.","","","Allium scorodoprasum L.","NOR",,"20060112","false","","false","13","100",,"","","1285","2020-05-11 11:44:54"
"3321256","678917a0-4ad7-4e36-b62d-bf62dd34846e","NLD037","CGN24145","10.18730/1P6A=","Allium","scorodoprasum ssp.jajlae","Vved.","","","Allium scorodoprasum ssp.jajlae Vved.",,,"19981202","false","","false","12;13","100","GBR006","","","1285","2020-05-11 10:17:52"
"3322707","43d6e6e8-f538-40bd-997e-ab7829a6ea62","NLD037","CGN22668","10.18730/1DKPG","Allium","scorodoprasum","L.","","","Allium scorodoprasum L.","RUS","21","19901126","false","","false","12;13","100","GBR006","","","1285","2020-05-11 10:17:23"
"3807727","d0d99795-86ca-48e4-aea8-402e8f0c018e","GBR004","240918",,"Allium","scorodoprasum","L.","","","Allium scorodoprasum L.","LBN",,"20041119","false","true","false","10","110",,"","","4","2020-04-09 09:29:46"
"3817277","d407b7ed-272b-4f2f-95e1-c7ca4c5c5cfe","GBR004","129824",,"Allium","scorodoprasum","L.","","","Allium scorodoprasum L.","GBR",,"19980907","false","false","false","10","110",,"","","4","2020-04-09 09:29:03"
"4033114","9f33405a-5b5a-4aeb-a2f0-60b8e6e15d0c","DEU146","TAX 2195","10.25642/IPK/GBIS/1922215","Allium","scorodoprasum","L.","subsp. scorodoprasum","(L.) Stearn","Allium scorodoprasum L. subsp. scorodoprasum (L.) Stearn","BGR",,"19870622","false","","false","10;20","110",,"","2014-01-09 17:20:47","1285","2020-05-11 06:41:59"
"4033137","2804f284-ed35-41ff-9f01-57fd9b5023bb","DEU146","TAX 2290","10.25642/IPK/GBIS/60851","Allium","scorodoprasum","L.","subsp. scorodoprasum","(L.) Stearn","Allium scorodoprasum L. subsp. scorodoprasum (L.) Stearn","BGR",,"19870702","false","","false","10;20","110",,"","2014-01-09 17:20:47","1285","2020-05-11 06:58:47"
"4533584","7201c49f-8d18-4f96-b208-c5d4d621ea1d","GBR004","555186",,"Allium","scorodoprasum","L.","","","Allium scorodoprasum L.","GEO",,"20091105","false","false","false","10","110",,"4","2015-09-25 12:48:55","4","2020-04-09 09:32:13"
"4890143","153cb9e7-7ad4-41ee-b844-93604a6cd19e","DEU022","NO-02-0001-2011",,"Allium","scorodoprasum","L.","","","Allium scorodoprasum L.","DEU",,"2011----","false","","false","10","100","DEU502","4","2016-10-27 19:20:17","1285","2020-05-11 06:36:22"
"4892827","32e3adde-0418-4d61-9a98-88377916ec79","DEU146","TAX 7042","10.25642/IPK/GBIS/2599654","Allium","scorodoprasum","L.","subsp. scorodoprasum","(L.) Stearn","Allium scorodoprasum L. subsp. scorodoprasum (L.) Stearn","SRB",,"20130703","false","","false","10;20","110",,"4","2016-10-27 19:22:10","1285","2020-05-11 06:55:48"
"5615562","96d18e55-9aae-445e-806b-a692a1328751","ISR002","24575",,"Allium","scorodoprasum","","","","Allium scorodoprasum","ISR",,"20110818","","","false",,"110",,"4","2016-10-27 23:59:57","1285","2020-05-11 10:01:06"
"5716351","838cc933-5156-4935-ae5e-8fa4f5ab3d44","AUT001","BVAL-901775",,"Allium","scorodoprasum","L.","","","Allium scorodoprasum L.","AUT",,"20140619","","","false","20","100",,"4","2017-05-16 12:20:21","1285","2020-05-11 06:07:28"
"6421334","aadf55c7-8f25-429c-8ec0-25ed0bdf3445","JOR015","JO 3347","10.18730/QSCZF","Allium","scorodoprasum","","sub.sp rotundum","","Allium scorodoprasum sub.sp rotundum","JOR",,,"","","false","10","100","GBR004","4","2019-03-05 18:51:23","4","2019-03-05 18:51:23"
"6506958","3636b091-3456-4f07-a250-37d4ebda997d","POL101","227624",,"Allium","scorodoprasum","Lam.","","","Allium scorodoprasum Lam.","CZE",,,"false","","false","13","110",,"1285","2020-01-07 18:08:38","1285","2020-05-11 10:33:16"
