"genesysId","instCode","name","aliasType","lang","version"
"252600",,"B92-61","ACCENAME",,"0"
"252600","USA126","W6 10740","OTHERNUMB",,"0"
"252600",,"B92-61","OTHERNUMB",,"0"
"252600",,"B92-61","DONORNUMB",,"0"
"474509",,"B92-239","ACCENAME",,"0"
"474509","USA126","W6 10741","OTHERNUMB",,"0"
"474509",,"B92-239","OTHERNUMB",,"0"
"474509",,"B92-239","COLLNUMB",,"0"
"3310344",,"TJØME II","ACCENAME",,"0"
"3322707",,"BFS9034","DONORNUMB",,"1"
"3322707",,"BFS9034","COLLNUMB",,"0"
"3807727",,"LEB-322","COLLNUMB",,"0"
"3817277",,"NONE","COLLNUMB",,"0"
"4033114",,"12","COLLNUMB",,"0"
"4033137",,"26","COLLNUMB",,"0"
"4533584",,"675","COLLNUMB",,"0"
"4890143",,"NO-02-0001-2011","COLLNUMB",,"0"
"5615562",,"Alsc0201310711","COLLNUMB",,"0"
"6421334",,"2008JOR22-6","COLLNUMB",,"0"
"6506958",,"150/89","ACCENAME",,"0"
"6506958",,"150/89","COLLNUMB",,"0"
