"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"4770",,,"1993----","10",,"1"
"53357",,"Greenland 4015 NQ8B","20030923","","Near Narsarsuaq, South Greenland.","0"
"84412",,,,"10",,"0"
"100633",,,"1997----","10","Near the Bucsin Pass, Udvarhely County.  On the western foothills of the Gorgenyi Mountains, Sovidek, region of Transylvania.","1"
"132672",,,"1998----","","Loistokari (island), near Turku, Varsinais-Suomi region.","0"
"180205",,,"1993----","10",,"1"
"181050",,"Greenland 4016 NQ8A","20030923","10","Near Narsarsuaq, South Greenland.","1"
"370741",,,,"10","Artern.","1"
"382444",,,,"10","Pojezierze Wroclawskie","1"
"419641",,"Greenland 4017 NQ7B","20030923","10","Near Narsarsuaq, South Greenland.","1"
"482149",,,"1994----","10","Near the town of Nizna Kopa in the Tatra Mountains.","1"
"2936671",,,,"10","Alkoven,Gstocket, riverbanks of Danube river","27"
"3187246",,,,"99","Amtsplantagen, Audebo","1"
"3187249",,,,"99","Hallands Väderö, Skane","1"
"3187250",,,,"99",,"1"
"3187252",,,,"99","bei Staßfurt, Sachsen-Anhalt","1"
"3480255",,,"20080902","","Blekkur, Sydlandet","0"
"3480256",,,"20080902","","Mularkot","11"
"3480257",,,"20080902","","seljalandsfoss","0"
"3480286",,,"20080902","","Vik","11"
"3480287",,,"20080902","","Eyrabakki","11"
"3480288",,,"20080901","",,"11"
"3480289",,,"20080902","","Eyarbakki","11"
"3480291",,,"20080901","","Marihafn","11"
"3813638",,"19971254-21","19970101","10",,"2"
"3902270",,"00166","19870000","10","Poltavs'ka obl.","11"
"3941721",,,"1998----","",,"2"
"3942113",,"HAUKADALUR MG090908","20090908","10","HAUKADALUR","12"
"3942114",,"VIÐEY MG090907","20090907","10","VIÐEY","12"
"3942115",,"STÖNG090910","20090910","10","STÖNG","12"
"3942117",,"VEIÐIVATN090910","20090910","10","VEIÐIVÖTN","12"
"3942121",,,"20090910","10","SANDÁ","13"
"3942153",,,"20090817","","Mikkeli","0"
"3942154",,,"20090901","","Inari, Juutanjoki","0"
"3942155",,,"20090901","","Salla, Naruskajoki","0"
"3942156",,,"20090901","","Äkäslompolo, Pakasaivo","0"
"3942157",,,"20090901","",,"0"
"3942158",,,"20090901","","Rovaníemi, Ounasjoki","0"
"3942159",,,"20090827","","Äkäsjoki,Vinkkola -Valkeajoki","0"
"3942160",,,"20090914","","Äkästunturi,Varkankuru","0"
"3942161",,,"20090826","","Pöntsö, Kittilä","0"
"3942162",,,"20090825","","Meltosjärvi .Ylitornio","0"
"3942305",,,"20090901","","Kittilä","1"
"3973942",,"POLZAP09 200",,"10","Trzebież, Zachodniopomorskie","3"
"3973955",,"POLZAP09 201",,"10","Trzebież, Zachodniopomorskie","5"
"4092183",,"12","20090820","11","Poljanica Okicka","2"
"4283969",,,"20070919","","Klaksvik town","12"
"4337373",,"Greenland 4015 NQ8B","20030923","10","Near Narsarsuaq, South Greenland.","0"
"4346898",,,"1998----","10","Loistokari (island), near Turku, Varsinais-Suomi region.","0"
"4547441",,"LT2013-15","20130813","10",,"1"
"4890099",,"NO-01-0325-2013","2013----","10","Mecklenburg-Vorpommern;  Vorpommern-Greifswald","13"
"4890108",,"NO-01-0327-2013","2013----","10","Mecklenburg-Vorpommern;  Vorpommern-Greifswald","13"
"4890113",,"NO-03-0210-2013","2013----","10","Sachsen;  Sächsische Schweiz-Osterzgebirge","13"
"4890125",,"NO-01-0394-2012","2012----","10","Brandenburg;  Dahme-Spreewald","13"
"4890132",,"NO-01-0616-2011","2011----","10","Brandenburg;  Dahme-Spreewald","13"
"4895525",,"NW-03-0207-2012","20120912","10","Niedersachsen; Osnabrück","12"
"4895534",,"NW-03-0208-2012","20120912","10","Niedersachsen; Osnabrück","12"
"4895536",,"NW-03-0045-2009","20090809","10","Niedersachsen; Osnabrück","12"
"4895544",,"NW-03-0170-2010","20100810","10","Niedersachsen; Osnabrück","12"
"4895550",,"NW-03-0188-2012","20120912","10","Nordrhein-Westfalen; Steinfurt","12"
"4896683",,"SO-05-1045-2013","20131013","10","Thüringen; Wartburgkreis","19"
"4896702",,"SO-01-0079-2010","20100810","10","Bayern; Regensburg","19"
"4896706",,"SO-01-0743-2012","20120812","10","Bayern; Regensburg","19"
"5627609",,"LA20130719-0101","20130719","10","Hönö Klåva: between beach rocks alongside the path to the beach from Solhemsvägen.","11"
"5760800",,"POLNOT07 339",,"13","Wielkopolskie, Antoniny, Szamocin,","3"
"6283656",,,"20060827","10",,"10"
"6283916",,,"20060826","60",,"10"
"6283971",,,"20060827","",,"10"
"6472474",,"LT2013-15","20130813","12","Near Kaunas Lagoon, Kaunas district.","6"
"6499026",,"LITLIT11 051",,"11",", Liškiava, , Liškiava","0"
