"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"4770","2431e801-81df-4c51-8b46-aef2f5cccb70","USA020","Ames 23000",,"Angelica","archangelica","L.","subsp. litoralis","(Fr.) Thell.","Angelica archangelica L. subsp. litoralis (Fr.) Thell.","POL","10","19960517","","false","false","10","100",,"","","","2014-07-23 17:17:20"
"53357","99ecb125-1871-48df-8984-5832cdbefdc6","USA020","Ames 27505",,"Angelica","archangelica","","","","Angelica archangelica","GRL","10","20040505","","","false","10","100",,"","","","2014-07-23 13:14:35"
"84412","662a4104-d7fe-4d56-ba0e-b440dd5f2908","USA020","Ames 23081",,"Angelica","archangelica","L.","subsp. archangelica","","Angelica archangelica L. subsp. archangelica",,"10","19960621","","false","false","10","100",,"","","","2014-07-23 08:25:32"
"100633","aa522eb9-eaf5-43c7-952b-8743e3826f1b","USA020","Ames 24656",,"Angelica","archangelica","L.","","","Angelica archangelica L.","ROM","10","19980602","","false","false","10","100",,"","","","2014-07-23 21:39:11"
"132672","edd7fb50-5797-4e0a-b053-b36784b5887c","USA020","Ames 25249",,"Angelica","archangelica","","","","Angelica archangelica","FIN","10","19990427","","","false","10","100",,"","","","2014-07-23 12:50:17"
"180205","bf85deb4-8d77-491f-bf4a-3033f0175a56","USA020","Ames 22999",,"Angelica","archangelica","L.","subsp. litoralis","(Fr.) Thell.","Angelica archangelica L. subsp. litoralis (Fr.) Thell.","POL","10","19960517","","false","false","10","100",,"","","","2014-07-23 17:17:29"
"181050","0fa4482d-a0aa-4304-90ab-ec1ecd812e7f","USA020","Ames 27506",,"Angelica","archangelica","L.","","","Angelica archangelica L.","GRL","10","20040505","","false","false","10","100",,"","","","2014-07-23 13:14:38"
"370741","c39f9139-44c1-4872-ba98-0fafddaa0b7f","USA020","Ames 23082",,"Angelica","archangelica","L.","subsp. archangelica","","Angelica archangelica L. subsp. archangelica","DEU","10","19960621","","false","false","10","100",,"","","","2014-07-23 11:50:23"
"382444","c7ea18e3-446a-4ff2-b69d-9ea867435c19","USA020","Ames 21507",,"Angelica","archangelica","L.","","","Angelica archangelica L.","POL","10","19930928","","false","false","10","100",,"","","","2014-07-23 17:17:40"
"419641","5eb3b6a1-018e-4983-ae25-178f99a09fa8","USA020","Ames 27507",,"Angelica","archangelica","L.","","","Angelica archangelica L.","GRL","10","20040505","","false","false","10","100",,"","","","2014-07-23 13:14:40"
"482149","e7987743-bb35-4e56-99c1-e9fcf65376b7","USA020","Ames 22798",,"Angelica","archangelica","L.","","","Angelica archangelica L.","POL","10","19960410","","false","false","10","100",,"","","","2014-07-23 17:17:45"
"2936671","be5325fb-da3a-4bb9-8ec6-f03b834eaf46","AUT001","BVAL-901019",,"Angelica","archangelica","L.","","","Angelica archangelica L.","AUT","10","20040805","false","","false","13","100","NOR051","","","1285","2020-05-11 06:07:22"
