"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"53357","61.14639","-45.45417","309.0",,"",,"2"
"100633","","","1000.0",,"",,"0"
"132672","60.4","22.13333","17.0",,"",,"2"
"181050","61.14638889","-45.45416667","15.0",,"",,"3"
"419641","61.14777778","-45.45722222","3.0",,"",,"3"
"482149","","","1620.0",,"",,"0"
"2936671","48.283333","14.1","260.0",,"",,"6"
"3187252","51.854722","11.586944","",,"3400.0",,"5"
"3480255","63.447222","-19.1325","22.0",,"",,"6"
"3480256","63.715833","-19.88","73.0",,"",,"6"
"3480257","63.615833","-19.988889","35.0",,"",,"6"
"3480286","63.418611","-19.0125","24.0",,"",,"6"
"3480287","63.862222","-21.145556","4.0",,"",,"6"
"3480288","64.206944","-21.71","21.0",,"",,"6"
"3480289","63.856389","-21.129722","1.0",,"",,"6"
"3480291","64.273611","-21.782222","49.0",,"",,"6"
"3942113","64.326667","-20.278333","124.0",,"",,"6"
"3942114","64.169444","-21.860278","2.0",,"",,"6"
"3942115","64.150278","-19.754444","169.0",,"",,"6"
"3942117","64.140833","-18.754444","582.0",,"",,"6"
"3942121","64.107222","-19.951667","95.0",,"",,"6"
"3942153","61.733333","27.3","",,"",,"6"
"3942154","69.066667","27.083333","",,"",,"6"
"3942155","66.816667","28.666667","",,"",,"6"
"3942156","67.6","24.083333","",,"",,"6"
"3942157","67.333333","23.833333","",,"",,"6"
"3942158","66.566667","25.833333","",,"",,"6"
"3942159","67.566667","24.65","",,"",,"6"
"3942160","67.583333","24.533333","",,"",,"6"
"3942161","67.916667","24.533333","",,"",,"6"
"3942162","66.533333","24.65","",,"",,"6"
"3942305","67.933333","24.5","",,"",,"6"
"3973942","53.656944","14.525","",,"",,"3"
"3973955","53.656944","14.525","",,"",,"6"
"4092183","45.733333","15.683333","483.0",,"",,"5"
"4283969","62.2275","-6.608889","1.0",,"",,"4"
"4337373","61.14638889","-45.45416667","15.0",,"",,"2"
"4346898","60.4","22.13333333","",,"",,"2"
"4547441","","","50.0",,"",,"0"
"5627609","57.681111","11.639167","2.0",,"",,"2"
"5760800","53.063056","17.024722","45.0",,"",,"3"
"6283656","60.746667","-46.085278","20.0",,"",,"1"
"6283916","60.910556","-46.043056","20.0",,"",,"1"
"6283971","60.733056","-46.092778","99.0",,"",,"1"
"6472474","54.898889","24.049722","50.0",,"",,"0"
"6499026","54.085556","24.055833","160.0",,"",,"0"
