"genesysId","instCode","name","aliasType","lang","version"
"4770",,"Index Seminum 144","ACCENAME",,"0"
"4770","USA126","Ames 23000","OTHERNUMB",,"0"
"4770",,"Index Seminum 144","OTHERNUMB",,"0"
"53357",,"Greenland 4015 NQ8B","ACCENAME",,"0"
"53357","USA126","W6 25356","OTHERNUMB",,"0"
"53357","USA126","Ames 27505","OTHERNUMB",,"0"
"53357",,"Kuanneq","OTHERNUMB",,"0"
"84412",,"ANGE 7/80","ACCENAME",,"0"
"84412",,"ST 2358","OTHERNUMB",,"1"
"84412","USA126","Ames 23081","OTHERNUMB",,"0"
"84412",,"ANGE 7/80","OTHERNUMB",,"0"
"100633",,"Index Seminum 388","ACCENAME",,"0"
"100633","USA126","Ames 24656","OTHERNUMB",,"0"
"100633",,"Index Seminum 388","OTHERNUMB",,"0"
"132672",,"Index Seminum 7","ACCENAME",,"0"
"132672","USA126","Ames 25249","OTHERNUMB",,"0"
"180205",,"Index Seminum 143","ACCENAME",,"0"
"180205","USA126","Ames 22999","OTHERNUMB",,"0"
"180205",,"Index Seminum 143","OTHERNUMB",,"0"
"181050",,"Greenland 4016 NQ8A","ACCENAME",,"0"
"181050","USA126","W6 25357","OTHERNUMB",,"0"
"181050","USA126","Ames 27506","OTHERNUMB",,"0"
"181050",,"Kuanneq","OTHERNUMB",,"1"
"181050",,"Greenland 4016 NQ8A","OTHERNUMB",,"0"
"181050",,"SJW0903","OTHERNUMB",,"0"
"181050",,"Greenland 4016 NQ8A","COLLNUMB",,"0"
"370741",,"ANGE 8/80","ACCENAME",,"0"
"370741","USA126","Ames 23082","OTHERNUMB",,"0"
"370741",,"ANGE 8/80","OTHERNUMB",,"0"
"382444",,"10","ACCENAME",,"0"
"382444","USA126","Ames 21507","OTHERNUMB",,"0"
"382444",,"10","OTHERNUMB",,"0"
"382444",,"10","DONORNUMB",,"0"
"419641",,"Greenland 4017 NQ7B","ACCENAME",,"0"
"419641","USA126","W6 25358","OTHERNUMB",,"0"
"419641","USA126","Ames 27507","OTHERNUMB",,"0"
"419641",,"Kuanneq","OTHERNUMB",,"1"
"419641",,"Greenland 4017 NQ7B","OTHERNUMB",,"0"
"419641",,"SJW0903","OTHERNUMB",,"0"
"419641",,"Greenland 4017 NQ7B","COLLNUMB",,"0"
"482149",,"Index Seminum 187","ACCENAME",,"0"
"482149","USA126","Ames 22798","OTHERNUMB",,"0"
"482149",,"Index Seminum 187","OTHERNUMB",,"0"
"3187246","DEU146","ST 2727","OTHERNUMB",,"0"
"3187249","DEU146","ST 2540","OTHERNUMB",,"0"
"3187250","DEU001","50237","DONORNUMB",,"0"
"3187250","DEU146","D 8198","OTHERNUMB",,"0"
"3187250","DEU001","50237","OTHERNUMB",,"0"
"3187252","DEU146","D 5897","OTHERNUMB",,"0"
"3480255",,"BLEKKUR SS1201","ACCENAME",,"0"
"3480256",,"Mularkot LD0701","ACCENAME",,"0"
"3480257",,"SELJALANDSFOSS","ACCENAME",,"0"
"3480286",,"VIK MG1301","ACCENAME",,"0"
"3480287",,"Eyrarbakki town MG0101","ACCENAME",,"0"
"3480288",,"Mosfellsbaer SS0101","ACCENAME",,"0"
"3480289",,"Eyrarbakki MG0201","ACCENAME",,"0"
"3480291",,"Marihafn SS0301","ACCENAME",,"0"
"3813638",,"19971254-21","COLLNUMB",,"0"
"3902270",,"00166","COLLNUMB",,"0"
"3941721","DEU416","ANGE 7","DONORNUMB",,"0"
