"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"3408491",,"00268","19650000","40","Poltavs'ka obl.","11"
"3947918",,"127","20080814","","Číchov (TR), bank of the brook in the village","16"
"3947919",,"134","20080815","","Ronov (ZR), embankment of the ponds \"Velký a Malý Chlostov\", ca 1,2 km W from th","18"
"3947920",,"96","20090827","","Oldřichov v Hájích (LB), Betlém, Baráková Marie, č. p. 257","18"
"3974679",,"35",,"","Lysá nad Labem (distr. Nymburk), NPR Hrabanovská černava, about 1,5 km N of chu","17"
"4027053",,"26","20130827","","Roudno, břeh vodní nádrže Slezská Harta, cca 1 km S od kostela v","18"
"4027066",,"40","20130828","","Hradec nad Moravicí, přírodní park Mariánské louky","17"
"4027086",,"104","20130831","","Bražec (Distr. Karlovy Vary), garden of Mr. Ivan Bohuslav","18"
"4027117",,"52","20110803","","Tupadly (okr. Mělník), PR Mokřady Dolní Liběchovky,  1 km N of the pub in the vi","17"
"4875953",,"SEYYARE-88","19780626","10",,"22"
"5719972","SVKVEF-15_Lednice","57","20150902","","Vlkolínec, meadows of Vlkolínec","16"
"5719973","SVKVEF-15_Lednice","121 Armoracia rusticana","20150903","61","Vlkolínec, meadows of Vlkolínec","15"
"5719974","CZEHAN-15_Lednice","66 Armoracia rusticana","20150827","13","Štarnov, rodina Kasalíkova, č. p. 18","16"
