"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"3408491","824f3a35-6d12-4f8b-ac36-2f605088fadd","UKR019","UL5700001",,"Armoracia","rusticana","Gaertn.-Mey.-Scherb.","","","Armoracia rusticana Gaertn.-Mey.-Scherb.","UKR","40","20030000","","","false",,"100",,"","","1285","2020-05-11 12:02:34"
"3941888","4b311916-8cb6-40ee-9676-5282b16db727","SWE054","NGB21946",,"Armoracia","rusticana","Gaertn. et al.","","","Armoracia rusticana Gaertn. et al.","DNK",,,"true","","false","20","100",,"","","1285","2020-05-11 11:45:01"
"3941889","7d242e93-4d7b-442a-8868-9176f6ffbb3c","SWE054","NGB21945",,"Armoracia","rusticana","Gaertn. et al.","","","Armoracia rusticana Gaertn. et al.","DNK",,,"true","","false","20","100",,"","","1285","2020-05-11 11:46:04"
"3947918","c89beefd-60e0-4cce-8f51-24797744d797","CZE050","42A0600021",,"Armoracia","rusticana","G. Gaertn. et al.","","","Armoracia rusticana G. Gaertn. et al.","CZE",,"2009----","true","","false","20","100",,"","","1285","2020-05-11 12:29:57"
"3947919","8cc06d87-4953-41a5-bffc-39c80e411a2a","CZE050","42A0600022",,"Armoracia","rusticana","G. Gaertn. et al.","","","Armoracia rusticana G. Gaertn. et al.","CZE",,"2009----","true","","false","20","100",,"","","1285","2020-05-11 12:29:53"
"3947920","cc7aa58a-d806-4e9b-a72e-5d5b8ceefaec","CZE050","42A0600023",,"Armoracia","rusticana","G. Gaertn. et al.","","","Armoracia rusticana G. Gaertn. et al.","CZE",,"2010----","true","","false","20","100",,"","","1285","2020-05-11 12:29:58"
"3974679","b10c3ea5-50ff-4cfe-8623-8418deb9db4a","CZE050","42A0600026",,"Armoracia","rusticana","G. Gaertn. et al.","","","Armoracia rusticana G. Gaertn. et al.","CZE",,"2011----","true","","false","20","100",,"","","1285","2020-05-11 12:29:57"
"4027053","46e8b2cf-28b0-4590-bcd7-d6ad5e04b354","CZE050","42A0600031",,"Armoracia","rusticana","G. Gaertn. et al.","","","Armoracia rusticana G. Gaertn. et al.","CZE",,"2013----","true","","false","20","100",,"","2014-01-09 17:13:34","1285","2020-05-11 12:30:00"
"4027066","bc8888f5-91c2-4119-8177-d8ab50aa6faa","CZE050","42A0600032",,"Armoracia","rusticana","G. Gaertn. et al.","","","Armoracia rusticana G. Gaertn. et al.","CZE",,"2013----","true","","false","20","100",,"","2014-01-09 17:13:34","1285","2020-05-11 12:29:59"
"4027086","1a58e180-b9b0-4358-b68c-822d8b768726","CZE050","42A0600029",,"Armoracia","rusticana","G. Gaertn. et al.","","","Armoracia rusticana G. Gaertn. et al.","CZE",,"2012----","true","","false","20","100",,"","2014-01-09 17:13:34","1285","2020-05-11 12:30:03"
"4027117","5b859d83-57b3-487b-832c-56634c69d8ae","CZE050","42A0600027",,"Armoracia","rusticana","G. Gaertn. et al.","","","Armoracia rusticana G. Gaertn. et al.","CZE",,"2011----","true","","false","20","100",,"","2014-01-09 17:13:35","1285","2020-05-11 12:29:57"
"4875953","626a0dcd-dd18-41b9-8e54-135773be1fb6","AZE004","AzGR-4328",,"Armoracia","rusticana","Gaertn.","","","Armoracia rusticana Gaertn.","AZE",,"19780626","","","false",,"100",,"4","2016-10-27 18:36:54","1285","2020-05-11 06:08:49"
"5719972","7ba06ff4-f0c8-429c-8f40-0b7a6bea63d0","CZE050","42A0600037",,"Armoracia","rusticana","G. Gaertn. et al.","","","Armoracia rusticana G. Gaertn. et al.","SVK",,"2015----","true","","false","20","100",,"4","2017-05-16 12:49:14","1285","2020-05-11 12:29:58"
"5719973","2769cb22-13e8-441d-a877-fc17743c0ced","CZE050","42A0600043",,"Armoracia","rusticana","G. Gaertn. et al.","","","Armoracia rusticana G. Gaertn. et al.","SVK",,"20150903","true","","false","20","100",,"4","2017-05-16 12:49:14","1285","2020-05-11 12:29:57"
"5719974","224451e3-9266-4dbf-b8c6-41fea19e9060","CZE050","42A0600042",,"Armoracia","rusticana","G. Gaertn. et al.","","","Armoracia rusticana G. Gaertn. et al.","CZE",,"20150827","true","","false","20","100",,"4","2017-05-16 12:49:14","1285","2020-05-11 12:29:57"
