"genesysId","instCode","name","aliasType","lang","version"
"3408491",,"00268","COLLNUMB",,"0"
"3941888",,"BL0710231101","ACCENAME",,"0"
"3941889",,"BL0710231010","ACCENAME",,"0"
"3947918",,"127","COLLNUMB",,"0"
"3947919",,"134","COLLNUMB",,"0"
"3947920",,"96","COLLNUMB",,"0"
"3974679",,"35","COLLNUMB",,"0"
"4027053",,"26","COLLNUMB",,"0"
"4027066",,"40","COLLNUMB",,"0"
"4027086",,"104","COLLNUMB",,"0"
"4027117",,"52","COLLNUMB",,"0"
"4875953","AZE004","DERMAN-88","OTHERNUMB",,"0"
"4875953","AZE015","SEYYARE-88","OTHERNUMB",,"0"
"4875953",,"SEYYARE-88","COLLNUMB",,"0"
"4875953",,"Ady gıtıghotu","ACCENAME",,"0"
"5719972",,"57","COLLNUMB",,"0"
"5719973",,"121 Armoracia rusticana","COLLNUMB",,"0"
"5719974",,"66 Armoracia rusticana","COLLNUMB",,"0"
