"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"114628",,,"19750811","10","Maritime sands, Plovan, Finistere Dept","1"
"226357",,,,"10",,"0"
"368956",,"23","1976----","10",,"1"
"3241458",,"05034/04","20030000","10","Tápiószentmárton","14"
"3308960",,,"20070801","","Samsö","1"
"3308962",,,"20011007","","Kåseberga, Skåne","12"
"3309788",,,"20051009","10","Stenudden, Ljunghusen","2"
"3409771",,"00270","19730000","40","Poltavs'ka obl.","11"
"3910628",,"00529","20060000","40","Karaganda","11"
"3916208",,,"19980814","10","Armavir marz, v.Margara","1"
"3916210",,,"19890630","10","Ararat, v.Eraskh","1"
"3916211",,,"19890812","10","Ararat, v.Armash","1"
"3916213",,,"19890812","10","Ararat, v.Avshar","1"
"3942560",,,"20071107","10","Vibjerg/Køng/ Fyn","12"
"3942567",,,"20081001","","Hårby, Fyn","1"
"3942568",,,"20081001","10","Nældemose/Fyn","2"
"3942569",,,"20081001","60","Nældemose/Fyn","2"
"3947612",,"DS6648","20080908","10","Farmos","9"
"3949019",,"TCFWWX59","20100903","99","Ballyteige Burrow, Kilmore, Co. Wexford","14"
"3949020",,"TCFWWA50","20100902","99","Tramore dunes, Co. Waterford","14"
"3949021",,"TCFWW75","20101006","99","Buckroney dunes, Co. Wicklow","15"
"3949022",,"TCFWW74","20101006","99","Buckroney dunes, Co. Wicklow","15"
"3973719",,"POLKIE08 124",,"13","Skotniki Górne- rezerwat stepowy, Świętokrzyskie","4"
"4001210",,,"20071023","60","Agri (Mols Bjerge)","12"
"4001310",,,"20100901","60","malmøya","1"
"4001311",,,"20100901","60","Skinnerbukta","1"
"4066778","C542",,"20120816","10","Castilla-La Mancha, Albacete, Tobarra, Sierra de Abenuj","13"
"4283403",,,"20121011","10","HORTEN KARJOHANVERN","13"
"4283770",,,"20110927","","Sjællands Odde","12"
"4283824",,"SJ201111100101","20111110","60","Falsterbo fyr","13"
"4547488",,"AZ 2842","20130914","10",,"1"
"4875950",,"SEYYARE-34","19390716","10",,"16"
"4878810",,"IAF-191","2007----","","Nakhchivan","21"
"4890151",,"NO-02-0016-2010","2010----","10","Brandenburg;  Oberhavel","20"
"4890177",,"NO-01-0734-2012","2012----","10","Brandenburg;  Teltow-Fläming","20"
"4890471",,"NO-01-0679-2010","2010----","10","Brandenburg;  Potsdam-Mittelmark","20"
"4890519",,"NO-01-0328-2012","2012----","10","Thüringen;  Kyffhäuserkreis","20"
"4890545",,"NO-01-0364-2011","2011----","10","Brandenburg;  Teltow-Fläming","20"
"4890548",,"NO-01-0568-2012","2012----","10","Brandenburg;  Märkisch-Oderland","20"
"4895574",,"NW-08-0075-2013","20131013","10","Niedersachsen; Uelzen","17"
"4895581",,"NW-08-0030-2013","20130913","10","Niedersachsen; Uelzen","17"
"4895614",,"NW-01-0260-2010","20101010","10","Niedersachsen; Leer","17"
"4910139",,"SW-03-0083-2010","20100810","10","Rheinland-Pfalz; Worms","17"
"4910140",,"SW-03-0052-2010","20100810","10","Hessen; Frankfurt am Main","17"
"4910165",,"SW-03-0369-2011","20111011","10","Hessen; Frankfurt am Main","17"
"4918099","E159",,"20091130","10","Andalucia, Huelva, Almonte, Coto de Doñana","4"
"5659109",,,"19990000","10","Kamenica nad Hronom","0"
"5659126",,,"19990000","20","Lupka (ex situ)","0"
"5659144",,,"19990000","10","Nitra, Lupka","0"
"5659146",,,"19990000","10","Belan. kopce - Vrsok","0"
"5659153",,,"19990000","10","Dankov vrch","0"
"5659165",,,"19990000","10","Cenkov","0"
"5659185",,,"19990000","10","Lupka","0"
"5659188",,,"19990000","10",,"0"
"5659189",,,"19990000","10","Salka  -  Sovie vinohrady","0"
"5659192",,,"19990000","10","Nitra -  Mlynarce","0"
"5761207",,"POLKKA12 023",,"13","Pomorskie, Widlice, Gniew,","3"
"6390569",,"AZ06","20170719","10",,"0"
"6407019",,"POLKIE08 136",,"13","Skotniki Górne- rezerwat stepowy, Świętokrzyskie","1"
