"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"114628","f67bcaf6-4c50-4d04-b956-f1f1ba675d3d","USA003","PI 438979",,"Asparagus","officinalis","L.","","","Asparagus officinalis L.","FRA","10","197912--","","false","false","10","100",,"","","","2014-07-23 12:52:08"
"226357","ac734d69-e04a-4ccb-a624-91553a83e905","USA003","PI 438977",,"Asparagus","officinalis","L.","","","Asparagus officinalis L.",,"10","197912--","","false","false","10","100",,"","","","2014-07-23 08:35:10"
"368956","c6940d3b-b159-4cd1-8af6-1b3600271b98","USA003","PI 420371",,"Asparagus","officinalis","L.","","","Asparagus officinalis L.","ESP","10","19771215","","true","false","10","100","USA005","","","","2014-07-23 12:14:58"
"3024563","607bf88a-2b6d-4265-ad09-bd65d3dc487b","CZE050","42H1300004",,"Asparagus","officinalis","L.","","","Asparagus officinalis L.","CZE",,"1995----","true","","false","20","100",,"","","1285","2020-05-11 12:29:54"
"3241458","213515bd-80f8-406e-a745-8457a69b04e1","HUN003","RCAT057198",,"Asparagus","officinalis","L.","","","Asparagus officinalis L.","HUN","10","20030000","","","false","12","100",,"","","1285","2020-05-11 09:51:53"
"3308960","55411775-6736-4784-91cf-ddc495b730a0","SWE054","NGB18572",,"Asparagus","officinalis","L.","","","Asparagus officinalis L.","DNK",,"20071129","true","","false","13","100",,"","","1285","2020-05-11 11:47:57"
"3308962","b22a7524-bd3f-4fee-a3fd-014242d4d0cd","SWE054","NGB18571",,"Asparagus","officinalis","L.","","","Asparagus officinalis L.","SWE",,"20071129","true","","false","13","100",,"","","1285","2020-05-11 11:47:20"
"3309788","6afbbdd3-59d4-45d4-850c-0a607c79ab16","SWE054","NGB17100",,"Asparagus","officinalis","L.","","","Asparagus officinalis L.","SWE","10","20121126","true","","false","13","100","NOR051","","","1285","2020-05-11 11:45:48"
"3312001","5965d43f-18c1-4172-8453-1ddd08c0c1ae","SWE054","NGB8654",,"Asparagus","officinalis","L.","","","Asparagus officinalis L.","SWE",,"20050126","true","","false","13","100","NOR051","","","1285","2020-05-11 11:44:22"
"3312214","c17ba542-a5d3-465a-9f78-a5fdb2c5576f","SWE054","NGB8419",,"Asparagus","officinalis","L.","","","Asparagus officinalis L.","SWE",,"20180820","true","","false","13","100","NOR051","","","1285","2020-05-11 11:47:21"
"3312215","24951e7e-08ce-4934-9b96-d1e0eb32f6a4","SWE054","NGB8420",,"Asparagus","officinalis","L.","","","Asparagus officinalis L.","SWE",,"20050126","true","","false","13","100","NOR051","","","1285","2020-05-11 11:44:51"
"3409771","006734e6-0dde-44e1-9887-61a50785647f","UKR019","UL2300002",,"Asparagus","officinalis","L.","","","Asparagus officinalis L.","UKR","40","20030000","","","false",,"100",,"","","1285","2020-05-11 12:02:38"
