"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"3241458","47.35","19.75","",,"",,"4"
"3308960","55.9025","10.611944","1.0",,"",,"6"
"3309788","55.388611","12.930833","",,"",,"6"
"3942560","55.249167","10.105833","27.0",,"",,"6"
"3942567","55.228056","10.129444","",,"",,"6"
"3942568","55.195556","10.087222","",,"",,"6"
"3942569","55.197222","10.0825","",,"",,"6"
"3947612","47.356389","19.821667","115.0",,"",,"6"
"3949019","52.1997","-6.63694","5.0",,"",,"6"
"3949020","52.1533","-7.11361","9.0",,"",,"6"
"3949021","52.8533","-6.08","14.0",,"",,"6"
"3949022","52.8528","-6.07806","7.0",,"",,"6"
"3973719","50.422222","20.633889","213.0",,"",,"3"
"4001210","56.232222","10.523889","",,"",,"6"
"4001310","59.871111","10.758611","",,"",,"6"
"4001311","59.866111","10.752222","",,"",,"6"
"4066778","38.605833","-1.738056","800.0",,"",,"5"
"4283403","59.432778","10.495556","1.0",,"",,"5"
"4283770","55.980556","11.3075","",,"",,"2"
"4283824","55.383333","0.0","1.0",,"",,"5"
"4547488","","","-15.0",,"",,"0"
"4878810","39.216667","45.4","",,"",,"2"
"4918099","37.121944","-6.505","9.0",,"",,"3"
"5627674","55.133889","15.146111","",,"",,"1"
"5659109","","","120.0",,"",,"0"
"5659126","","","140.0",,"",,"0"
"5659144","","","220.0",,"",,"0"
"5659146","","","230.0",,"",,"0"
"5659153","","","251.0",,"",,"0"
"5659165","","","110.0",,"",,"0"
"5659185","","","220.0",,"",,"0"
"5659188","","","160.0",,"",,"0"
"5659189","","","160.0",,"",,"0"
"5659192","","","170.0",,"",,"0"
"5761207","53.727778","18.834167","15.0",,"",,"3"
"6390569","","","593.0",,"",,"0"
"6407019","50.422222","20.633889","213.0",,"",,"0"
