"genesysId","instCode","name","aliasType","lang","version"
"226357",,"168","ACCENAME",,"0"
"226357",,"168","OTHERNUMB",,"0"
"368956",,"23","ACCENAME",,"0"
"368956",,"23","OTHERNUMB",,"0"
"368956",,"23","COLLNUMB",,"0"
"3241458",,"tápiószentmártoni ökotipus","ACCENAME",,"0"
"3241458","HUN003","084250","OTHERNUMB",,"0"
"3241458",,"05034/04","COLLNUMB",,"0"
"3308960",,"Samsö 6A","ACCENAME",,"0"
"3308962",,"Ales Stenar SS0102","ACCENAME",,"0"
"3309788",,"Stenudden","ACCENAME",,"0"
"3312001",,"ASSIM, LERHAMN 1989","DONORNUMB",,"0"
"3312001",,"ASSIM","ACCENAME",,"0"
"3312001",,"LERHAMN 1989","ACCENAME",,"0"
"3312214",,"HÄLJARP","ACCENAME",,"0"
"3312214",,"HÄLJARP","DONORNUMB",,"0"
"3312215",,"ASMUNDTORP","ACCENAME",,"0"
"3312215",,"ASMUNDTORP","DONORNUMB",,"0"
"3409771",,"00270","COLLNUMB",,"0"
"3910628",,"00529","COLLNUMB",,"0"
"3942560",,"Vibjerg bakke","ACCENAME",,"0"
"3942567",,"Landø","ACCENAME",,"0"
"3942568",,"Nellemose II","ACCENAME",,"0"
"3942569",,"Nellemose I","ACCENAME",,"0"
"3947612",,"FARMOS","ACCENAME",,"0"
"3947612",,"DS6648","COLLNUMB",,"0"
"3949019",,"TCFWWX59","COLLNUMB",,"0"
"3949020",,"TCFWWA50","COLLNUMB",,"0"
"3949021",,"TCFWW75","COLLNUMB",,"0"
"3949022",,"TCFWW74","COLLNUMB",,"0"
"3973719",,"POLKIE08 124","ACCENAME",,"0"
"3973719",,"POLKIE08 124","COLLNUMB",,"0"
"4001210",,"AGRI BL0710231201","ACCENAME",,"0"
"4001310",,"MALMØYA SB2010","ACCENAME",,"0"
"4001311",,"SKINNERBUKTA SB2010","ACCENAME",,"0"
"4283403",,"KARLJOHANSVERN","ACCENAME",,"0"
"4283403",,"HORTEN SS20121011","ACCENAME",,"0"
"4283770",,"SJÆLLANDS ODDE LA1109270601","ACCENAME",,"0"
"4283824",,"FALSTERBO FYR SJ0101","ACCENAME",,"0"
"4283824",,"SJ201111100101","COLLNUMB",,"0"
"4547488",,"AZ 2842","COLLNUMB",,"0"
"4875950",,"Darman gushuzumu","ACCENAME",,"0"
"4875950","AZE004","DERMAN-34","OTHERNUMB",,"0"
"4875950","AZE015","SEYYARE-34","OTHERNUMB",,"0"
"4875950",,"SEYYARE-34","COLLNUMB",,"0"
"4878810","AZE015","AG-1413","OTHERNUMB",,"0"
"4878810","AZE015","IAF-191","OTHERNUMB",,"0"
"4878810",,"IAF-191","COLLNUMB",,"0"
"4890151",,"NO-02-0016-2010","COLLNUMB",,"0"
"4890177",,"NO-01-0734-2012","COLLNUMB",,"0"
"4890471",,"NO-01-0679-2010","COLLNUMB",,"0"
"4890519",,"NO-01-0328-2012","COLLNUMB",,"0"
"4890545",,"NO-01-0364-2011","COLLNUMB",,"0"
"4890548",,"NO-01-0568-2012","COLLNUMB",,"0"
"4895574",,"NW-08-0075-2013","COLLNUMB",,"0"
"4895581",,"NW-08-0030-2013","COLLNUMB",,"0"
"4895614",,"NW-01-0260-2010","COLLNUMB",,"0"
"4910139",,"SW-03-0083-2010","COLLNUMB",,"0"
"4910140",,"SW-03-0052-2010","COLLNUMB",,"0"
"4910165",,"SW-03-0369-2011","COLLNUMB",,"0"
"5627674",,"Svaneke LA201309","ACCENAME",,"0"
"5659109",,"13/97","ACCENAME",,"0"
"5659126",,"4.99","ACCENAME",,"0"
"5659144",,"12.97","ACCENAME",,"0"
"5659146",,"26/98","ACCENAME",,"0"
"5659153",,"5.99","ACCENAME",,"0"
"5659165",,"22/97","ACCENAME",,"0"
"5659185",,"28/98","ACCENAME",,"0"
"5659188",,"14/97","ACCENAME",,"0"
"5659189",,"27/98","ACCENAME",,"0"
"5659192",,"29/98","ACCENAME",,"0"
"5761207",,"POLKKA12 023","ACCENAME",,"0"
"5761207",,"POLKKA12 023","COLLNUMB",,"0"
"6390569",,"AZ06","COLLNUMB",,"0"
"6407019",,"POLKIE08 136","ACCENAME",,"0"
"6407019",,"POLKIE08 136","COLLNUMB",,"0"
