"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"34240","98c3912a-ef8c-408f-bf53-e098ea10c32f","USA955","PI 372512",,"Atriplex","hortensis","L.","","","Atriplex hortensis L.","CAN","10","19720303","","false","false","10","100",,"","","","2014-07-23 11:06:32"
"368954","d74463ba-8e25-47ed-8ae4-ced8620b8859","USA955","PI 420154",,"Atriplex","hortensis","L.","","","Atriplex hortensis L.","FRA","10","19770621","","false","false","10","100",,"","","","2014-07-23 12:52:28"
"2862014","eaece3af-8f6f-4646-87a8-4d2c0b6e45e5","ETH013","15305","10.18730/FTJS5","Atriplex","hortensis","L.","","","Atriplex hortensis L.",,,"19860708","true","false","false","10","100",,"","","437","2018-02-26 09:07:54"
"2862015","3fd5244a-3cae-4010-bc5a-d7c1bf442fd7","ETH013","15306","10.18730/FTJT6","Atriplex","hortensis","L.","","","Atriplex hortensis L.",,,"19860708","true","false","false","10","100",,"","","437","2018-02-26 09:07:54"
"3185912","8a35df6b-63fb-4a43-a893-08fb6ad71260","DEU146","ATRI 74","10.25642/IPK/GBIS/257609","Atriplex","hortensis","L.","","","Atriplex hortensis L.","GBR",,"20021119","false","","false","13","100","NOR051","","","1285","2020-05-11 06:44:00"
"3185913","e08d75be-546e-4dc5-b6cf-f7340a755531","DEU146","ATRI 72","10.25642/IPK/GBIS/229167","Atriplex","hortensis","L.","","","Atriplex hortensis L.","BEL",,"20021119","false","","false","13","100","NOR051","","","1285","2020-05-11 06:42:55"
"3185914","f628b2f3-9882-4049-848b-d29b60c47ffd","DEU146","ATRI 65","10.25642/IPK/GBIS/253407","Atriplex","hortensis","L.","","","Atriplex hortensis L.","SUN",,"20021119","false","","false","13","100","NOR051","","","1285","2020-05-11 06:45:54"
"3185916","c7552178-5881-42d6-a59d-76ea1e43c7fc","DEU146","ATRI 58","10.25642/IPK/GBIS/244853","Atriplex","hortensis","L.","","","Atriplex hortensis L.","DEU",,"20021119","false","","false","13","100","NOR051","","","1285","2020-05-11 06:41:53"
"3185917","b1527bf0-3764-4a57-90bd-75dc7ceb6b77","DEU146","ATRI 57","10.25642/IPK/GBIS/257595","Atriplex","hortensis","L.","","","Atriplex hortensis L.","DEU",,"20021119","false","","false","13","100","NOR051","","","1285","2020-05-11 06:59:57"
"3185918","9152786f-9b53-4cb7-95b8-75bbfb0aa1d8","DEU146","ATRI 56","10.25642/IPK/GBIS/232064","Atriplex","hortensis","L.","","","Atriplex hortensis L.",,,"20021119","false","","false","13","100","NOR051","","","1285","2020-05-11 06:46:19"
"3185919","27316f74-8ace-4618-96b1-3e0a28d2aba5","DEU146","ATRI 55","10.25642/IPK/GBIS/243138","Atriplex","hortensis","L.","","","Atriplex hortensis L.","DEU",,"20021119","false","","false","13","100","NOR051","","","1285","2020-05-11 06:38:32"
"3185922","e15a2de0-5db3-4fd1-81e4-f4bdda6067a1","DEU146","ATRI 52","10.25642/IPK/GBIS/98590","Atriplex","hortensis","L.","","","Atriplex hortensis L.","CAN",,"1999----","false","","false","13","100","NOR051","","","1285","2020-05-11 06:42:27"
"3185923","cd8bde7d-d628-4f98-ab93-30e7e30eb6ea","DEU146","ATRI 50","10.25642/IPK/GBIS/98589","Atriplex","hortensis","L.","","","Atriplex hortensis L.","CAN",,"1999----","false","","false","13","100",,"","","1285","2020-05-11 06:56:48"
"3185924","f01d14b1-eb6e-46dd-acbd-7a181ce9809a","DEU146","ATRI 49","10.25642/IPK/GBIS/98588","Atriplex","hortensis","L.","","","Atriplex hortensis L.","CAN",,"1999----","false","","false","13","100",,"","","1285","2020-05-11 06:52:10"
