"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"6861",,,"19850710","10","Plants growing in full sun, in damp silt along canal, S of Matera on SS 380 to Ginosa, Basilicata.","1"
"6905",,,"19870919","10","Bay, Norman's Bay, East Sussex County.","1"
"6906",,,"19870924","10","Coarse gravel (shingle) soil at south end of beach, Slapton Sands, Devon County.","1"
"6907",,,"19871008","10","Coarse gravel along base of sea wall above high tide in harbor, Dungraven, Waterford County.","1"
"6908",,,"19871009","10","Stone sea wall in harbor, Flexfort Ho, Cork County.","1"
"6909",,,"19871013","10","Coarse gravel on beach, Ballymacrinam Bay, Clare County.","1"
"6940",,,"19890809","10","Sandy soil, along both sides of road D32 along canal, La-Grau-d'Agde, Herault County.","1"
"6941",,,"19890819","10","Sandy soil, next to south beach, along fence, Les-Batns, Andernos, Gironde County.","1"
"6942",,,"19890821","10","Scattered in rocks above high tide S end of beach, 15km SE of Crozon, 3km S of Teigruc, Finistere County","1"
"6943",,,"19890828","10","In gravel on beach, Anse St. Martin, 1.5km E of St.-Germain, Manche County.","1"
"6944",,,"19890829","10","Clay soil with gravel, 4km W of Honfleur, Calvados County.","1"
"6945",,,"19890830","10","Silt soil, S of lighthouse, Le Hourdel, 6km W of St. Valery, Somme County.","1"
"6946",,,"19890905","10","In gravel on beach, .5km W of Saltbaek, Sjaelland Island.","1"
"6947",,,"19890814","10","In rocky cliffs above sand, Corniche Vendeenne, Vendee County.","1"
"6974",,,,"10",,"0"
"6975",,,,"10","Collected from Corfu, Greece.","1"
"6976",,,"1979----","10","Collected from a coastal cliff Mitlini, Greece.","1"
"6977",,,,"10",,"0"
"7044",,,"19920420","10","Silt, 170km W of Behila Damanhur.","1"
"7291",,,,"10","Marazion, Cornwall.","1"
"7292",,,,"10","Chioggia to Conche, west of road","1"
"19895",,,,"10","Zakinthos (Zante), Ionian Islands","1"
"19896",,,,"10","Patra, Peloponnese","1"
"22675",,,"19850709","10","Plants growing in full sun, in damp fine gravel, on road leading in to Hotel Bagamojo, 500m from sea, 4000m NE of Sibari, Calabria.","1"
"22676",,,"19850709","10","Plants growing in full sun, in dry coarse sand, near tower, 100km N of Torre Spulico, Calabria.","1"
"22677",,,"19850726","10","Plants growing in partial sun, in coarse dry gravel and cobbles, 4000m N of Bonifacio, Ajaccio, Corsica.","1"
"22728",,,"19870922","10","Silt and shale around moat of spring inlet, Lulworth Cove, Dorset County.","1"
"22729",,,"19870925","10","At base of cliffs, not on sandy beach, Gerrans Bay, Cornwall County.","1"
"22730",,,"19870928","10","Harbor, above high tide, around fishing boats, Porlock Bay, Somerset County.","1"
"22731",,,"19870929","10","Sand cliffs at end of beach, 3.5km N of Weston sand point, Avon County.","1"
"22732",,,"19871001","10","In cliffs at edge of beach, Dale, Dyfed County.","1"
"22733",,,"19871008","10","In cliffs on beach, Dunmore East, Waterford County.","1"
"22734",,,"19871009","10","In gravel on beach, Old Head, Cork County.","1"
"22735",,,"19871017","10","Coarse gravel, 1 km SE of Kilkeel, Down County.","1"
"22760",,,"19890825","10","In rocks around cove, Rocquaine Bay, Guernsey Island.","1"
"22783",,,,"10",,"0"
"22857",,,"19920515","10","Coarse sand, 120km E of Matruh.","1"
"23100",,,,"10","Sidhari, Kefalonia","1"
"23146",,"G062","199908--","10","Seashore in Nidri on Lefkas Island near Lefkada/Nikiana.","1"
"38769",,,"19850713","10","Plants growing in full sun, in very fine dry sand and rocks on beach, basic, next to old WW II bunker, Cappila Speranza, Sassari, Sardinia.","1"
"38770",,,"19850715","10","Plants growing on side of road and up hill in full sun, in fine dry gravel, 300m SW of Castelsardo, Sassari, Sardinia.","1"
"38771",,,"19850717","10","Plants growing in full sun, in dry, droughty clay and fine gravel, neutral, 6000m W of S. Nicolo d'Arcidano, Oristano, Sardinia.","1"
"38828",,,"19870919","10","Coarse gravel (shingle), harbor, Shoreham, West Sussex County.","1"
"38829",,,"19870922","10","Hengistbury Head, Dorset County.","1"
"38830",,,"19870923","10","In large cobbles in old quarry, high above sea level, Bill of Portland, Dorset County.","1"
"38831",,,"19870924","10","Silt soil, along path leading to sea above sheer cliffs, Dawlish, Devon County.","1"
"38832",,,"19870924","10","Coarse gravel, in rock at edge of beach, Wembury, Devon County.","1"
"38833",,,"19870925","10","In cobbles on cliffs at lookout, Lizzard Point, Cornwall County.","1"
"38834",,,"19871001","10","End of beach in cliffs, 2.5km  W of Castlemartin, Dyfed County.","1"
"38835",,,"19871006","10","Cobbles in large boulders along railroad track, Six Mile Point, Wicklow County.","1"
"38836",,,"19871024","10","In coarse gravel on beach, Thorpeness, Suffolk County.","1"
"38837",,,"19871028","10","Gravel and silt on cliffs and at base of cliffs, Margate, Kent County.","1"
"38866",,,"19890814","10","Sandy soil, above mud and reeds behind yards, at port, LaMarechale, Gironde County.","1"
"38867",,,"19890815","10","Sandy soil around oyster bed, in oyster shells, N of port, St. Trojan-Les Bains, Charente Maritime County.","1"
"38868",,,"19890817","10","Clay and silt soil, fodder beet field close, 4.5km S of le Port, Talmont-St-Hilaire, Vendee County.","1"
"38869",,,"19890817","10","Sandy, silt soil around oyster beds and along inside of stone sea wall, Port du Bonhomme, Ile-De-Noir-Moutier, La-Gueriniere, Vendee County.","1"
"38870",,,"19890819","10","Gravel soil, Etel Beach, 10km S  E of Lorient, Morbihan County.","1"
"38871",,,"19890824","10","Clay soil around tower, Les Nez Point, St. Clement's Bay, Jersey Island.","1"
"38872",,,"19890826","10","In rocks along road to abby, Le Mont-St-Michel, Manche County.","1"
"38873",,,"19890905","10","In rocks and gravel, Point, Sjaellands Odde, Gniben, Sajaelland Island.","1"
