"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"6861","40.56666667","16.53333333","150.0",,"",,"3"
"6905","50.71666667","0.36666667","3.0",,"",,"3"
"6906","50.26666667","-3.63333333","3.0",,"",,"3"
"6907","52.08333333","-7.6","5.0",,"",,"3"
"6908","51.65","-8.7","3.0",,"",,"3"
"6909","52.6","-9.43333333","3.0",,"",,"3"
"6940","43.16666667","3.0","1.0",,"",,"3"
"6941","44.43333333","-1.05","2.0",,"",,"3"
"6942","48.11666667","-4.2","1.0",,"",,"3"
"6943","49.41666667","-1.51666667","1.0",,"",,"3"
"6944","49.25","0.1","1.0",,"",,"3"
"6945","50.11666667","1.33333333","1.0",,"",,"3"
"6946","55.33333333","11.13333333","1.0",,"",,"3"
"6947","46.58333333","-2.11666667","1.0",,"",,"2"
"7044","30.13333333","29.06666667","30.0",,"",,"3"
"7291","50.13333333","-5.46666667","",,"",,"3"
"7292","45.21666667","12.28333333","",,"",,"3"
"22675","39.76666667","16.48333333","10.0",,"",,"3"
"22676","39.95","16.61666667","3.0",,"",,"3"
"22677","46.03333333","7.98333333","50.0",,"",,"3"
"22728","50.61666667","-2.25","3.0",,"",,"3"
"22729","50.2","-4.95","5.0",,"",,"3"
"22730","51.21666667","-3.61666667","5.0",,"",,"3"
"22731","51.38333333","-2.98333333","3.0",,"",,"3"
"22732","51.7","-5.16666667","5.0",,"",,"3"
"22733","52.13333333","-7.0","5.0",,"",,"3"
"22734","51.63333333","-8.53333333","3.0",,"",,"3"
"22735","54.03333333","-6.0","3.0",,"",,"3"
"22760","49.46666667","-2.45","2.0",,"",,"3"
"22857","31.01666667","27.0","20.0",,"",,"3"
"23100","39.79055556","19.7075","",,"",,"3"
"23146","38.70166667","20.70833333","1.0",,"",,"3"
"38769","40.48333333","8.35","1.0",,"",,"3"
"38770","40.91666667","8.71666667","10.0",,"",,"3"
"38771","39.5","8.53333333","10.0",,"",,"3"
"38828","50.81666667","-0.25","3.0",,"",,"3"
"38829","50.71666667","-1.75","",,"",,"3"
"38830","50.51666667","-2.45","50.0",,"",,"3"
"38831","50.58333333","-3.45","15.0",,"",,"3"
"38832","50.3","-4.08333333","3.0",,"",,"3"
"38833","49.96666667","-5.18333333","50.0",,"",,"3"
"38834","51.65","-5.05","5.0",,"",,"3"
"38835","53.06666667","-6.06666667","5.0",,"",,"3"
"38836","52.16666667","1.6","3.0",,"",,"3"
"38837","51.4","1.38333333","5.0",,"",,"3"
"38866","45.0","-0.96666667","2.0",,"",,"3"
"38867","45.5","-1.11666667","2.0",,"",,"3"
"38868","46.25","-1.3","1.0",,"",,"3"
"38869","46.58333333","-2.11666667","2.0",,"",,"2"
"38870","47.4","-3.1","1.0",,"",,"3"
"38871","49.16666667","-2.05","2.0",,"",,"3"
"38872","48.36666667","-1.28333333","1.0",,"",,"3"
"38873","56.0","11.3","2.0",,"",,"3"
"38874","55.76666667","10.61666667","1.0",,"",,"3"
"38998","30.11666667","29.05","25.0",,"",,"3"
"38999","31.0","30.03333333","25.0",,"",,"3"
"39000","30.13333333","32.03333333","15.0",,"",,"3"
"54594","39.25","17.2","3.0",,"",,"2"
"54595","38.9","17.01666667","3.0",,"",,"3"
"54596","41.0","9.6","3.0",,"",,"3"
"54597","39.33333333","9.13333333","140.0",,"",,"3"
"54598","39.15","9.4","10.0",,"",,"3"
"54650","50.68333333","-2.73333333","3.0",,"",,"3"
"54651","50.73333333","-2.91666667","3.0",,"",,"3"
"54652","52.58333333","-9.86666667","3.0",,"",,"3"
"54653","52.31666667","1.68333333","4.0",,"",,"3"
"54674","47.55","-4.23333333","3.0",,"",,"2"
"54675","48.53333333","-1.35","2.0",,"",,"3"
"54676","54.75","11.0","1.0",,"",,"3"
"54677","51.2","2.75","5.0",,"",,"3"
"54767","31.01666667","27.11666667","25.0",,"",,"3"
"54768","31.0","30.03333333","25.0",,"",,"3"
"54769","31.01666667","30.15","15.0",,"",,"3"
