"genesysId","instCode","name","aliasType","lang","version"
"6861",,"Wild beet","ACCENAME",,"0"
"6861",,"IDBBNR 5698","OTHERNUMB",,"1"
"6861",,"WB 545","OTHERNUMB",,"1"
"6861",,"Wild beet","OTHERNUMB",,"0"
"6861",,"DLD 0685","OTHERNUMB",,"0"
"6861",,"WB 545","DONORNUMB",,"0"
"6905",,"IDBBNR 5801","ACCENAME",,"0"
"6905",,"WB 629","OTHERNUMB",,"1"
"6905",,"IDBBNR 5801","OTHERNUMB",,"0"
"6905",,"DLD 0987","OTHERNUMB",,"0"
"6905",,"WB 629","DONORNUMB",,"0"
"6906",,"IDBBNR 5829","ACCENAME",,"0"
"6906",,"WB 657","OTHERNUMB",,"1"
"6906",,"IDBBNR 5829","OTHERNUMB",,"0"
"6906",,"DLD 0987","OTHERNUMB",,"0"
"6906",,"WB 657","DONORNUMB",,"0"
"6907",,"IDBBNR 5883","ACCENAME",,"0"
"6907",,"WB 711","OTHERNUMB",,"1"
"6907",,"IDBBNR 5883","OTHERNUMB",,"0"
"6907",,"DLD 0987","OTHERNUMB",,"0"
"6907",,"WB 711","DONORNUMB",,"0"
"6908",,"IDBBNR 5888","ACCENAME",,"0"
"6908",,"WB 716","OTHERNUMB",,"1"
"6908",,"IDBBNR 5888","OTHERNUMB",,"0"
"6908",,"DLD 0987","OTHERNUMB",,"0"
"6908",,"WB 716","DONORNUMB",,"0"
"6909",,"IDBBNR 5898","ACCENAME",,"0"
"6909",,"WB 726","OTHERNUMB",,"1"
"6909",,"IDBBNR 5898","OTHERNUMB",,"0"
"6909",,"DLD 0987","OTHERNUMB",,"0"
"6909",,"WB 726","DONORNUMB",,"0"
"6940",,"WB 817","ACCENAME",,"0"
"6940",,"WB 817","OTHERNUMB",,"0"
"6940",,"DD 0889","OTHERNUMB",,"0"
"6940",,"WB 817","DONORNUMB",,"0"
"6941",,"WB 828","ACCENAME",,"0"
"6941",,"WB 828","OTHERNUMB",,"0"
"6941",,"WB 828","DONORNUMB",,"0"
"6942",,"WB 869","ACCENAME",,"0"
"6942",,"WB 869","OTHERNUMB",,"0"
"6942",,"DD 0889","OTHERNUMB",,"0"
"6942",,"WB 869","DONORNUMB",,"0"
"6943",,"WB 903","ACCENAME",,"0"
"6943",,"WB 903","OTHERNUMB",,"0"
"6943",,"DD 0889","OTHERNUMB",,"0"
"6943",,"WB 903","DONORNUMB",,"0"
"6944",,"WB 911","ACCENAME",,"0"
"6944",,"WB 911","OTHERNUMB",,"0"
"6944",,"DD 0889","OTHERNUMB",,"0"
"6944",,"WB 911","DONORNUMB",,"0"
"6945",,"WB 916","ACCENAME",,"0"
"6945",,"WB 916","OTHERNUMB",,"0"
"6945",,"DD 0889","OTHERNUMB",,"0"
"6945",,"WB 916","DONORNUMB",,"0"
"6946",,"WB 925","ACCENAME",,"0"
"6946",,"WB 925","OTHERNUMB",,"0"
"6946",,"DD 0889","OTHERNUMB",,"0"
"6946",,"WB 925","DONORNUMB",,"0"
"6947",,"WB 955","ACCENAME",,"0"
"6947",,"WB 955","OTHERNUMB",,"0"
"6947",,"WB 955","DONORNUMB",,"0"
"6974",,"IDBBNR 5591","ACCENAME",,"0"
"6974","USA126","Ames 4195","OTHERNUMB",,"0"
"6974",,"WB 69","OTHERNUMB",,"1"
"6974",,"IDBBNR 5591","OTHERNUMB",,"0"
"6975",,"IDBBNR 5621","ACCENAME",,"0"
"6975","USA126","NSL 176290","OTHERNUMB",,"0"
"6975","USA126","Ames 4234","OTHERNUMB",,"0"
"6975",,"WB 284","OTHERNUMB",,"1"
"6975",,"IDBBNR 5621","OTHERNUMB",,"0"
"6976",,"IDBBNR 5626","ACCENAME",,"0"
"6976","USA126","NSL 176294","OTHERNUMB",,"0"
"6976","USA126","Ames 4239","OTHERNUMB",,"0"
"6976",,"WB 317","OTHERNUMB",,"1"
"6976",,"Kalymnas 30","OTHERNUMB",,"1"
"6976",,"IDBBNR 5626","OTHERNUMB",,"0"
"6977",,"IDBBNR 9677","ACCENAME",,"0"
"6977",,"041/82","OTHERNUMB",,"1"
"6977","USA126","Ames 14367","OTHERNUMB",,"0"
"6977",,"WB 771","OTHERNUMB",,"1"
"6977",,"IDBBNR 9677","OTHERNUMB",,"0"
"6977",,"041/82","DONORNUMB",,"0"
"7044",,"IDBBNR 9732","ACCENAME",,"0"
"7044",,"WB 1002","OTHERNUMB",,"1"
"7044",,"IDBBNR 9732","OTHERNUMB",,"0"
"7291",,"IDBBNR 1469","ACCENAME",,"0"
"7291","USA126","W6 20753","OTHERNUMB",,"0"
"7291",,"B0415","OTHERNUMB",,"1"
"7291",,"IDBBNR 1469","OTHERNUMB",,"0"
"7292",,"IDBBNR 9479","ACCENAME",,"0"
"7292","USA126","W6 20797","OTHERNUMB",,"0"
"7292",,"63416","OTHERNUMB",,"1"
"7292",,"IDBBNR 9479","OTHERNUMB",,"0"
"19895",,"IDBBNR 9702","ACCENAME",,"0"
"19895",,"021/80","OTHERNUMB",,"1"
"19895","USA126","Ames 14381","OTHERNUMB",,"0"
"19895",,"WB 785","OTHERNUMB",,"1"
"19895",,"IDBBNR 9702","OTHERNUMB",,"0"
"19895",,"021/80","DONORNUMB",,"0"
"19896",,"IDBBNR 9705","ACCENAME",,"0"
"19896",,"035/81","OTHERNUMB",,"1"
"19896","USA126","Ames 14384","OTHERNUMB",,"0"
"19896",,"WB 788","OTHERNUMB",,"1"
