"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"140445",,"474","199801--","10",,"1"
"3058831",,,,"99","Gebiet um Drogobychskaja; Koordinaten Drogobych","1"
"3058928",,,,"99","Ukrainische SSR","1"
"3059014",,,,"99","Gebiet um Staschelawskaja","1"
"3059202",,,,"99",,"1"
"3059203",,,,"99",,"1"
"3059204",,,,"99",,"1"
"3059205",,,,"99",,"1"
"3059421",,,,"99",,"1"
"3059425",,,,"99",,"1"
"3059433",,,,"99",,"1"
"3059455",,,,"99",,"2"
"3059471",,,,"99","China","1"
"3059554",,,,"99","Haute, Garonne","1"
"3059556","ITA-84","10278","19840919","99","Contrada Scifa, zwischen M. Basilico und Sella Entrata, 7 km von Gambarie an der Straße nach Bagaladi, Provinz Reggio di Calabria, Region Calabria","22"
"3059576",,,,"99",,"1"
"3059577",,,,"99",,"1"
"3059621",,,,"99","Belorussische SSR","1"
"3059622",,,,"99","Nordkaukasus; Koordinaten Kaukasus","1"
"3059623",,,,"99","Ukraine","1"
"3059624",,,,"99","Ivacevieskij","1"
"3059639",,,,"99","Ukraine","1"
"3059685",,,,"99","Litauische SSR","1"
"3059699",,,,"99","Ukrainische SSR","1"
"3059853",,,,"99","Synthetik DDR/Polen","1"
"3059854",,,,"99","Synthetik DDR/Polen","1"
"3059855",,,,"99","Synthetik DDR/Polen","1"
"3178248",,,,"99","Südost-Polen, auf dem Markt in Krakow gekauft","1"
"3178249",,,,"99","Südost-Polen, auf dem Markt in Krakow gekauft","1"
"3236999",,,,"40",,"12"
"3238569",,,,"40",,"12"
"3331013",,,"1987----","","coast near Dover","2"
"3331018",,,"1987----","","Cap Griz-Nez","2"
"3522590",,,"1964----","40",,"3"
"3523302",,,"1967----","40",,"3"
"3525657","C013",,"1975----","",,"19"
"3525661","C013",,"1975----","",,"19"
"3528067","C249",,"1982----","","Castilla-La Mancha, Toledo, Malpica de Tajo","13"
"3529226","C013",,"1986----","","Corse, Haute Corse, Corte","19"
"3827532",,"1802-70","19720901","20",,"1"
"4090714",,"EL7750",,"",,"1"
"4090715",,"EL3050",,"",,"1"
"4090716",,"EL1250",,"",,"1"
"4090717",,"EL1650",,"",,"1"
"4090718",,"EL5050",,"",,"1"
"4090719",,"EL3350",,"",,"1"
"4090720",,"EL7952",,"",,"1"
"4090721",,"EL6551",,"",,"1"
"4090722",,"EL7551",,"",,"1"
"4090723",,"EL6751",,"",,"1"
"4090724",,"EL3452",,"",,"1"
"4090725",,"EL251",,"",,"1"
"4090726",,"EL1151",,"",,"1"
"4090728",,"EL5250",,"",,"1"
"4090729",,"EL9051",,"",,"1"
"4090730",,"EL2550",,"",,"1"
"4090731",,"EL2651",,"",,"1"
"4090732",,"EL4351",,"",,"1"
"4090734",,"EL450",,"",,"1"
"4090736",,"EL350",,"",,"1"
"4090737",,"EL6450",,"",,"1"
"4090738",,"EL5551",,"",,"1"
"4090739",,"EL5752",,"",,"1"
"4090741",,"EL8650",,"",,"1"
"4090743",,"EL6851",,"",,"1"
"4090744",,"EL7850",,"",,"1"
"4090745",,"EL2451",,"",,"1"
"4090746",,"EL3650",,"",,"1"
"4090747",,"EL7451",,"",,"1"
"4090749",,"EL1750 P",,"",,"1"
"4090750",,"EL8451",,"",,"1"
"4090751",,"EL150",,"",,"1"
"4090752",,"EL2052",,"",,"1"
"4090753",,"EL3252",,"",,"1"
"4090754",,"EL3751",,"",,"1"
"4090755",,"EL552",,"",,"1"
"4090757",,"EL9151",,"",,"1"
"4090758",,"EL2752",,"",,"1"
"4090759",,"EL652",,"",,"1"
"4090760",,"EL3951",,"",,"1"
"4090762",,"EL7352",,"",,"1"
"4090765",,"EL9451 P",,"",,"1"
"4090767",,"EL4050 P",,"",,"1"
"4090773",,"EL9351 P",,"",,"1"
"4090777",,"EL8952 P",,"",,"1"
"4090778",,"EL7851 P",,"",,"1"
"4090779",,"EL5752 P",,"",,"1"
"4090788",,"EL8052 P",,"",,"1"
"4090795",,"EL5950 P",,"",,"1"
"4090811",,"EL4150 P",,"",,"1"
"6319219",,"Y-1-1","19850101","99","Philistean Plain","11"
