"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"140445","20684bc8-670d-4987-b2db-e1df718aa583","USA020","PI 649135",,"Brassica","napus","L.","","","Brassica napus L.","TUR","10","19980129","","true","false","10","100","USA005","","","","2014-07-23 19:03:49"
"2869247","b5e61505-8b43-4aba-a737-e475fc36e4b5","ETH013","6724","10.18730/G5YER","Brassica","napus","L.","","","Brassica napus L.",,,"19820602","true","true","false","10","100",,"","","437","2018-02-26 09:04:14"
"2869251","66dc2e57-9fda-4b76-932f-3110e9043b2f","ETH013","6720","10.18730/G5YAM","Brassica","napus","L.","","","Brassica napus L.",,,"19820602","true","true","false","10","100",,"","","437","2018-02-26 09:04:14"
"2869252","0583c78d-aec9-42e4-a35d-672cef6f638d","ETH013","6719","10.18730/G5Y8J","Brassica","napus","L.","","","Brassica napus L.",,,"19820602","true","true","false","10","100",,"","","437","2018-02-26 09:04:14"
"3058831","dbb740ca-174b-428a-a0ab-1db75fdea650","DEU271","CR 894","10.25642/IPK/GBIS/288709","Brassica","napus","L.","subsp. napus var. napus f. biennis","(Schübl. & Mart.) Thell.","Brassica napus L. subsp. napus var. napus f. biennis (Schübl. & Mart.) Thell.","SUN",,"19720901","true","","false","13","100","NOR051","","","1285","2020-05-11 07:04:58"
"3058928","ed3ff78c-63e8-4120-9ea3-0b5ca3d9be47","DEU271","CR 782","10.25642/IPK/GBIS/288600","Brassica","napus","L.","subsp. napus var. napus f. biennis","(Schübl. & Mart.) Thell.","Brassica napus L. subsp. napus var. napus f. biennis (Schübl. & Mart.) Thell.","UKR",,"19790901","true","","false","13","100","NOR051","","","1285","2020-05-11 07:04:49"
"3059014","29b9dae8-22cf-4a23-a98e-a1650b729eff","DEU271","CR 688","10.25642/IPK/GBIS/288507","Brassica","napus","L.","subsp. napus var. napus f. biennis","(Schübl. & Mart.) Thell.","Brassica napus L. subsp. napus var. napus f. biennis (Schübl. & Mart.) Thell.","RUS",,"19720901","true","","false","13","100","NOR051","","","1285","2020-05-11 07:05:05"
"3059202","55cee6d4-835b-4618-86ff-c55c07f9bc41","DEU271","CR 3257","10.25642/IPK/GBIS/290647","Brassica","napus","L.","subsp. napus var. napus f. annua","(Schübl. & Mart.) Thell.","Brassica napus L. subsp. napus var. napus f. annua (Schübl. & Mart.) Thell.","DEU",,"20030318","true","","false","13","100","NOR051","","","1285","2020-05-11 07:04:36"
"3059203","e8f3538e-2b80-4179-a21f-fb404a7e4534","DEU271","CR 3258","10.25642/IPK/GBIS/290648","Brassica","napus","L.","subsp. napus var. napus f. biennis","(Schübl. & Mart.) Thell.","Brassica napus L. subsp. napus var. napus f. biennis (Schübl. & Mart.) Thell.","DEU",,"20030318","true","","false","13","100","NOR051","","","1285","2020-05-11 07:03:32"
"3059204","2a60d9b5-e34f-434d-988b-7582692bfc73","DEU271","CR 3256","10.25642/IPK/GBIS/290646","Brassica","napus","L.","subsp. napus var. napus f. annua","(Schübl. & Mart.) Thell.","Brassica napus L. subsp. napus var. napus f. annua (Schübl. & Mart.) Thell.","DEU",,"20030318","true","","false","13","100","NOR051","","","1285","2020-05-11 07:04:43"
