"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"3058831","49.333333","23.5","",,"",,"6"
"3058928","49.0","32.0","",,"",,"2"
"3059554","43.5","1.5","",,"",,"2"
"3059556","39.4","16.5","1150.0",,"",,"4"
"3059622","42.833333","44.0","",,"",,"6"
"3059623","49.0","32.0","",,"",,"2"
"3059639","49.0","32.0","",,"",,"2"
"3059685","55.5","24.0","",,"",,"2"
"3059699","49.0","32.0","",,"",,"2"
"3528067","39.883333","-4.533333","398.0",,"",,"6"
"3529226","42.283333","9.15","433.0",,"",,"6"
"3827532","","","350.0",,"",,"0"
"6319219","31.806667","34.724444","40.0",,"",,"1"
