"genesysId","instCode","name","aliasType","lang","version"
"140445",,"NU 41737","ACCENAME",,"0"
"140445",,"474","OTHERNUMB",,"1"
"140445","USA126","Ames 24222","OTHERNUMB",,"0"
"140445",,"NU 41737","OTHERNUMB",,"0"
"140445",,"474","COLLNUMB",,"0"
"2869251",,"S 67","OTHERNUMB",,"1"
"2869252",,"S 71","OTHERNUMB",,"1"
"3058831","DEU273","720022a","DONORNUMB",,"0"
"3058831","RUS001","K 4130","OTHERNUMB",,"1"
"3058831","DEU273","720022a","OTHERNUMB",,"0"
"3058928","DEU273","790099","DONORNUMB",,"0"
"3058928",,"Muitnizkij","ACCENAME",,"0"
"3058928","RUS001","K 4417","OTHERNUMB",,"1"
"3058928","DEU273","790099","OTHERNUMB",,"0"
"3059014","DEU273","720022d","DONORNUMB",,"0"
"3059014","RUS001","K 4223","OTHERNUMB",,"1"
"3059014","DEU273","720022d","OTHERNUMB",,"0"
"3059202","DEU001","32716","OTHERNUMB",,"0"
"3059202","DEU001","32716","DONORNUMB",,"0"
"3059203","DEU001","48266","OTHERNUMB",,"0"
"3059203","DEU001","48266","DONORNUMB",,"0"
"3059204","DEU001","32695","OTHERNUMB",,"0"
"3059204","DEU001","32695","DONORNUMB",,"0"
"3059205","DEU001","32736","OTHERNUMB",,"0"
"3059205","DEU001","32736","DONORNUMB",,"0"
"3059421","DEU001","32790","OTHERNUMB",,"0"
"3059421","DEU001","32790","DONORNUMB",,"0"
"3059425","DEU001","32834","OTHERNUMB",,"0"
"3059425","DEU001","32834","DONORNUMB",,"0"
"3059433","DEU001","32789","OTHERNUMB",,"0"
"3059433","DEU001","32789","DONORNUMB",,"0"
"3059455","DEU273","720031","DONORNUMB",,"0"
"3059455",,"Moldavia","ACCENAME",,"0"
"3059455","RUS001","K 4132","OTHERNUMB",,"1"
"3059455","DEU273","720031","OTHERNUMB",,"0"
"3059471","DEU273","760040","OTHERNUMB",,"0"
"3059471","DEU273","760040","DONORNUMB",,"0"
"3059554","DEU146","K 5817","OTHERNUMB",,"0"
"3059556","DEU146","BRA 1161","OTHERNUMB",,"0"
"3059556","DEU146","K 6625","OTHERNUMB",,"0"
"3059556",,"10278","COLLNUMB",,"0"
"3059576","DEU146","BRA 1041","OTHERNUMB",,"0"
"3059576","DEU146","K 5262","OTHERNUMB",,"0"
"3059577","DEU146","BRA 1040","OTHERNUMB",,"0"
"3059577","DEU146","K 4812","OTHERNUMB",,"0"
"3059621","DEU273","727004g","DONORNUMB",,"0"
