"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"116654","15fbc0b9-ac0c-4a4b-bb6b-241b03f13ddf","USA020","PI 633151",,"Brassica","nigra","(L.) W. D. J. Koch","","","Brassica nigra (L.) W. D. J. Koch","GRC","10","19990920","","true","false","10;20","100","USA005","","","","2014-07-23 13:15:50"
"128112","58115fb4-abca-4fdf-94ba-b4ac88485851","USA020","PI 597830",,"Brassica","nigra","(L.) W. D. J. Koch","","","Brassica nigra (L.) W. D. J. Koch","ETH","10","19930823","","true","false","10","100","USA005","","","","2014-07-23 12:36:05"
"211938","71dc42c0-d813-4004-969c-8dd8a6e1095e","USA020","PI 633142",,"Brassica","nigra","(L.) W. D. J. Koch","","","Brassica nigra (L.) W. D. J. Koch","DEU","10","19950803","","true","false","10","100","USA005","","","","2014-07-23 11:50:13"
"287392","ea2fde4e-aedd-4588-824d-9ee36f9284cf","USA020","PI 597829",,"Brassica","nigra","(L.) W. D. J. Koch","","","Brassica nigra (L.) W. D. J. Koch","ESP","10","19930823","","true","false","10","100","USA005","","","","2014-07-23 12:14:45"
"398575","a4539b5c-063b-491f-bcc4-e6881331f210","USA020","PI 649154",,"Brassica","nigra","(L.) W. D. J. Koch","","","Brassica nigra (L.) W. D. J. Koch",,"10","19910827","","true","false","10","100","USA005","","","","2014-07-23 08:47:01"
"498425","48be85aa-197e-4f03-8ae1-4179543e9309","USA020","PI 633150",,"Brassica","nigra","(L.) W. D. J. Koch","","","Brassica nigra (L.) W. D. J. Koch","ISR","10","19980129","","true","false","10","100","USA005","","","","2014-07-23 13:43:36"
"2977156","0ad41459-4b0d-4b3f-ade4-33638ff0bc5c","BGR001","2000-BRA-NG-1",,"Brassica","nigra","(L.) W.D.J.Koch","","","Brassica nigra (L.) W.D.J.Koch","BGR",,,"","","false",,"100",,"","","1285","2020-05-11 06:18:20"
"2977402","a8655818-9c2e-41b6-ae49-2c7e603a984b","BGR001","1986-BRA-NI-4",,"Brassica","nigra","(L.) W.D.J.Koch","","","Brassica nigra (L.) W.D.J.Koch","BGR","10",,"","","false",,"100",,"","","1285","2020-05-11 06:14:58"
"2977403","f53cf945-eb9a-402d-9d5f-b2e80fcd8abc","BGR001","1986-BRA-NI-3",,"Brassica","nigra","(L.) W.D.J.Koch","","","Brassica nigra (L.) W.D.J.Koch","BGR","10",,"","","false",,"100",,"","","1285","2020-05-11 06:15:38"
"2977404","49c828a3-cef7-4d14-b3dc-77dc63c6e04a","BGR001","1986-BRA-NI-2",,"Brassica","nigra","(L.) W.D.J.Koch","","","Brassica nigra (L.) W.D.J.Koch","BGR","10",,"","","false",,"100",,"","","1285","2020-05-11 06:20:34"
"2977405","1151005b-932c-41c3-a1b2-7c8a1c0e0ef8","BGR001","1986-BRA-NI-1",,"Brassica","nigra","(L.) W.D.J.Koch","","","Brassica nigra (L.) W.D.J.Koch","BGR","10",,"","","false",,"100",,"","","1285","2020-05-11 06:15:59"
"2977406","7a80eada-cb00-4913-9af5-92b220655060","BGR001","1986-BRA-NI-5",,"Brassica","nigra","(L.) W.D.J.Koch","","","Brassica nigra (L.) W.D.J.Koch","BGR","10",,"","","false",,"100",,"","","1285","2020-05-11 06:20:45"
"2978275","aff883ab-a7b4-462b-b913-ffabbe1ea666","BGR001","1992-BRA-NI-1",,"Brassica","nigra","(L.) W.D.J.Koch","","","Brassica nigra (L.) W.D.J.Koch","BGR",,,"","","false",,"100",,"","","1285","2020-05-11 06:14:23"
"3058662","210c59f2-31b3-4e62-89ab-31f738f1aa0b","DEU271","CR 2703","10.25642/IPK/GBIS/290105","Brassica","nigra","(L.) W.D.J.Koch","subsp. hispida var. orientales","Sinskaya","Brassica nigra (L.) W.D.J.Koch subsp. hispida var. orientales Sinskaya","DEU",,"20030311","true","","false","13","100","NOR051","","","1285","2020-05-11 07:05:01"
"3058672","f15c1003-737d-48ea-bce5-37ddcea90007","DEU271","CR 2146","10.25642/IPK/GBIS/289592","Brassica","nigra","(L.) W.D.J.Koch","subsp. hispida var. rigida","Sinskaya","Brassica nigra (L.) W.D.J.Koch subsp. hispida var. rigida Sinskaya","TUR",,"1996----","true","","false","13","100","NOR051","","","1285","2020-05-11 07:04:25"
"3058673","d591ddf5-443f-4fc8-9b25-ce22fad6d807","DEU271","CR 2145","10.25642/IPK/GBIS/289591","Brassica","nigra","(L.) W.D.J.Koch","subsp. hispida var. rigida","Sinskaya","Brassica nigra (L.) W.D.J.Koch subsp. hispida var. rigida Sinskaya","FRA",,"1996----","true","","false","13","100","NOR051","","","1285","2020-05-11 07:05:58"
"3058678","5e229fae-5a6e-4476-8181-7793e6db517c","DEU271","CR 2140","10.25642/IPK/GBIS/289586","Brassica","nigra","(L.) W.D.J.Koch","subsp. hispida var. orientales","Sinskaya","Brassica nigra (L.) W.D.J.Koch subsp. hispida var. orientales Sinskaya","FRA",,"1994----","true","","false","13","100","NOR051","","","1285","2020-05-11 07:03:42"
"3058684","a6720fe1-304e-4409-a03e-1347bb70e8bb","DEU271","CR 2133","10.25642/IPK/GBIS/289579","Brassica","nigra","(L.) W.D.J.Koch","subsp. hispida var. rigida","Sinskaya","Brassica nigra (L.) W.D.J.Koch subsp. hispida var. rigida Sinskaya","DEU",,"1997----","true","","false","13","100","NOR051","","","1285","2020-05-11 07:04:19"
"3058686","f4aeb106-5098-43cc-b421-d37453305540","DEU271","CR 2131","10.25642/IPK/GBIS/289577","Brassica","nigra","(L.) W.D.J.Koch","subsp. hispida var. rigida","Sinskaya","Brassica nigra (L.) W.D.J.Koch subsp. hispida var. rigida Sinskaya","ITA",,"1984----","true","","false","13","100","NOR051","","","1285","2020-05-11 07:03:29"
"3058692","ef43111a-6c8e-418a-abe5-9492c88d9612","DEU271","CR 2125","10.25642/IPK/GBIS/289571","Brassica","nigra","(L.) W.D.J.Koch","subsp. hispida var. rigida","Sinskaya","Brassica nigra (L.) W.D.J.Koch subsp. hispida var. rigida Sinskaya","FRA",,"1991----","true","","false","13","100","NOR051","","","1285","2020-05-11 07:06:04"
"3058693","867e694c-695f-4263-a174-cb638f01cd2f","DEU271","CR 2124","10.25642/IPK/GBIS/289570","Brassica","nigra","(L.) W.D.J.Koch","","","Brassica nigra (L.) W.D.J.Koch","FRA",,"1997----","true","","false","13","100","NOR051","","","1285","2020-05-11 07:04:41"
"3058704","85065747-74f6-437b-ae3e-d4cef83f33e4","DEU271","CR 2113","10.25642/IPK/GBIS/289559","Brassica","nigra","(L.) W.D.J.Koch","","","Brassica nigra (L.) W.D.J.Koch","FRA",,"1977----","true","","false","13","100","NOR051","","","1285","2020-05-11 07:03:58"
"3058725","9758d75e-e2f3-4e49-8ed4-901b02086acc","DEU271","CR 2092","10.25642/IPK/GBIS/289538","Brassica","nigra","(L.) W.D.J.Koch","subsp. nigra var. nigra","","Brassica nigra (L.) W.D.J.Koch subsp. nigra var. nigra","ITA",,"1996----","true","","false","13","100","NOR051","","","1285","2020-05-11 07:05:55"
"3058729","20f44065-d890-4486-8c3c-47aab9e9b694","DEU271","CR 1210","10.25642/IPK/GBIS/289012","Brassica","nigra","(L.) W.D.J.Koch","subsp. nigra var. pseudocampestris","Sinskaya","Brassica nigra (L.) W.D.J.Koch subsp. nigra var. pseudocampestris Sinskaya",,,"1980----","true","","false","13","100","NOR051","","","1285","2020-05-11 07:03:39"
"3058735","6d688cbb-21d1-496c-b1a4-37069d8c82c8","DEU271","CR 1199","10.25642/IPK/GBIS/289001","Brassica","nigra","(L.) W.D.J.Koch","subsp. nigra var. nigra","","Brassica nigra (L.) W.D.J.Koch subsp. nigra var. nigra","BGR",,"1990----","true","","false","13","100","NOR051","","","1285","2020-05-11 07:03:46"
"3307722","79b88627-a2a3-4c0b-b977-222138bca004","SWE054","NGB2968",,"Brassica","nigra","(L.) W. D. J. Koch","","","Brassica nigra (L.) W. D. J. Koch","ALB",,"19920909","true","","false","11","100",,"","","1285","2020-05-11 11:48:11"
"3425328","c64809a3-fa90-4215-af75-8b82f7372ff9","UKR019","UE0400004",,"Brassica","nigra","(L.) Koch.","","","Brassica nigra (L.) Koch.","UKR","40","19970000","","","false","13","100",,"","","1285","2020-05-11 12:02:32"
"3522075","694371b0-b177-4337-8246-dec5cc07deb1","ESP003","NC058684",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ESP",,,"true","","false","13","100",,"","","1285","2020-05-11 07:08:45"
"3524250","c2a40bfd-cf8f-42a5-92b0-cf81a7994e8d","ESP003","NC060883",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ESP",,,"true","","false","13","100",,"","","1285","2020-05-11 07:08:23"
"3524264","3acee945-978e-4db9-8084-9245ab4ced56","ESP003","NC060897",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ETH",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:45"
"3525458","8ec8889f-0031-4d3c-a82c-85fedfcb3245","ESP003","NC062116",,"Brassica","nigra","(L.) Koch","var. dissecta","","Brassica nigra (L.) Koch var. dissecta","ESP",,"1998----","true","","false","13","100","ESP004","","","1285","2020-05-11 07:08:43"
"3525721","dbaa685a-dfb4-4f02-a47b-eabb7e4e3b75","ESP003","NC062386",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","IRN",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:44"
"3525858","6a3c6438-bd3a-4c1e-904a-7bff2e5c445f","ESP003","NC062528",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ESP",,,"true","","false","13","100",,"","","1285","2020-05-11 07:08:49"
"3528212","346d8c7f-de15-40fe-a449-09b8cd91cc02","ESP003","NC064938",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","TUR",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:48"
"3528224","8bda37f0-c2b6-4af7-9b7b-3e8d08e58c07","ESP003","NC064950",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","GRC",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:24"
"3528529","f507046b-c851-4861-b75a-c64e265cc9b8","ESP003","NC065259",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ITA",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:59"
"3528543","3f996ce1-1f1b-40a5-9b4e-7fd52a54093f","ESP003","NC065274",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ITA",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:44"
"3528555","831ad8b8-c337-4d0b-a809-84d1be10dca6","ESP003","NC065286",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ITA",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:23"
"3529302","4edcaffb-2e03-4093-8978-039487a5f9cd","ESP003","NC066133",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ISR",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:32"
"3529303","6255f0fc-a4d1-46de-ae29-1d03b23bb8f1","ESP003","NC066134",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ISR",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:52"
"3529304","7a289570-690b-43a2-9b46-dc6b6edab134","ESP003","NC066135",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ISR",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:36"
"3529305","0d8f0aa0-7d96-4736-9a69-b0b98166ed92","ESP003","NC066136",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ISR",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:53"
"3529306","3d4f6100-d9c2-47a1-8cba-09156b366461","ESP003","NC066137",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ISR",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:58"
"3529307","a60efad5-325f-481f-89fb-65df962c6501","ESP003","NC066138",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ISR",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:32"
"3529308","32a73eb7-5547-46d1-a97d-8de4c86bf705","ESP003","NC066139",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ISR",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:23"
"3529309","fe776bc6-23e1-44e9-b457-e11954464f37","ESP003","NC066140",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","ISR",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:53"
"3529607","76cea9ff-e090-44f3-b761-80f5eecca188","ESP003","NC066439",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","PRT",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:32"
"3529614","431bc748-1abb-4b3b-897b-91ad67a2069d","ESP003","NC066446",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","PRT",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:32"
"3529629","13fb436d-1b78-4e1d-8c99-67c7d20f1027","ESP003","NC066461",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","PRT",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:35"
"3530171","b7ef9fd4-c3f3-41cb-b253-87e0fb0a38f1","ESP003","NC067035",,"Brassica","nigra","(L.) KOCH","","","Brassica nigra (L.) KOCH","USA",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:38"
"3822372","52e7c47f-0e0b-4b92-a936-9aca5e92b4e1","GBR004","70395",,"Brassica","nigra","(L.) W.D.J.Koch","","","Brassica nigra (L.) W.D.J.Koch","GBR",,"19880909","false","false","false","10","110",,"","","4","2020-04-09 09:28:32"
"3948880","eef45927-5104-4db1-b5f8-27b75ab2c469","IRL029","IRL029BRS0119",,"Brassica","nigra","(L.)Koch","","","Brassica nigra (L.)Koch","IRL",,"20091124","true","","false",,"100",,"","","1285","2020-05-11 10:00:02"
"3948903","a50261b7-a4b6-4ad5-b805-4edb40040a53","IRL029","IRL029BRS0084",,"Brassica","nigra","(L.)Koch","","","Brassica nigra (L.)Koch","IRL",,"20091124","true","","false",,"100",,"","","1285","2020-05-11 09:59:55"
"3948926","b18a48a6-affa-4065-8ab3-9623a02670ab","IRL029","IRL029BRS0039",,"Brassica","nigra","(L.)Koch","","","Brassica nigra (L.)Koch","IRL",,"20091124","true","","false",,"100",,"","","1285","2020-05-11 10:00:02"
"3948964","0be41d13-e827-4146-81f0-aa3999d6ffbf","IRL029","IRL029BRS0025",,"Brassica","nigra","(L.)Koch","","","Brassica nigra (L.)Koch","IRL",,"20091124","true","","false",,"100",,"","","1285","2020-05-11 10:00:02"
