"genesysId","instCode","name","aliasType","lang","version"
"116654",,"G073","ACCENAME",,"0"
"116654","USA126","Ames 25461","OTHERNUMB",,"0"
"116654",,"G073","OTHERNUMB",,"0"
"116654",,"PWS0799","OTHERNUMB",,"0"
"116654",,"G073","COLLNUMB",,"0"
"128112",,"115-3481-82","ACCENAME",,"0"
"128112","USA126","Ames 21312","OTHERNUMB",,"0"
"128112","USA126","G 30233","OTHERNUMB",,"0"
"128112",,"115-3481-82","OTHERNUMB",,"0"
"128112",,"115-3481-82","DONORNUMB",,"0"
"211938",,"Index Seminum #160","ACCENAME",,"0"
"211938","USA126","Ames 22555","OTHERNUMB",,"0"
"211938",,"Index Seminum #160","OTHERNUMB",,"0"
"287392",,"114-0049-67","ACCENAME",,"0"
"287392","USA126","Ames 21311","OTHERNUMB",,"0"
"287392",,"114-0049-67","OTHERNUMB",,"0"
"287392",,"114-0049-67","DONORNUMB",,"0"
"398575",,"BCN 3023","ACCENAME",,"0"
"398575","USA126","Ames 25399","OTHERNUMB",,"0"
"398575","USA126","G 30177","OTHERNUMB",,"0"
"398575",,"BCN 3023","OTHERNUMB",,"0"
"398575",,"BCN 3023","DONORNUMB",,"0"
"498425",,"NU 42986","ACCENAME",,"0"
"498425",,"60-52A","OTHERNUMB",,"1"
"498425","USA126","Ames 24227","OTHERNUMB",,"0"
"498425",,"NU 42986","OTHERNUMB",,"0"
"498425",,"60-52A","COLLNUMB",,"0"
"2977156","BGR001","A0E0058","OTHERNUMB",,"0"
"2977402","BGR001","86E2225","OTHERNUMB",,"0"
"2977402",,"LOCAL","ACCENAME",,"0"
"2977403","BGR001","86E2224","OTHERNUMB",,"0"
"2977403",,"LOCAL","ACCENAME",,"0"
"2977404","BGR001","86E2223","OTHERNUMB",,"0"
"2977404",,"LOCAL","ACCENAME",,"0"
"2977405","BGR001","86E0161","OTHERNUMB",,"0"
"2977405",,"LOCAL","ACCENAME",,"0"
"2977406","BGR001","86E2226","OTHERNUMB",,"0"
"2977406",,"LOCAL","ACCENAME",,"0"
"2978275","BGR001","92E0060","OTHERNUMB",,"0"
"2978275",,"LOCAL","ACCENAME",,"0"
"3058662","DEU001","32960","OTHERNUMB",,"0"
"3058662","DEU001","32960","DONORNUMB",,"0"
"3058672","DEU146","K 9960","OTHERNUMB",,"0"
"3058673","DEU146","K 9956","OTHERNUMB",,"0"
"3058678","DEU146","K 9280","OTHERNUMB",,"0"
"3058684","DEU146","K 8382","OTHERNUMB",,"0"
"3058684","DEU015","156","OTHERNUMB",,"0"
"3058686","DEU146","K 8110","OTHERNUMB",,"0"
"3058692","DEU146","BRA 1439","OTHERNUMB",,"0"
"3058692","DEU146","K 8049","OTHERNUMB",,"0"
"3058693","DEU146","BRA 1438","OTHERNUMB",,"0"
"3058693","DEU146","K 8048","OTHERNUMB",,"0"
"3058704","DEU146","BRA 995","OTHERNUMB",,"0"
"3058704","DEU146","K 4603","OTHERNUMB",,"0"
"3058725","DEU146","K 10111","OTHERNUMB",,"0"
"3058725",,"12832","COLLNUMB",,"0"
"3058729","DEU146","805232","OTHERNUMB",,"0"
"3058735","DEU273","900672","OTHERNUMB",,"0"
"3058735","DEU273","900672","DONORNUMB",,"0"
"3058735",,"511","COLLNUMB",,"0"
"3307722","SWE030","BRASSICA NIGRA, SVARTSENAP","DONORNUMB",,"0"
"3307722",,"BRASSICA NIGRA","ACCENAME",,"0"
"3307722",,"SVARTSENAP","ACCENAME",,"0"
"3425328",,"00004","COLLNUMB",,"0"
"3822372",,"GB231B","COLLNUMB",,"0"
"3948880",,"TC004","COLLNUMB",,"0"
"3948903",,"TC003","COLLNUMB",,"0"
"3948926",,"TC002","COLLNUMB",,"0"
"3948964",,"TC001","COLLNUMB",,"0"
"4044335","DEU146","K 6498","OTHERNUMB",,"0"
"4283975",,"BRASSICA NIGRA SORT SENNEP","ACCENAME",,"0"
"4538540",,"566","COLLNUMB",,"0"
"4876959",,"Gara khardal","ACCENAME",,"0"
"4876959","AZE007","DERMAN-82","OTHERNUMB",,"0"
"4876959","AZE015","SEYYARE-82","OTHERNUMB",,"0"
"4876959",,"SEYYARE-82","COLLNUMB",,"0"
"5615783",,"Brni0601230510","COLLNUMB",,"0"
"5615784",,"Brni0501130609","COLLNUMB",,"0"
"5615787",,"Brni0401020708","COLLNUMB",,"0"
"5615789",,"Brni0401240609","COLLNUMB",,"0"
"5615791",,"Brni1201030608","COLLNUMB",,"0"
"5615794",,"Brni0601080710","COLLNUMB",,"0"
"5615795",,"Brni0101190708","COLLNUMB",,"0"
"5615802",,"Brni0801230510","COLLNUMB",,"0"
"5615805",,"Brni0101220609","COLLNUMB",,"0"
"5615818",,"Brni0201250609","COLLNUMB",,"0"
"5615829",,"Brni0101180510","COLLNUMB",,"0"
"5615833",,"Brni0201100608","COLLNUMB",,"0"
"5616186",,"Brni0201090807","COLLNUMB",,"0"
"5616202",,"Brni-5-62","COLLNUMB",,"0"
"5616203",,"Brni0107170907","COLLNUMB",,"0"
"5616204",,"Brni-5-63","COLLNUMB",,"0"
"5616207",,"Brni0101250507","COLLNUMB",,"0"
"5616208",,"Brni0000300907","COLLNUMB",,"0"
"5616211",,"Brni0101300807","COLLNUMB",,"0"
"5616219",,"Brni-5-21","COLLNUMB",,"0"
"5616221",,"Brni-5-61","COLLNUMB",,"0"
"5616223",,"Brni0501131107","COLLNUMB",,"0"
"6556103",,"Brni0102170907","COLLNUMB",,"0"
"6556220",,"Brni0302050707","COLLNUMB",,"0"
"6556273",,"Brni0107170907","COLLNUMB",,"0"
"6556459",,"Brni0101300807","COLLNUMB",,"0"
"6556460",,"Brni0501131107","COLLNUMB",,"0"
"6556674",,"Brni0201090807","COLLNUMB",,"0"
"6556690",,"Brni0000300907","COLLNUMB",,"0"
"6556857",,"Brni0401020708","COLLNUMB",,"0"
"6557022",,"Brni0201100608","COLLNUMB",,"0"
"6557026",,"Brni0101190708","COLLNUMB",,"0"
"6557167",,"Brni0201250609","COLLNUMB",,"0"
"6557485",,"Brni-5-21","COLLNUMB",,"0"
"6557487",,"Brni-5-61","COLLNUMB",,"0"
"6557491",,"Brni-5-62","COLLNUMB",,"0"
"6557591",,"Brni0101180510","COLLNUMB",,"0"
"6557592",,"Brni0601230510","COLLNUMB",,"0"
"6558337",,"Brni0801230510","COLLNUMB",,"0"
"6558344",,"Brni0601080710","COLLNUMB",,"0"
"6558552",,"Brni0101220609","COLLNUMB",,"0"
"6558553",,"Brni0401240609","COLLNUMB",,"0"
"6558554",,"Brni0501130609","COLLNUMB",,"0"
