"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"271482",,,,"10","Near Alexandria.","1"
"278391",,"UKR-99-267","19990628","10","Ayudag, east of Hurzuf.","1"
"325825",,,,"10","Kanton, China","1"
"371023",,"9751","19480820","10","Bareilly.","1"
"3058175",,,,"99",,"1"
"3058284","ITA-95","12745","19951122","99","Aritzo","16"
"3058286","ITA-94/2","12482","19941124","99","Khanna, aus Richtung Tracino (Insel Pantelleria)","15"
"3058322",,,,"99",,"1"
"3058361","CSK-77","209","19770817","99","Hrabová Raztoka, Niedere Beskiden - Übergang zum Vihorlat-Gebirge","16"
"3176328",,,,"99",,"1"
"3178234",,,,"99","Suomi","1"
"3237085",,,,"40",,"12"
"3237130",,,,"40",,"12"
"3312532",,,"20030805","20","Lindbjerg","1"
"3329996",,"BFS 9029","1990----","60","Dagestan. Derbent, Djalgon Mountain","15"
"3337582",,,"1982----","10","California, Salinas Valley","3"
"3522587",,,"1964----","40",,"3"
"3522593",,,"1964----","",,"2"
"3523385",,,"1968----","40",,"3"
"3523443",,,"1968----","40",,"3"
"3523752","C013",,"1969----","",,"13"
"3523813","C013",,"1970----","",,"18"
"3524127",,,"1972----","40",,"3"
"3525658","C013",,"1975----","",,"18"
"3527707",,,"1981----","",,"2"
"3527822","C013",,"1981----","",,"18"
"3528068","C249",,"1982----","","Castilla-La Mancha, Toledo, Malpica de Tajo","13"
"3528188","C228",,"1983----","",,"4"
"3528370","C013",,"1984----","",,"18"
"3528519","C094",,"1984----","","Campania, Napoli, Serrara Fontana, Serrara,isla Ischia","4"
"3528545","C094",,"1984----","","Sicilia, Palermo, Caccamo, Sciara","4"
"3793472",,"HHXY001","20060411","10",,"2"
"3805217",,"LEB-377","20050514","10",,"2"
"3819412",,"MSABMT 087","19950620","10",,"2"
"3827530",,"1803-70","19720801","20",,"1"
"3829786",,"UPM6278",,"","BALCESINE,","13"
"3832014",,"UPM6652",,"","SICILY, PIANE DEGLI","12"
"3835764",,"1803-70","19700609","10","S ORAN, ROADSIDE","13"
"3948844",,"BR0807S11","20080801","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948845",,"BR0807S12","20080801","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948846",,"BR0807S13","20080801","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948847",,"BR0807S14","20080801","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948848",,"BR0807S15","20080801","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948865",,"BR0807S9","20080801","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948866",,"BR0807S10","20080801","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948867",,"BR0807S6","20080801","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948868",,"BR0807S7","20080801","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948869",,"BR0807S8","20080801","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948870",,"BR0806S27B","20080731","61","Royal Canal, 300m SW of Dublin Road Bridge, Mullingar, Co. Westmeath","14"
"3948871",,"BR0806S28B","20080731","61","Royal Canal, 300m SW of Dublin Road Bridge, Mullingar, Co. Westmeath","12"
"3948872",,"BR0806S29B","20080731","61","Royal Canal, 300m SW of Dublin Road Bridge, Mullingar, Co. Westmeath","14"
"3948873",,"BR0806S30B","20080731","61","Royal Canal, 300m SW of Dublin Road Bridge, Mullingar, Co. Westmeath","14"
"3948874",,"BR0806S31B","20080731","61","Royal Canal, 300m SW of Dublin Road Bridge, Mullingar, Co. Westmeath","12"
"3948875",,"BR0806S32B","20080731","61","Royal Canal, 300m SW of Dublin Road Bridge, Mullingar, Co. Westmeath","12"
"3948876",,"BR0807S1","20080801","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948877",,"BR0807S2","20080801","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948878",,"BR0807S3","20080801","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
