"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"278391","44.51666667","34.35","120.0",,"",,"3"
"3058284","39.955278","9.196667","820.0",,"",,"6"
"3058286","36.799167","12.031944","150.0",,"",,"6"
"3058361","48.88","22.298889","",,"600.0",,"5"
"3312532","55.765556","8.671944","",,"",,"6"
"3329996","42.016667","48.266667","709.0",,"5000.0",,"7"
"3527822","-38.55","-58.75","",,"",,"4"
"3528068","39.883333","-4.533333","398.0",,"",,"6"
"3528188","40.816667","42.816667","2137.0",,"",,"6"
"3528519","40.7","13.9","1.0",,"",,"4"
"3528545","37.916667","13.75","",,"",,"6"
"3793472","","","281.0",,"",,"0"
"3805217","","","950.0",,"",,"0"
"3819412","","","1990.0",,"",,"0"
"3827530","","","350.0",,"",,"0"
"3835764","35.5","-1.0","350.0",,"",,"2"
"4283848","55.668611","13.103889","12.0",,"",,"5"
"4336174","33.64222222","-117.88666667","",,"",,"2"
"4392817","33.50166667","-117.6625","",,"",,"2"
"4397935","33.66027778","-117.99916667","",,"",,"2"
"4411014","33.19583333","-117.37944444","",,"",,"2"
"4422279","33.64611111","-117.84277778","",,"",,"2"
"4425769","33.21027778","-117.39277778","",,"",,"2"
"4427375","33.50166667","-117.6625","",,"",,"2"
"4878919","41.045","45.586944","369.0",,"",,"2"
"4878947","40.518889","49.688333","34.0",,"",,"2"
"4895260","53.291389","-6.320278","67.0",,"",,"2"
"5628677","55.770278","9.469444","",,"",,"0"
"5628679","55.705","8.546667","",,"",,"0"
"5628689","55.709722","8.344167","",,"",,"0"
"6283391","","","480.0",,"",,"0"
