"genesysId","instCode","name","aliasType","lang","version"
"271482",,"133-4623-77","ACCENAME",,"0"
"271482","USA126","Ames 21313","OTHERNUMB",,"0"
"271482",,"133-4623-77","OTHERNUMB",,"0"
"271482",,"133-4623-77","DONORNUMB",,"0"
"278391",,"UKR-99-267","ACCENAME",,"0"
"278391","USA126","Ames 25642","OTHERNUMB",,"0"
"278391",,"UKR-99-267","OTHERNUMB",,"0"
"278391",,"UKR-99-267","COLLNUMB",,"0"
"325825",,"CR 1475/92b","ACCENAME",,"0"
"325825",,"BRA 117/77","OTHERNUMB",,"1"
"325825","USA126","Ames 23075","OTHERNUMB",,"0"
"325825",,"CR 1475/92b","OTHERNUMB",,"0"
"371023",,"9751","ACCENAME",,"0"
"371023",,"61-181","OTHERNUMB",,"1"
"371023",,"9751","OTHERNUMB",,"0"
"371023",,"9751","COLLNUMB",,"0"
"3058175","DEU001","32791","OTHERNUMB",,"0"
"3058175","DEU001","32791","DONORNUMB",,"0"
"3058284","DEU146","K 9907","OTHERNUMB",,"0"
"3058284",,"12745","COLLNUMB",,"0"
"3058286","DEU146","K 9659","OTHERNUMB",,"0"
"3058286",,"12482","COLLNUMB",,"0"
"3058322","DEU146","BRA 1048","OTHERNUMB",,"0"
"3058322","DEU146","K 5456","OTHERNUMB",,"0"
"3058361","DEU146","BRA 1004","OTHERNUMB",,"0"
"3058361","DEU146","K 4767","OTHERNUMB",,"0"
"3058361",,"209","COLLNUMB",,"0"
"3176328","DEU001","49580","DONORNUMB",,"0"
"3176328",,"BELYI SAR","ACCENAME",,"0"
"3176328","DEU001","49580","OTHERNUMB",,"0"
"3176328","RUS001","WIR 001059","OTHERNUMB",,"0"
"3178234","DEU146","K 9950","OTHERNUMB",,"0"
"3237085","HUN003","051805","OTHERNUMB",,"0"
"3237130","HUN003","051806","OTHERNUMB",,"0"
"3312532",,"Lindbjerg","ACCENAME",,"0"
"3312532",,"Lindbjerg","DONORNUMB",,"0"
"3329996",,"BFS9029","DONORNUMB",,"1"
"3329996",,"BFS 9029","COLLNUMB",,"0"
"3793472",,"HHXY001","COLLNUMB",,"0"
"3805217",,"LEB-377","COLLNUMB",,"0"
"3819412",,"MSABMT 087","COLLNUMB",,"0"
"3827530",,"1803-70","COLLNUMB",,"0"
"3829786",,"73","DONORNUMB",,"1"
"3829786",,"UPM6278","COLLNUMB",,"0"
"3832014",,"75","DONORNUMB",,"1"
"3832014",,"UPM6652","COLLNUMB",,"0"
"3835764",,"KEW 0003056","DONORNUMB",,"1"
"3835764",,"1803-70","COLLNUMB",,"0"
"3948844",,"BR0807S11","COLLNUMB",,"0"
"3948845",,"BR0807S12","COLLNUMB",,"0"
"3948846",,"BR0807S13","COLLNUMB",,"0"
"3948847",,"BR0807S14","COLLNUMB",,"0"
"3948848",,"BR0807S15","COLLNUMB",,"0"
"3948865",,"BR0807S9","COLLNUMB",,"0"
"3948866",,"BR0807S10","COLLNUMB",,"0"
"3948867",,"BR0807S6","COLLNUMB",,"0"
"3948868",,"BR0807S7","COLLNUMB",,"0"
"3948869",,"BR0807S8","COLLNUMB",,"0"
"3948870",,"BR0806S27B","COLLNUMB",,"0"
"3948871",,"BR0806S28B","COLLNUMB",,"0"
"3948872",,"BR0806S29B","COLLNUMB",,"0"
"3948873",,"BR0806S30B","COLLNUMB",,"0"
"3948874",,"BR0806S31B","COLLNUMB",,"0"
"3948875",,"BR0806S32B","COLLNUMB",,"0"
"3948876",,"BR0807S1","COLLNUMB",,"0"
"3948877",,"BR0807S2","COLLNUMB",,"0"
"3948878",,"BR0807S3","COLLNUMB",,"0"
"3948879",,"BR0807S4","COLLNUMB",,"0"
"3948881",,"BR0806S26B","COLLNUMB",,"0"
"3948882",,"BR0806S25B","COLLNUMB",,"0"
"3948883",,"BR0806S24B","COLLNUMB",,"0"
"3948884",,"BR0806S22B","COLLNUMB",,"0"
"3948885",,"BR0806S23B","COLLNUMB",,"0"
"3948886",,"BR0806S21B","COLLNUMB",,"0"
"3948887",,"BR0806S20B","COLLNUMB",,"0"
"3948888",,"BR0806S19B","COLLNUMB",,"0"
"3948889",,"BR0806S18B","COLLNUMB",,"0"
"3948890",,"BR0806S16A","COLLNUMB",,"0"
"3948891",,"BR0806S15A","COLLNUMB",,"0"
"3948892",,"BR0806S12A","COLLNUMB",,"0"
"3948893",,"BR0806S13A","COLLNUMB",,"0"
"3948894",,"BR0806S14A","COLLNUMB",,"0"
"3948895",,"BR0806S3A","COLLNUMB",,"0"
"3948896",,"BR0806S11A","COLLNUMB",,"0"
"3948897",,"BR0806S10A","COLLNUMB",,"0"
"3948898",,"BR0806S9A","COLLNUMB",,"0"
"3948899",,"BR0806S8A","COLLNUMB",,"0"
"3948900",,"BR0806S6A","COLLNUMB",,"0"
"3948901",,"BR0806S5A","COLLNUMB",,"0"
"3948902",,"BR0806S4A","COLLNUMB",,"0"
"3948904",,"BR0806S2A","COLLNUMB",,"0"
"3948905",,"BR0806S1A","COLLNUMB",,"0"
"3948906",,"BR0805S4","COLLNUMB",,"0"
"3948907",,"BR0805S12","COLLNUMB",,"0"
"3948908",,"BR0805S13","COLLNUMB",,"0"
"3948909",,"BR0805S14","COLLNUMB",,"0"
"3948910",,"BR0805S15","COLLNUMB",,"0"
"3948911",,"BR0805S20","COLLNUMB",,"0"
"3948912",,"BR0803S36C","COLLNUMB",,"0"
"3948913",,"BR0803S38C","COLLNUMB",,"0"
"3948914",,"BR0803S40C","COLLNUMB",,"0"
"3948915",,"BR0804S1","COLLNUMB",,"0"
"3948916",,"BR0804S2","COLLNUMB",,"0"
"3948917",,"BR0804S3","COLLNUMB",,"0"
"3948918",,"BR0804S10","COLLNUMB",,"0"
"3948919",,"BR0804S11","COLLNUMB",,"0"
"3948920",,"BR0804S13","COLLNUMB",,"0"
"3948921",,"BR0804S14","COLLNUMB",,"0"
"3948922",,"BR0803S29C","COLLNUMB",,"0"
"3948923",,"BR0803S30C","COLLNUMB",,"0"
"3948924",,"BR0803S35C","COLLNUMB",,"0"
"3948925",,"BR0803S19B","COLLNUMB",,"0"
"3948927",,"BR0803S4A","COLLNUMB",,"0"
"3948928",,"BR0803S5A","COLLNUMB",,"0"
"3948929",,"BR0803S6A","COLLNUMB",,"0"
"3948930",,"BR0803S28C","COLLNUMB",,"0"
"3948931",,"BR0803S27C","COLLNUMB",,"0"
"3948932",,"BR0803S26C","COLLNUMB",,"0"
"3948933",,"BR0803S25C","COLLNUMB",,"0"
"3948934",,"BR0803S24C","COLLNUMB",,"0"
"3948935",,"BR0803S23C","COLLNUMB",,"0"
"3948936",,"BR0803S22B","COLLNUMB",,"0"
"3948937",,"BR0803S21B","COLLNUMB",,"0"
"3948938",,"BR0803S20B","COLLNUMB",,"0"
"3948939",,"BR0803S2A","COLLNUMB",,"0"
"3948940",,"BR0803S18B","COLLNUMB",,"0"
"3948941",,"BR0803S17B","COLLNUMB",,"0"
"3948942",,"BR0803S16B","COLLNUMB",,"0"
"3948943",,"BR0803S15B","COLLNUMB",,"0"
"3948944",,"BR0803S14B","COLLNUMB",,"0"
"3948945",,"BR0803S13B","COLLNUMB",,"0"
"3948946",,"BR0803S12A","COLLNUMB",,"0"
"3948947",,"BR0803S11A","COLLNUMB",,"0"
"3948948",,"BR0803S10A","COLLNUMB",,"0"
"3948949",,"BR0803S9A","COLLNUMB",,"0"
"3948950",,"BR0803S8A","COLLNUMB",,"0"
"3948951",,"BR0803S7A","COLLNUMB",,"0"
"3948952",,"BR0803S1A","COLLNUMB",,"0"
"3948953",,"BR0802S15","COLLNUMB",,"0"
"3948954",,"BR0802S14","COLLNUMB",,"0"
"3948955",,"BR0802S13","COLLNUMB",,"0"
"3948956",,"BR0802S11","COLLNUMB",,"0"
"3948957",,"BR0802S12","COLLNUMB",,"0"
"3948958",,"BR0802S9","COLLNUMB",,"0"
"3948959",,"BR0802S10","COLLNUMB",,"0"
"3948960",,"BR0802S8","COLLNUMB",,"0"
"3948961",,"BR0802S7","COLLNUMB",,"0"
"3948962",,"BR0802S6","COLLNUMB",,"0"
"3948963",,"BR0802S5","COLLNUMB",,"0"
"3948965",,"BR0802S2","COLLNUMB",,"0"
"3948966",,"BR0802S1","COLLNUMB",,"0"
"3948967",,"BR0801S22","COLLNUMB",,"0"
"3948968",,"BR0801S21","COLLNUMB",,"0"
"3948969",,"BR0801S20","COLLNUMB",,"0"
"3948970",,"BR0801S19","COLLNUMB",,"0"
"3948971",,"BR0801S18","COLLNUMB",,"0"
"3948972",,"BR0801S17","COLLNUMB",,"0"
"3948973",,"BR0801S16","COLLNUMB",,"0"
"3948974",,"BR0801S15","COLLNUMB",,"0"
"3948975",,"BR0801S14","COLLNUMB",,"0"
"3948976",,"BR0801S13","COLLNUMB",,"0"
"3948977",,"BR0801S12","COLLNUMB",,"0"
"3948978",,"BR0801S11","COLLNUMB",,"0"
"3948979",,"BR0801S10","COLLNUMB",,"0"
"3948980",,"BR0801S9","COLLNUMB",,"0"
"3948981",,"BR0801S8","COLLNUMB",,"0"
"3948982",,"BR0801S7","COLLNUMB",,"0"
"3948983",,"BR0801S6","COLLNUMB",,"0"
"3948984",,"BR0801S5","COLLNUMB",,"0"
"3948985",,"BR0801S4","COLLNUMB",,"0"
"3948986",,"BR0801S3","COLLNUMB",,"0"
"3948987",,"BR0801S2","COLLNUMB",,"0"
"3948988",,"BR0801S1","COLLNUMB",,"0"
"4034159",,"Koushuu Wase","ACCENAME",,"0"
"4034159","DEU146","K 8512","OTHERNUMB",,"0"
"4068988",,"76","DONORNUMB",,"1"
"4068988",,"UPM6464","COLLNUMB",,"0"
"4071756",,"JA1","COLLNUMB",,"0"
"4090733",,"IMB218DH1","DONORNUMB",,"1"
"4090733",,"IMB218DH1","COLLNUMB",,"0"
"4283848",,"Lönstorp GP0101","ACCENAME",,"0"
"4336174",,"Ames 30082","ACCENAME",,"0"
"4336174","USA126","Ames 30082","OTHERNUMB",,"0"
"4392817",,"Ames 30080","ACCENAME",,"0"
"4392817","USA126","Ames 30080","OTHERNUMB",,"0"
"4397935",,"Ames 30078","ACCENAME",,"0"
"4397935","USA126","Ames 30078","OTHERNUMB",,"0"
"4411014",,"Ames 30083","ACCENAME",,"0"
"4411014","USA126","Ames 30083","OTHERNUMB",,"0"
"4422279",,"Ames 30081","ACCENAME",,"0"
"4422279","USA126","Ames 30081","OTHERNUMB",,"0"
"4425769",,"Ames 30084","ACCENAME",,"0"
"4425769","USA126","Ames 30084","OTHERNUMB",,"0"
"4427375",,"Ames 30079","ACCENAME",,"0"
"4427375","USA126","Ames 30079","OTHERNUMB",,"0"
"4878919","AZE015","STIV383","OTHERNUMB",,"0"
"4878919","AZE015","aze-y194","OTHERNUMB",,"0"
"4878919",,"STIV383","COLLNUMB",,"0"
"4878947","AZE015","STIV644","OTHERNUMB",,"0"
"4878947","AZE015","aze-y341","OTHERNUMB",,"0"
"4878947",,"STIV644","COLLNUMB",,"0"
"4895260","DEU146","K 10650","OTHERNUMB",,"0"
"4895260",,"58","COLLNUMB",,"0"
"5628677",,"Brandbjerg_kf201407230101","ACCENAME",,"0"
"5628679",,"Horne_kf201407170101","ACCENAME",,"0"
"5628689",,"Outrup_kf201407220101","ACCENAME",,"0"
"6283391",,"rapa [vernacular name]","ACCENAME",,"0"
"6283391",,"7455","COLLNUMB",,"0"
"6283391","DEU146","BRA 2837","OTHERNUMB",,"0"
"6283391","DEU146","K 5640","OTHERNUMB",,"0"
