"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"3175214","43.215","11.373889","",,"",,"5"
"3175216","52.103889","9.364722","",,"3000.0",,"5"
"3804703","","","1480.0",,"",,"0"
"3804727","","","900.0",,"",,"0"
"3815167","","","861.0",,"",,"0"
"4066786","40.570278","-1.760833","1460.0",,"",,"5"
"4536112","","","70.0",,"",,"0"
"4537454","","","1220.0",,"",,"0"
"4547050","","","800.0",,"",,"0"
"5615890","33.255278","35.723056","750.0",,"",,"2"
"5615894","31.938333","34.971111","182.0",,"",,"2"
"5615907","31.939167","34.973611","182.0",,"",,"2"
"5615917","31.950833","35.261944","840.0",,"",,"2"
"5615924","32.998611","35.408056","1190.0",,"",,"2"
"5615931","33.108333","35.787778","1130.0",,"",,"2"
"5615944","33.005556","35.525833","600.0",,"",,"2"
"5615951","32.636944","35.288333","88.0",,"",,"2"
"5615953","32.786111","35.245","190.0",,"",,"2"
"5615957","32.630556","35.123333","147.0",,"",,"2"
"5615967","31.540833","35.128889","940.0",,"",,"2"
"5615970","31.540556","35.128889","940.0",,"",,"2"
"5615973","33.050556","35.849444","1100.0",,"",,"2"
"5616417","31.931667","35.233333","851.0",,"",,"2"
"6322056","31.698333","34.982778","365.0",,"",,"1"
"6556109","","","1190.0",,"",,"0"
"6556893","","","182.0",,"",,"0"
"6557408","","","1130.0",,"",,"0"
"6558998","","","365.0",,"",,"0"
