"genesysId","instCode","name","aliasType","lang","version"
"6126",,"No. 30","ACCENAME",,"0"
"6126",,"900718","OTHERNUMB",,"1"
"6126","USA126","Ames 19335","OTHERNUMB",,"0"
"6126",,"No. 30","OTHERNUMB",,"0"
"6126",,"No. 30","DONORNUMB",,"0"
"3175214","DEU146","K 5332","OTHERNUMB",,"0"
"3175216","DEU146","K 5236","OTHERNUMB",,"0"
"3804703",,"2005JOR 18-4","COLLNUMB",,"0"
"3804727",,"2005JOR 7-4","COLLNUMB",,"0"
"3815167",,"MSSSZT 1135","COLLNUMB",,"0"
"4536112",,"467PV","COLLNUMB",,"0"
"4537454",,"MSSK 2036","COLLNUMB",,"0"
"4547050",,"300713-04","COLLNUMB",,"0"
"4890158",,"NO-01-0418-2011","COLLNUMB",,"0"
"4895983",,"NW-03-0027-2011","COLLNUMB",,"0"
"4895986",,"NW-03-0021-2011","COLLNUMB",,"0"
"4896000",,"NW-03-0026-2011","COLLNUMB",,"0"
"4896002",,"NW-03-0029-2011","COLLNUMB",,"0"
"4896013",,"NW-01-0313-2010","COLLNUMB",,"0"
"4897039",,"SO-06-1028-2013","COLLNUMB",,"0"
"4897043",,"SO-06-1029-2013","COLLNUMB",,"0"
"4897045",,"SO-01-0100-2010","COLLNUMB",,"0"
"4897056",,"SO-06-1027-2013","COLLNUMB",,"0"
"5615890",,"Cara0102100708","COLLNUMB",,"0"
"5615894",,"Cara0203280508","COLLNUMB",,"0"
"5615907",,"Cara0201280508","COLLNUMB",,"0"
"5615917",,"Cara0101020510","COLLNUMB",,"0"
"5615924",,"Cara0304260607","COLLNUMB",,"0"
"5615931",,"Cara0401220708","COLLNUMB",,"0"
"5615944",,"Cara0301020908","COLLNUMB",,"0"
"5615951",,"Cara0301070508","COLLNUMB",,"0"
"5615953",,"Cara0101100507","COLLNUMB",,"0"
"5615957",,"Cara0101030608","COLLNUMB",,"0"
"5615967",,"Cara0204290508","COLLNUMB",,"0"
"5615970",,"Cara0306310708","COLLNUMB",,"0"
"5615973",,"Cara0301100708","COLLNUMB",,"0"
"5616417",,"Cara0101060611","COLLNUMB",,"0"
"6322056",,"Cara0301100517","COLLNUMB",,"0"
"6418844",,"MSSSZT1135","COLLNUMB",,"0"
"6420546",,"2005JOR18-4","COLLNUMB",,"0"
"6420551",,"2005JOR7-4","COLLNUMB",,"0"
"6556109",,"Cara0304260607","COLLNUMB",,"0"
"6556893",,"Cara0201280508","COLLNUMB",,"0"
"6557408",,"Cara0401220708","COLLNUMB",,"0"
"6558998",,"Cara0301100517","COLLNUMB",,"0"
