"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"21915",,,"19920730","10","Meadows in Zlaty potok stream valley, Hermanovice, Hruby Jesenik Mts., N Moravia.","1"
"71033",,,"1994----","10","Ridge in the Central Jura Mountains.","1"
"166815",,,"1993----","10","Sobianowice, Lublin","1"
"182792",,"B96-221.2","19960710","10","Above village of Salishta.","1"
"246459",,"1661","199801--","10",,"1"
"278346",,"B96-182","19960709","10","4 km north of Pomporovo.","1"
"325849",,"B96-209","19960710","10",,"1"
"357566",,,,"10","Bieszczady Mountains at Czertycz (500-600m)","1"
"373313",,"B96-265","19960712","10","North side of Balkans (just over ridge).","1"
"389260",,"B96-110","19960706","10","10 km from the village of Batak.","1"
"405219",,,,"10","Crests of Central Jura Mountains.","1"
"405276",,"145","199801--","10",,"1"
"405277",,"867","199801--","10",,"1"
"452665",,"AJC168","19880817","10","Top of Kukuyu Pass, 30km W of Cherga, Altai region","1"
"483558",,,"19920908","10","Seashore meadow, Akvarium, Tromso.","1"
"500754",,,"1995----","10","Near Plodovoye, Priozerskiy District.","1"
"3173376",,,,"99",,"1"
"3173378",,,,"99",,"1"
"3173379",,,,"99",,"1"
"3173380",,,,"99",,"1"
"3173381",,,,"99",,"1"
"3173382",,,,"99",,"1"
"3419851",,"00016","19620000","40","Poltavs'ka obl.","11"
"3480244",,"SS0809020601","20080902","","Hlidarendikot","11"
"3480247",,,"20080902","","Eyrarbakki","11"
"3480258",,,"20080902","","Eyarbakki","11"
"3788352",,"233","20070823","10",,"2"
"3792548",,,"20070722","10",,"2"
"3839407",,"POLSOK00 066",,"20","woj: podlaskie, pow: sokólski, gm: Kuźnica, Nowodziel 2, Kuźnica 5S","6"
"3842939",,"POL97 403",,"13","Małopolskie, Knurów, Przełęcz Knurowska, ,","4"
"3890365",,"WUKR 06-256","2006----","20",,"4"
"3890368",,"WUKR06-0422a",,"30","Iwano-Frankivs'ka oblast', Kolomyjs'kij, Kolomyia","4"
"3890369",,"WUKR06-0430",,"30","Iwano-Frankivs'ka oblast', Kosiws'kyj, Kosiw","5"
"3890371",,"WUKR06-0406",,"40","Iwano-Frankivs'ka oblast', Kolomyjs'kij, Kolomyia 5N","4"
