"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"21915","50.21666667","17.33333333","700.0",,"",,"3"
"71033","","","1300.0",,"",,"0"
"182792","41.64944444","24.59583333","1372.0",,"",,"3"
"278346","41.67111111","24.71166667","1356.0",,"",,"3"
"325849","41.70138889","24.50666667","853.0",,"",,"3"
"357566","49.7775","20.52222222","550.0",,"",,"3"
"373313","42.80888889","24.63333333","1067.0",,"",,"3"
"389260","41.94138889","24.17472222","1128.0",,"",,"3"
"405219","","","1300.0",,"",,"0"
"452665","","","1200.0",,"",,"0"
"500754","60.81666667","30.21666667","",,"",,"3"
"3480244","63.719722","-19.911389","71.0",,"",,"6"
"3480247","63.856389","-21.129722","",,"",,"6"
"3480258","63.864444","-21.154444","7.0",,"",,"6"
"3788352","","","1660.0",,"",,"0"
"3792548","","","2200.0",,"",,"0"
"3839407","53.2825","23.405278","198.0",,"",,"7"
"3842939","49.489167","20.219722","810.0",,"",,"3"
"3890368","48.525278","25.039167","298.0",,"",,"3"
"3890369","48.316111","25.113333","351.0",,"",,"2"
"3890371","48.575833","25.050833","307.0",,"",,"3"
"3890372","48.521111","26.498889","150.0",,"",,"3"
"3890375","48.817222","26.230556","247.0",,"",,"2"
"3942120","64.326667","-20.280278","130.0",,"",,"6"
"3942124","64.169444","-21.860278","5.0",,"",,"6"
"3942150","66.533333","27.766667","",,"",,"6"
"3942151","66.166667","24.666667","",,"",,"6"
"3942152","66.566667","25.833333","",,"",,"6"
"3976771","48.778889","20.084444","914.0",,"",,"6"
"3978300","50.678611","15.620556","768.0",,"",,"6"
"4001319","66.59","12.936389","",,"",,"6"
"4001320","61.490278","7.600556","",,"",,"6"
"4001321","60.738611","10.973889","",,"",,"6"
"4001322","66.076944","13.815278","",,"",,"6"
"4001323","59.150556","10.348889","",,"",,"6"
"4001324","66.986944","15.316389","",,"",,"6"
"4001325","65.819722","13.248889","",,"",,"6"
"4001326","62.211944","9.803333","",,"",,"6"
"4001327","59.211667","11.033611","",,"",,"6"
"4001328","61.786667","9.471944","",,"",,"6"
"4001329","59.855556","10.425278","",,"",,"6"
"4001330","59.664444","10.794444","",,"",,"6"
"4001331","63.346111","10.359722","",,"",,"6"
"4001332","59.037778","10.13","",,"",,"6"
"4001334","69.491667","20.836667","",,"",,"6"
"4001335","65.813611","14.19","",,"",,"6"
"4001336","63.595278","10.7125","",,"",,"6"
"4001337","62.569444","9.79","",,"",,"6"
"4001338","59.833889","10.429444","",,"",,"6"
"4001339","58.746389","7.85","",,"",,"6"
"4001340","63.615","9.713056","",,"",,"5"
"4001341","58.105278","6.575","",,"",,"6"
"4001342","63.640833","10.862778","",,"",,"6"
"4001343","66.194444","13.014444","",,"",,"6"
"4001344","59.266389","11.013889","",,"",,"6"
"4001345","58.590278","5.642222","",,"",,"6"
"4001347","59.6375","10.6","",,"",,"4"
"4001348","59.741111","10.364444","",,"",,"6"
"4001349","60.119167","10.825","",,"",,"6"
"4001350","59.463889","8.023611","",,"",,"6"
"4001351","59.7475","10.6475","",,"",,"4"
"4001352","58.984167","9.4675","",,"",,"6"
"4001353","67.420556","14.628333","",,"",,"6"
"4001354","60.190278","11.9975","",,"",,"6"
"4001355","59.2625","11.023056","",,"",,"6"
"4001356","59.699722","11.298056","",,"",,"6"
"4001357","59.613611","10.408611","",,"",,"6"
"4001358","61.229722","7.100278","",,"",,"6"
"4001359","59.489167","8.633889","",,"",,"6"
"4001360","67.783333","15.236389","",,"",,"6"
"4001361","63.133333","8.403056","",,"",,"6"
"4001362","59.305833","10.176389","",,"",,"6"
"4001363","69.175","17.918333","",,"",,"6"
"4001364","69.149167","29.2275","",,"",,"6"
"4001365","60.328611","11.26","",,"",,"6"
"4001366","59.0525","9.703611","",,"",,"5"
"4001367","62.2325","8.356389","",,"",,"5"
"4001368","68.721944","17.495","",,"",,"6"
"4001369","66.360833","14.606944","",,"",,"6"
"4001370","64.931944","11.450278","",,"",,"6"
"4001371","63.945278","10.036389","",,"",,"6"
"4001581","58.283333","12.083333","",,"",,"6"
"4001736","58.433333","11.566667","",,"",,"6"
"4135871","51.816667","5.266667","",,"5000.0",,"6"
"4283373","62.333333","33.783333","",,"",,"5"
"4283378","61.616667","30.583333","",,"",,"5"
"4283385","61.883333","34.566667","",,"",,"5"
"4626375","","","2500.0",,"",,"0"
"4878394","40.766667","46.566667","300.0",,"",,"2"
"4889926","50.816667","15.348056","870.0",,"",,"2"
"4889927","43.283333","93.927778","2260.0",,"",,"2"
"5614656","","","120.0",,"",,"0"
"5628935","64.15","-21.85","",,"",,"2"
"5642993","47.666667","11.866667","1000.0",,"5000.0",,"3"
"5642995","48.95","12.966667","700.0",,"5000.0",,"3"
"5642998","47.966667","11.166667","400.0",,"5000.0",,"3"
"5643000","48.916667","10.966667","400.0",,"5000.0",,"3"
"6404447","49.564167","20.308889","780.0",,"",,"0"
