"genesysId","instCode","name","aliasType","lang","version"
"21915",,"No. 197","ACCENAME",,"0"
"21915","USA126","Ames 21226","OTHERNUMB",,"0"
"21915",,"No. 197","OTHERNUMB",,"0"
"21915",,"No. 197","DONORNUMB",,"0"
"71033",,"112","ACCENAME",,"0"
"71033","USA126","Ames 23052","OTHERNUMB",,"0"
"71033",,"112","OTHERNUMB",,"0"
"166815",,"Index Seminum #2937","ACCENAME",,"0"
"166815","USA126","Ames 22574","OTHERNUMB",,"0"
"166815",,"Index Seminum #2937","OTHERNUMB",,"0"
"182792",,"B96-221.2","ACCENAME",,"0"
"182792","USA126","Ames 23979","OTHERNUMB",,"0"
"182792",,"B96-221.2","OTHERNUMB",,"0"
"182792",,"B96-221.2","COLLNUMB",,"0"
"246459",,"NU 47059","ACCENAME",,"0"
"246459",,"1661","OTHERNUMB",,"1"
"246459","USA126","Ames 24261","OTHERNUMB",,"0"
"246459",,"NU 47059","OTHERNUMB",,"0"
"246459",,"1661","COLLNUMB",,"0"
"278346",,"B96-182","ACCENAME",,"0"
"278346","USA126","Ames 23977","OTHERNUMB",,"0"
"278346",,"B96-182","OTHERNUMB",,"0"
"278346",,"RMH0696","OTHERNUMB",,"0"
"278346",,"B96-182","COLLNUMB",,"0"
"325849",,"B96-209","ACCENAME",,"0"
"325849","USA126","Ames 23978","OTHERNUMB",,"0"
"325849",,"B96-209","OTHERNUMB",,"0"
"325849",,"RMH0696","OTHERNUMB",,"0"
"325849",,"B96-209","COLLNUMB",,"0"
"357566",,"2192","ACCENAME",,"0"
"357566","USA126","Ames 23036","OTHERNUMB",,"0"
"357566",,"2192","OTHERNUMB",,"0"
"373313",,"B96-265","ACCENAME",,"0"
"373313","USA126","Ames 23980","OTHERNUMB",,"0"
"373313",,"B96-265","OTHERNUMB",,"0"
"373313",,"RMH0696","OTHERNUMB",,"0"
"373313",,"B96-265","COLLNUMB",,"0"
"389260",,"B96-110","ACCENAME",,"0"
"389260","USA126","Ames 23976","OTHERNUMB",,"0"
"389260",,"B96-110","OTHERNUMB",,"0"
"389260",,"RMH0696","OTHERNUMB",,"0"
"389260",,"B96-110","COLLNUMB",,"0"
