"genesysId","instCode","name","aliasType","lang","version"
"79013",,"NU 45702","ACCENAME",,"0"
"79013",,"1192","OTHERNUMB",,"1"
"79013","USA126","Ames 24269","OTHERNUMB",,"0"
"79013",,"NU 45702","OTHERNUMB",,"0"
"79013",,"1192","COLLNUMB",,"0"
"254361",,"Index Seminum 85","ACCENAME",,"0"
"254361","USA126","Ames 24657","OTHERNUMB",,"0"
"254361",,"Index Seminum 85","OTHERNUMB",,"0"
"3173266","DEU146","D 5109","OTHERNUMB",,"0"
"3173268","DEU146","D 3639","OTHERNUMB",,"0"
"3173269","DEU146","ST 2443","OTHERNUMB",,"0"
"3173271","DEU001","50328","DONORNUMB",,"0"
"3173271","DEU146","D 8878","OTHERNUMB",,"0"
"3173271","DEU001","50328","OTHERNUMB",,"0"
"3173272","DEU001","50371","DONORNUMB",,"0"
"3173272","DEU146","D 8831","OTHERNUMB",,"0"
"3173272","DEU001","50371","OTHERNUMB",,"0"
"3173274","DEU001","50769","DONORNUMB",,"0"
"3173274","DEU146","D 8501","OTHERNUMB",,"0"
"3173274","DEU001","50769","OTHERNUMB",,"0"
"3783324",,"122PV","COLLNUMB",,"0"
"4533603",,"679","COLLNUMB",,"0"
"4538763","ArmBI11","2","COLLNUMB",,"0"
"4540683",,"s.n.","COLLNUMB",,"0"
"4622873",,"IJS 67","COLLNUMB",,"0"
"4876323",,"Soghanag jajig","ACCENAME",,"0"
"4876323","AZE004","azeDER-106","OTHERNUMB",,"0"
"4876323","AZE015","SEYYARE-106","OTHERNUMB",,"0"
"4876323",,"SEYYARE-106","COLLNUMB",,"0"
