"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"39443",,"BYU 546","20051001","","Riverfront park, Cottonwood, Yavapai County.","0"
"117783",,,,"10",,"0"
"133739",,,"1993----","10","Incinerator Road, Ingham County","1"
"294198",,,"1997----","","Church village of Parkanmaki, Lappi, region of Satakunta.","0"
"310187",,"DB 2006183","20060925","","North and east of the Carr Park Swimming Pool, Ames, Story County.","0"
"389256",,,"1996----","",,"0"
"2862002",,"267/74/75","19740101","","Jena  Camburg","0"
"2862003",,"77","19750929","","Osselle","4"
"2862004",,,"19740913","","Fuglede","0"
"2862089",,"3/1","19820907","","Near Covehithe  cliffs SSE of Benacre broad","6"
"2862090",,"77","19750925","","Osselle","4"
"2862091",,,"19740913","",,"0"
"2862093",,"423","19751007","","Alfarelos","4"
"3173224",,,,"99","Fuglede","1"
"3173225",,,,"99",,"1"
"3532188","C062",,"199808--","","Galicia, Orense, Barbadas","12"
"3536962","C395","084_CL03","20030724","22","Castilla y Leon, Avila, Navaluenga","12"
"3763606",,,,"40",,"1"
"3789071",,"2334","20071211","10",,"2"
"3794326",,"2224","20070213","10",,"1"
"3796870",,"SCSB-SHI-2006232","20060911","10",,"2"
"3810373",,"LEB-216","20031002","10",,"3"
"3813098",,"JIC 23213","20020709","10",,"2"
"3813266",,"LEB-110","20020703","10",,"2"
"3816291",,"NONE","19991001","20",,"4"
"3816308",,"NONE","19990920","20",,"5"
"3816651",,"PSW1","19990811","10",,"2"
"3817157",,"NONE","19981003","10",,"5"
"3818386",,"MSABMT 480","19970404","10",,"2"
"3818873",,"MSDA 286","19960425","10",,"2"
"3819324",,"WSSB8","19950701","10",,"2"
"3820776",,"13","19910101","10",,"2"
"3820966",,"HDVP407","19910323","10",,"2"
"3821414",,"HDVP219","19900608","10",,"2"
"3822285",,"24","19881112","10",,"2"
"3824213",,"20200107","19830104","10",,"3"
"3824217",,"20200108","19830104","10",,"3"
"3824218",,"20200207","19830104","10",,"3"
"3824437",,"20200103","19820907","10",,"3"
"3825988",,"423","19761001","20",,"3"
"3826020",,"268/74/75","19761001","20",,"2"
"3826022",,"NONE","19761001","20",,"4"
"3826024",,"NONE","19761001","20",,"4"
"3826241",,"423","19751007","10",,"3"
"3826339",,"NONE","19750101","20",,"4"
"3826483",,"77","19750929","10",,"2"
"3842964",,"POL97 073",,"13","Małopolskie, Czajowice, Duże Skałki, ,","4"
"3844012",,"POL97 062",,"13","Małopolskie, Czajowice, Duże Skałki, ,","4"
"3941991",,,"20090922","60",,"12"
"4001199",,,"20071023","60","KOLLERUP HOVEDGÅRD","12"
"4001229",,,"20071023","20","HØEGHOLM","12"
"4034307",,,,"99",,"1"
"4034324",,,,"99",,"1"
"4034335",,,,"99",,"1"
"4034337",,,,"99","Osselle","1"
"4335976",,"BYU 546","20051001","10","Riverfront park, Cottonwood, Yavapai County.","0"
"4351167",,,"20080620","10","Outside east doors of Wallnut Greenhouse, University of Wisconsin, Madison.","0"
"4373023",,,"20080805","10",,"0"
"4376494",,"DB 2006183","20060925","10","North and east of the Carr Park Swimming Pool, Ames, Story County.","0"
"4400993",,,"20080807","10","Sequoia Park, Sequoia Hills.","0"
"4409247",,"DB 2007102","20071010","10","Southeast side of Commercial Street and the Harbor Walking Trail from 390 Commercial Street to the East End Beach, Portland.","0"
"4415495",,,"1997----","10","Church village of Parkanmaki, Lappi, region of Satakunta.","0"
"4425366",,,"1996----","10",,"0"
"4531625",,"940 160","20090214","10",,"1"
"4536020",,"Zhyz-272","20080725","10",,"1"
"4536088",,"392PV","20081004","10",,"1"
"4538817",,"BLCKg-662","20110817","10",,"1"
"4878627",,"IAF-158","2007----","","Ganja,vill.Toghana","21"
"4878656",,"NB-21","20080820","",,"0"
"4878660",,"IAF-156","2007----","","Ganja,vill.Chiragli","21"
"4893003",,,,"99","Jena Burgel","0"
"4916179",,"Z-93-005","1993----","10","Aragon, Zaragoza, Zaragoza, Montañana","12"
"5735183",,,,"99",,"0"
"5808334",,,,"",,"8"
"6238090","49",,"20070301","10","Kajiado","0"
"6239693","007/010/2001",,"20011222","60","Kajiado","0"
"6319352",,"Chal0102010616","20160601","61","Samaria Mountains","11"
"6320385",,"Chal0101220616","20160622","61","Samaria Mountains","11"
"6320708",,"Chal0201160715","20150716","61","Hula and Dan Valley","11"
"6320830",,"Chal0401080715","20150708","99","Akko Plain","11"
"6320831",,"Chal0202050616","20160605","61","Samaria Mountains","11"
"6320832",,"Chal0303290716","20160729","21","Esdraelon Plain","11"
"6320833",,"Chal0101030816","20160803","61","Hermon Foothills","11"
"6320850",,"Chal0201050816","20160805","61","Esdraelon Plain","11"
"6322057",,"Chal0604070816","20160807","61","Upper Galilee","11"
"6390468",,"AZ08","20170812","10",,"0"
"6418569",,"MSDA286","19960425","","Karak","0"
"6482236",,,"20120823","21","Porto Moniz, Madeira","6"
"6558681",,"Chal0604070816","20160807","10",,"0"
"6558682",,"Chal0101030816","20160803","10",,"0"
"6558683",,"Chal0303290716","20160729","10",,"0"
"6558775",,"Chal0201050816","20160805","10",,"0"
"6558776",,"Chal0101220616","20160622","10",,"0"
"6558777",,"Chal0202050616","20160605","10",,"0"
"6558778",,"Chal0102010616","20160601","10",,"0"
"6558779",,"Chal0201160715","20150716","10",,"0"
"6558780",,"Chal0401080715","20150708","10",,"0"
