"genesysId","instCode","name","aliasType","lang","version"
"10695",,"Index Seminum 752","ACCENAME",,"0"
"10695","USA126","Ames 26087","OTHERNUMB",,"0"
"485896",,"ARM-157-02","ACCENAME",,"0"
"485896","USA126","Ames 26923","OTHERNUMB",,"0"
"3173194","DEU001","33136","DONORNUMB",,"0"
"3173194","DEU146","D 12100","OTHERNUMB",,"0"
"3173194","DEU001","33136","OTHERNUMB",,"0"
"3173195","DEU001","52805","DONORNUMB",,"0"
"3173195","DEU146","D 10223","OTHERNUMB",,"0"
"3173195","DEU001","52805","OTHERNUMB",,"0"
"3173195","GBR004","91447001303","OTHERNUMB",,"0"
"4034301","DEU146","D 12101","OTHERNUMB",,"0"
"4034301","DEU001","33135","OTHERNUMB",,"0"
"4034301","DEU001","33135","DONORNUMB",,"0"
"4878650","AZE015","AG-952","OTHERNUMB",,"0"
"4878650","AZE015","NB-22","OTHERNUMB",,"0"
"4878650",,"NB-22","COLLNUMB",,"0"
"6320853",,"Chfo0201170616","COLLNUMB",,"0"
