"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"4327",,"MPW-WWR 225","19890917","10","In a mix of rock and organic matter in a ditch at base of igneous rocks with Cercis, ox-eye daisy, Cichorium intybus and Daucus carota 4.3 mi W Goshen on VA 39, W side of rd and ditch, Green Valley quad.  Goshen city, in Bath Cty.","1"
"4944",,"1337","199801--","10",,"1"
"20374",,,"1995----","10","Alder-ash moorland of 'Turjanvidek', between OCSA and DABAS.","1"
"20727",,,"1995----","10","Volotovskiy District.","1"
"52317",,,,"10","Foot of Jura Mountains.","1"
"68280",,,"1995----","10","Lake BALATON area, N coast","1"
"143955",,,"19910617","10","Strzelce Gorne, Bydgoszcz, Poland.","1"
"148598",,"651","199801--","10",,"1"
"148599",,"871","199801--","10",,"1"
"179398",,,"198905--","10","Mezofold es Softi-siksag","1"
"180072",,,"1994----","10",,"1"
"191763",,,"19910816","10","Between Czumow and Hrubieszow.","1"
"207626",,,"19910617","10","Drenstwo, Suwalki, Poland.","1"
"323093",,,"1993----","10","Kazimierz n/Wisla, Pulawy","1"
"324096",,,"20020822","10","Luczyce, Opole Zach.","1"
"339310",,"190","199801--","10",,"1"
"339350",,,"1997----","10","Zmudz.","1"
"355049",,,"1996----","10","Chalus road, Dasht-e Nazir, Kandalus.","1"
"369985",,,"198905--","10","Borzsony a Godolloi-dombvidekkel","1"
"386870",,,"1995----","10","In the vicinity of Krasnodar.","1"
"402500",,,"1995----","10","Irrigation-canal sides near BEKES.","1"
"418585",,,"1994----","10",,"1"
"434726",,,"19970826","10","Souzelas, in the vicinity of Coimbra.","1"
"477769",,,,"10","Zangenberg, Sachsen-Anhalt, Germany.","1"
"482576",,,"19990915","10","Miranda do Corvo.","1"
"3170926","FRAKORSIKA-2000","8","20000722","99","Korsika, ca. 0,6 km südwestlich von Santa Maria, ca. 4,8 km nordöstlich von St. Florent; Höhe: ca.100","3"
"3170931","CHNTIB-97","14",,"30","Hanu, unteres Industal an derGrenze zu Baltistan; Höhe: ca.2800","20"
"3170932","*MITTELAS-97/2","16","19970819","99","Cholpon-Ata am Issyk-Kul See, karge Endmoräne","3"
"3171002",,,,"99","Tiflis, Bach nahe Flughafen","2"
"3171004",,,,"99","Fundort Regenwurmgarten","1"
"3171006",,,,"99","Fundort Luzerneumbruch","1"
"3171010",,,,"99","Fundort Garten Oslage","1"
"3171014",,,,"99","Bornum","1"
"3171050",,,,"99","Potzwenden / Eichsfeld","1"
"3171056",,,,"99","Westlich Bornum B1 Suedseite","1"
"3171062",,,,"99","Duena - Schwiegershausen","1"
"3171067",,,,"99","Rieseberg - Scheppau","1"
"3171070",,,,"99","Bad Sachsa","1"
"3171072",,,,"99","Grasleben - Heidwinkel","1"
"3171076",,,,"99","Schoeppenstedt - Eitzum","1"
"3171077",,,,"99","Schwiegershausen","1"
"3171078",,,,"99","Scheppau - Ochsendorf","1"
"3171079",,,,"99","Suedlich Lauingen","1"
"3171080",,,,"99","Gross Denkte","1"
"3171081",,,,"99","Salzgitter - Osterlinde","1"
"3171082",,,,"99","Lucklum","1"
"3171085",,,,"99","Lauingen","1"
"3171087",,,,"99","Oestlich Bornum B1 Feldweg","1"
"3171089",,,,"99","Bornum - Scheppa, Bahnlinie","1"
"3171091",,,,"99","Gandersheim","1"
"3171092",,,,"99","Eitzum - Sambleben","1"
"3171093",,,,"99","Bad Sachsa Sachsensteine","1"
"3171094",,,,"99","Bleicherrode / Eichsfeld","1"
"3171095",,,,"99","Beienrode - Helmstedt","1"
"3171097",,,,"99","Gelihausen - Gleichen","1"
"3171099",,,,"99","Westlich von Lucklum","1"
"3171101",,,,"99","Heinde - Hildesheim","1"
"3171105",,,,"99","Neusiedler See","1"
"3171107",,,,"99",,"1"
"3171109",,,,"99","Salzgitter LichtenbergstrasseB90","1"
"3171117",,,,"99","Scheppau - Bornum","1"
"3171123",,,,"99","Moenche - Vahlberg Dettum","1"
"3171124",,,,"99","Sambleben - Tetzelstein","1"
"3171126",,,,"99","Neuenkirchen","1"
"3171130",,,,"99","Salzgitter - Calbecht","1"
"3171131",,,,"99","Baddeckenstedt Bahnhof","1"
"3171133",,,,"99",,"1"
"3171135",,,,"99","Sattenhausen - Goettingen","1"
"3171136",,,,"99",,"1"
"3171141",,,,"99","Gellihausen / Eichsfeld","1"
"3171142",,,,"99","Werla-Burgdorf Liebenburg","1"
"3171162",,,,"99",,"1"
"3171163",,,,"99","Oestlich Scheppau","1"
"3171167",,,,"99","Evessen / Wolfenbuettel","1"
"3171170",,,,"99","Salzgitter - Baddeckenstedt","1"
"3171171",,,,"99","Remlingen","1"
"3171173",,,,"99","Hordorf - Scheppau","1"
"3171177",,,,"99",,"1"
"3171189",,,,"99",,"1"
"3171220",,,,"99",,"1"
"3171222",,,,"99",,"1"
"3171223",,,,"99",,"1"
