"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"4327","cdcccb0b-cc8b-4e1b-a934-f6525f3cb256","USA020","PI 560093",,"Cuphea","viscosissima","Jacq.","","","Cuphea viscosissima Jacq.","USA","10","19890925","","true","false","10","100","USA005","","","","2014-07-23 20:02:28"
"4944","a8c69134-eef5-48cb-bfb4-ad0afbb1d6ca","USA020","Ames 24289",,"Cichorium","intybus","L.","","","Cichorium intybus L.","SCG","10","19980129","","false","false","10","100",,"","","","2014-07-23 21:26:00"
"20374","830ce88b-3986-4c55-a018-235341132f8f","USA020","PI 652020",,"Cichorium","intybus","L.","","","Cichorium intybus L.","HUN","10","19950615","","true","false","10","100","USA005","","","","2014-07-23 13:25:35"
"20727","18e80726-1eeb-4a2a-a7ee-5059bfb9f4aa","USA020","PI 652027",,"Cichorium","intybus","L.","","","Cichorium intybus L.","RUS","10","19980116","","true","false","10","100","USA005","","","","2014-07-23 17:44:58"
"52317","239c12ca-7b5f-4461-8d68-b3a83c0e562a","USA020","PI 652019",,"Cichorium","intybus","L.","","","Cichorium intybus L.","CHE","10","19950612","","true","false","10","100","USA005","","","","2014-07-23 11:11:33"
"68280","66a0bece-d91e-409f-8d42-f513a47f54ce","USA020","PI 652022",,"Cichorium","intybus","L.","","","Cichorium intybus L.","HUN","10","19950615","","true","false","10","100","USA005","","","","2014-07-23 13:25:38"
"143955","0082d4a5-783f-4358-81ba-53ef5ea2c6f0","USA020","PI 652007",,"Cichorium","intybus","L.","","","Cichorium intybus L.","POL","10","19910617","","true","false","10","100","USA005","","","","2014-07-23 17:17:27"
"148598","d6134a2e-1e19-4eec-9a09-444ed3745058","USA020","Ames 24287",,"Cichorium","intybus","L.","","","Cichorium intybus L.","SCG","10","19980129","","false","false","10","100",,"","","","2014-07-23 21:26:21"
"148599","fa306f2f-64fc-4336-a9f6-ad1b55a419dd","USA020","Ames 24288",,"Cichorium","intybus","L.","","","Cichorium intybus L.","SCG","10","19980129","","false","false","10","100",,"","","","2014-07-23 21:26:21"
"179398","9139d498-7531-431e-a0aa-c546df1c87fa","USA020","PI 531291",,"Cichorium","intybus","L.","","","Cichorium intybus L.","HUN","10","19890530","","false","false","10","100","USA005","","","","2014-07-23 13:25:45"
"180072","937f37c5-89dc-47fe-9e9d-3345c73895d4","USA020","PI 652024",,"Cichorium","intybus","L.","","","Cichorium intybus L.","DEU","10","19950803","","true","false","10","100","USA005","","","","2014-07-23 11:50:10"
"191763","34dbdd04-90db-47d5-a766-853a4d735dd3","USA020","PI 652009",,"Cichorium","intybus","L.","","","Cichorium intybus L.","POL","10","19910816","","true","false","10","100","USA005","","","","2014-07-23 17:17:29"
"207626","3ef4d8a0-6b58-4742-be13-325060a46d46","USA020","PI 652008",,"Cichorium","intybus","L.","","","Cichorium intybus L.","POL","10","19910617","","true","false","10","100","USA005","","","","2014-07-23 17:17:31"
"323093","0a7a8abe-a8fa-4d81-a7d8-b1c355bdde65","USA020","PI 652025",,"Cichorium","intybus","L.","","","Cichorium intybus L.","POL","10","19950803","","true","false","10","100","USA005","","","","2014-07-23 17:17:37"
"324096","00c3f27a-a93a-4485-a240-13da5c1b18b0","USA020","PI 652051",,"Cichorium","intybus","L.","","","Cichorium intybus L.","POL","10","20030916","","true","false","10","100","USA005","","","","2014-07-23 17:17:37"
"339310","81749671-4371-4bb6-b989-0269eb01c603","USA020","PI 652030",,"Cichorium","intybus","L.","","","Cichorium intybus L.","SCG","10","19980129","","true","false","10","100","USA005","","","","2014-07-23 21:26:47"
"339350","c2d83c69-8582-42d4-92ac-b47a7d01f8ea","USA020","PI 652034",,"Cichorium","intybus","L.","","","Cichorium intybus L.","POL","10","19980701","","true","false","10","100","USA005","","","","2014-07-23 17:17:38"
"355049","048f968c-9f82-4dce-a536-882ee120f116","USA020","PI 652026",,"Cichorium","intybus","L.","","","Cichorium intybus L.","IRN","10","19961001","","true","false","10","100","USA005","","","","2014-07-23 14:25:09"
"369985","3c52a33b-a7c5-433f-9a8b-a7b14968f769","USA020","PI 531292",,"Cichorium","intybus","L.","","","Cichorium intybus L.","HUN","10","19890530","","true","false","10","100","USA005","","","","2014-07-23 13:25:57"
"386870","8752aef2-7c74-4af7-a6d7-49f924ff9e0a","USA020","PI 652028",,"Cichorium","intybus","L.","","","Cichorium intybus L.","RUS","10","19980116","","true","false","10","100","USA005","","","","2014-07-23 17:46:48"
"402500","7b0b5bfc-77de-4c43-969f-3a2ea7208be1","USA020","PI 652021",,"Cichorium","intybus","L.","","","Cichorium intybus L.","HUN","10","19950615","","true","false","10","100","USA005","","","","2014-07-23 13:26:00"
"418585","87884e06-a9fa-456d-bc33-2560d057e399","USA020","PI 652023",,"Cichorium","intybus","L.","","","Cichorium intybus L.","DEU","10","19950803","","true","false","10","100","USA005","","","","2014-07-23 11:50:27"
"434726","ebb8034f-b7c3-42cd-8c2c-7443a500eb83","USA020","PI 652033",,"Cichorium","intybus","L.","","","Cichorium intybus L.","PRT","10","19980602","","true","false","10","100","USA005","","","","2014-07-23 17:33:08"
"477769","878f1c7a-7840-48a6-b99c-fe80f6d72920","USA020","PI 652006",,"Cichorium","intybus","L.","","","Cichorium intybus L.","DEU","10","19910617","","true","false","10","100","USA005","","","","2014-07-23 11:50:31"
