"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"4327","38.0","-79.55","497.0",,"",,"3"
"20727","57.83333333","30.66666667","",,"",,"3"
"52317","","","600.0",,"",,"0"
"143955","53.2","18.15","",,"",,"3"
"191763","50.78333333","23.95","",,"",,"3"
"207626","53.73333333","22.75","",,"",,"3"
"324096","49.75","22.83333333","",,"",,"3"
"339350","51.01666667","23.66666667","",,"",,"3"
"355049","","","950.0",,"",,"0"
"386870","45.03277778","35.97694444","",,"",,"3"
"477769","51.06666667","12.15","",,"",,"3"
"482576","40.1","-8.33333333","",,"",,"3"
"3170926","","","100.0",,"",,"0"
"3170931","","","2800.0",,"",,"0"
"3170932","","","1600.0",,"",,"0"
"3171002","41.666667","44.716667","",,"",,"6"
"3171050","51.521111","10.083889","",,"200.0",,"5"
"3171056","52.2575","10.758889","",,"700.0",,"5"
"3171062","51.685556","10.248889","",,"2300.0",,"5"
"3171067","52.293333","10.770833","",,"1300.0",,"5"
"3171070","51.595833","10.558889","",,"1600.0",,"5"
"3171072","52.311944","11.005833","",,"1100.0",,"4"
"3171076","52.150556","10.797222","",,"1500.0",,"5"
"3171077","51.681944","10.214722","",,"1000.0",,"5"
"3171078","52.298333","10.784722","",,"2400.0",,"4"
"3171080","52.146111","10.611944","",,"700.0",,"5"
"3171081","52.140556","10.290556","",,"3100.0",,"5"
"3171082","52.205","10.690278","",,"400.0",,"5"
"3171087","52.257222","10.748611","",,"700.0",,"5"
"3171091","51.87","10.025","",,"1800.0",,"4"
"3171092","52.158889","10.802222","",,"1200.0",,"5"
"3171093","51.589722","10.572222","",,"700.0",,"4"
"3171094","51.441111","10.572222","",,"1400.0",,"5"
"3171095","52.351944","10.739444","",,"10500.0",,"4"
"3171097","51.475556","10.053889","",,"500.0",,"5"
"3171099","52.205","10.686667","",,"1000.0",,"5"
"3171101","52.1025","10.035278","",,"650.0",,"5"
"3171105","47.802778","16.766944","",,"16.0",,"5"
"3171109","52.161667","10.330556","",,"170.0",,"4"
"3171117","52.274167","10.7525","",,"1800.0",,"5"
"3171123","52.159167","10.667222","",,"1300.0",,"5"
"3171126","53.0325","9.705","",,"1500.0",,"4"
"3171130","52.090556","10.380833","",,"500.0",,"5"
"3171131","52.089167","10.228611","",,"200.0",,"5"
"3171135","51.505556","10.097778","",,"500.0",,"4"
"3171141","51.475556","10.053889","",,"500.0",,"5"
"3171142","52.051111","10.535556","",,"550.0",,"5"
"3171163","52.290556","10.795833","",,"2900.0",,"5"
"3171167","52.190556","10.715556","",,"1000.0",,"5"
"3171170","52.082222","10.2325","",,"550.0",,"5"
"3171173","52.291111","10.703056","",,"3300.0",,"5"
"3171238","40.166389","22.483056","",,"",,"5"
"3171240","37.933056","12.316389","",,"",,"5"
"3171248","50.965","11.700556","",,"300.0",,"5"
"3171264","42.114167","15.486944","",,"",,"5"
"3171266","35.509722","12.589722","20.0",,"",,"5"
"3171267","41.076111","19.665","20.0",,"",,"5"
"3171285","42.19","14.646111","10.0",,"",,"6"
"3171291","52.005833","10.343889","",,"400.0",,"5"
"3171299","52.198056","10.704444","",,"1200.0",,"5"
"3171301","52.168889","10.773333","",,"1100.0",,"5"
"3171305","47.833056","16.75","",,"",,"5"
"3171307","52.104444","10.123056","",,"250.0",,"5"
"3171310","52.305833","11.006944","",,"450.0",,"5"
"3171311","52.1475","10.667778","",,"300.0",,"5"
"3171312","52.192222","10.621111","",,"1250.0",,"5"
"3171314","51.686667","10.271389","",,"200.0",,"5"
"3171315","51.936111","10.334444","",,"1350.0",,"5"
"3171316","52.137222","10.697778","",,"500.0",,"5"
"3171317","52.200556","10.673889","",,"1200.0",,"5"
"3171318","52.015556","10.411667","",,"1600.0",,"5"
"3171320","52.193889","10.868333","",,"1200.0",,"5"
"3171321","52.218889","10.501944","",,"1100.0",,"5"
"3171322","51.558333","10.005833","",,"600.0",,"5"
"3171324","52.161389","9.698889","",,"3100.0",,"5"
"3171325","52.172222","9.766389","",,"100.0",,"5"
"3171326","52.139167","10.453056","",,"750.0",,"5"
"3171328","44.255833","12.334167","5.0",,"",,"6"
"3171330","52.196389","10.585556","",,"700.0",,"5"
"3171333","41.413611","12.909444","20.0",,"",,"4"
"3171334","52.185278","10.618889","",,"5200.0",,"5"
"3171336","52.182778","10.696944","",,"7000.0",,"5"
"3171341","52.236389","10.626389","",,"1650.0",,"5"
"3171352","42.966667","10.6","20.0",,"",,"6"
"3171354","52.346389","9.713333","",,"5000.0",,"5"
"3375747","47.599722","26.203333","330.0",,"",,"6"
"3533588","40.516667","-3.283333","610.0",,"",,"6"
"3535996","41.684722","-0.825278","205.0",,"",,"6"
"3535997","42.260556","-0.552222","672.0",,"",,"6"
"3536991","42.055","-4.580278","749.0",,"",,"5"
"3543402","55.686111","13.100278","",,"",,"6"
"3543430","55.6575","13.093611","",,"",,"6"
"3762298","19.1833","47.6167","",,"",,"6"
"3784860","","","919.0",,"",,"0"
"3792587","","","1878.0",,"",,"0"
"3802945","","","190.0",,"",,"0"
"3816008","","","1043.0",,"",,"0"
"3817973","","","20.0",,"",,"0"
"3832526","36.966667","15.233333","50.0",,"",,"5"
"3842948","49.559444","21.327778","570.0",,"",,"3"
"3842951","49.888056","20.161944","220.0",,"",,"3"
"3842964","50.189722","19.806111","438.0",,"",,"3"
"3843992","49.559444","21.327778","570.0",,"",,"3"
"3844002","49.888056","20.161944","220.0",,"",,"3"
"3844008","49.559444","21.327778","570.0",,"",,"3"
"3844012","50.189722","19.806111","438.0",,"",,"3"
"3844089","49.559444","21.327778","570.0",,"",,"3"
"3844267","49.888056","20.161944","220.0",,"",,"3"
"3864863","49.559444","21.327778","570.0",,"",,"5"
"3941203","44.774722","15.211111","",,"",,"6"
"3941226","45.158056","14.538611","2.0",,"",,"6"
"3941346","45.231111","14.618333","28.0",,"",,"6"
"3941383","45.125278","14.528056","50.0",,"",,"6"
"3941391","45.025833","14.573056","36.0",,"",,"6"
"3941395","44.958056","14.691667","49.0",,"",,"6"
"3941421","45.365","14.393889","321.0",,"",,"6"
"3941424","45.33","14.518333","258.0",,"",,"6"
"3941690","45.8","16.0","146.0",,"",,"3"
"3941960","55.288611","14.781944","",,"",,"6"
"3941969","55.052778","14.776389","",,"",,"6"
"3941977","55.204444","14.980833","",,"",,"6"
"3942049","56.255278","10.548611","",,"",,"6"
"3942066","55.960556","11.451667","",,"",,"6"
"3942082","55.234167","11.320278","",,"",,"6"
"3973470","49.816944","18.095556","470.0",,"",,"3"
"3973545","50.464167","20.590833","249.0",,"",,"3"
"3973552","53.056389","16.514444","82.0",,"",,"3"
"3973933","53.329444","14.474444","11.0",,"",,"3"
"3977859","","","380.0",,"",,"0"
"3978749","48.876389","16.040556","300.0",,"",,"6"
"3979119","","","210.0",,"",,"0"
"3979122","48.85","15.961111","400.0",,"",,"6"
"4001124","55.015833","10.315833","26.0",,"",,"6"
"4034563","39.016667","8.416667","",,"",,"5"
"4034565","40.0","22.616389","",,"",,"5"
"4034581","49.35","22.166667","750.0",,"",,"1"
"4034589","","","1500.0",,"",,"0"
"4071182","37.066667","14.783333","550.0",,"",,"4"
"4092157","45.683333","15.716667","134.0",,"",,"5"
"4151988","53.329444","14.474444","11.0",,"",,"5"
"4283326","55.938333","10.552222","",,"",,"5"
"4283374","59.259722","10.493889","5.0",,"",,"5"
"4283396","55.665556","13.171111","",,"",,"5"
"4321327","40.8407","21.7934","1245.0",,"",,"0"
"4549355","","","370.0",,"",,"0"
"4551996","","","36.0",,"",,"0"
"4666656","45.36666667","78.61666667","454.0",,"",,"1"
"4666710","43.36666667","76.95","658.0",,"",,"1"
"4666716","44.46666667","77.91666667","884.0",,"",,"1"
"4666904","44.83333333","78.15","533.0",,"",,"1"
"4667119","53.2","18.15","",,"",,"1"
"4667120","51.06666667","12.15","",,"",,"1"
"4667125","50.78333333","23.95","",,"",,"1"
"4667148","53.73333333","22.75","",,"",,"1"
"4669619","39.08333333","48.61666667","20.0",,"",,"1"
"4669683","38.8","48.45","770.0",,"",,"1"
"4669747","38.9","48.38333333","541.0",,"",,"1"
"4669766","38.83333333","48.41666667","644.0",,"",,"1"
"4669775","40.68333333","46.55","261.0",,"",,"1"
"4669796","39.66666667","48.11666667","24.0",,"",,"1"
"4669831","41.03333333","45.58333333","369.0",,"",,"1"
"4669836","40.78333333","46.1","443.0",,"",,"1"
"4669850","40.75","47.18333333","102.0",,"",,"1"
"4669856","41.01666667","45.38333333","681.0",,"",,"1"
"4669926","41.15","47.16666667","447.0",,"",,"1"
"4669933","40.55","48.75","552.0",,"",,"1"
"4669943","40.91666667","48.03333333","795.0",,"",,"1"
"4669958","40.95","47.63333333","434.0",,"",,"1"
"4670000","41.71666667","48.6","62.0",,"",,"1"
"4670031","40.51666667","49.68333333","34.0",,"",,"1"
"4670269","-34.15","140.73333333","",,"",,"1"
"4671523","57.83333333","30.66666667","",,"",,"1"
"4671534","40.1","-8.33333333","",,"",,"1"
"4671560","49.8958","40.243757","81.0",,"3036.0","GAZETEER","1"
"4878405","40.766667","46.566667","300.0",,"",,"2"
"4878872","40.919167","48.043889","795.0",,"",,"2"
"4878878","38.905278","48.395556","541.0",,"",,"2"
"4878880","41.045","45.586944","369.0",,"",,"2"
"4878881","40.689167","46.550556","261.0",,"",,"2"
"4878893","40.555","48.7625","552.0",,"",,"2"
"4878894","41.166944","48.61","802.0",,"",,"2"
"4878895","38.800278","48.456667","770.0",,"",,"2"
"4878901","41.699722","48.754722","-10.0",,"",,"2"
"4878903","41.030833","45.385","681.0",,"",,"2"
"4878904","40.651111","48.494444","745.0",,"",,"2"
"4878910","40.953056","47.640278","434.0",,"",,"2"
"4878917","38.844167","48.430278","644.0",,"",,"2"
"4879348","41.718333","48.613611","62.0",,"",,"2"
"4916245","42.176944","-1.598333","243.0",,"",,"2"
"4919809","40.551667","-1.713889","1540.0",,"",,"2"
"5614617","","","116.0",,"",,"0"
"5614618","","","125.0",,"",,"0"
"5629008","55.321111","15.186389","2.0",,"",,"2"
"5649884","50.464722","20.589167","236.0",,"",,"3"
"5757312","44.681667","15.67","210.0",,"",,"2"
"5757313","44.025","15.655","200.0",,"",,"2"
"5758010","47.633889","26.2375","371.0",,"",,"2"
"5758011","46.863611","20.400833","115.0",,"",,"2"
"5764832","","","113.0",,"",,"0"
"5764835","","","532.0",,"",,"0"
"5764838","","","394.0",,"",,"0"
"5764841","","","219.0",,"",,"0"
"5764847","","","169.0",,"",,"0"
"5764851","","","162.0",,"",,"0"
"5764854","","","132.0",,"",,"0"
"5764857","","","62.0",,"",,"0"
"5764862","","","100.0",,"",,"0"
"5764864","","","81.0",,"",,"0"
"6376908","39.4644","23.2178","450.0",,"",,"0"
"6377066","41.8","26.4717","64.0",,"",,"0"
"6395213","46.528611","12.918333","959.0",,"",,"0"
"6404634","53.879444","14.465278","7.0",,"",,"0"
"6404875","52.355278","15.277222","154.0",,"",,"0"
"6406227","52.355278","15.277222","154.0",,"",,"0"
"6406297","52.355278","15.277222","154.0",,"",,"0"
"6406329","52.355278","15.277222","154.0",,"",,"0"
"6406996","50.685556","21.785278","166.0",,"",,"0"
"6407023","53.879167","14.465278","7.0",,"",,"0"
"6407036","53.879167","14.465278","7.0",,"",,"0"
"6407070","53.329444","14.474444","11.0",,"",,"0"
"6407086","53.879167","14.465278","7.0",,"",,"0"
"6407101","53.879167","14.465278","7.0",,"",,"0"
"6473261","51.412778","21.993611","137.0",,"",,"0"
"6501692","52.966944","18.681944","71.0",,"",,"0"
"6501868","53.329444","14.474444","11.0",,"",,"0"
"6504145","52.355278","15.277222","154.0",,"",,"0"
"6504316","52.966944","18.681944","71.0",,"",,"0"
"6548938","46.352222","16.669444","144.0",,"",,"0"
"6548962","46.327778","16.585","151.0",,"",,"0"
