"genesysId","instCode","name","aliasType","lang","version"
"4327",,"MPW-WWR 225","ACCENAME",,"0"
"4327","USA126","Ames 10784","OTHERNUMB",,"0"
"4327",,"MPW-WWR 225","OTHERNUMB",,"0"
"4327",,"WWR 0989","OTHERNUMB",,"0"
"4327",,"MPW-WWR 225","COLLNUMB",,"0"
"4944",,"NU 45915","ACCENAME",,"0"
"4944",,"1337","OTHERNUMB",,"1"
"4944","USA126","Ames 24289","OTHERNUMB",,"0"
"4944",,"NU 45915","OTHERNUMB",,"0"
"4944",,"1337","COLLNUMB",,"0"
"20374",,"76","ACCENAME",,"0"
"20374","USA126","Ames 22531","OTHERNUMB",,"0"
"20374",,"76","OTHERNUMB",,"0"
"20727",,"2372","ACCENAME",,"0"
"20727","USA126","Ames 24128","OTHERNUMB",,"0"
"20727",,"2372","OTHERNUMB",,"0"
"52317",,"Index Seminum 36","ACCENAME",,"0"
"52317","USA126","Ames 22476","OTHERNUMB",,"0"
"52317",,"Index Seminum 36","OTHERNUMB",,"0"
"68280",,"78","ACCENAME",,"0"
"68280","USA126","Ames 22533","OTHERNUMB",,"0"
"68280",,"78","OTHERNUMB",,"0"
"143955",,"Index Seminum 41","ACCENAME",,"0"
"143955","USA126","Ames 15747","OTHERNUMB",,"0"
"143955",,"Index Seminum 41","OTHERNUMB",,"0"
"148598",,"NU 45188","ACCENAME",,"0"
"148598",,"651","OTHERNUMB",,"1"
"148598","USA126","Ames 24287","OTHERNUMB",,"0"
"148598",,"NU 45188","OTHERNUMB",,"0"
"148598",,"651","COLLNUMB",,"0"
"148599",,"NU 45280","ACCENAME",,"0"
"148599",,"871","OTHERNUMB",,"1"
"148599","USA126","Ames 24288","OTHERNUMB",,"0"
"148599",,"NU 45280","OTHERNUMB",,"0"
"148599",,"871","COLLNUMB",,"0"
"179398",,"400","ACCENAME",,"0"
"179398",,"33","OTHERNUMB",,"1"
"179398",,"400","OTHERNUMB",,"0"
"179398",,"400","DONORNUMB",,"0"
"180072",,"Index Seminum 81","ACCENAME",,"0"
"180072","USA126","Ames 22557","OTHERNUMB",,"0"
