"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"350758","0eebe34e-af14-4bf4-bc41-7834062c8986","USA020","Ames 17825",,"Crambe","maritima","L.","","","Crambe maritima L.",,"10","19911010","","false","false","10;20","100",,"","","","2014-07-23 08:43:39"
"419117","edd7550e-245e-4d33-be82-7ccff322b753","USA020","Ames 25643",,"Crambe","maritima","L.","","","Crambe maritima L.","UKR","10","19991020","","false","false","10","100",,"","","","2014-07-23 19:35:36"
"430334","8e46fc7c-e975-402f-b0f7-28064145a404","USA020","Ames 20220",,"Crambe","maritima","","","","Crambe maritima","FIN",,"19930414","","","false","10","100",,"","","","2014-07-23 12:50:20"
"2941962","29add960-52d8-452f-850f-40bc5a8b64f3","AUT025","WIES-G11",,"Crambe","maritima","L.","","","Crambe maritima L.","AUT",,,"","","false","13","110",,"","","1285","2020-05-11 06:08:20"
"2978278","ebd5c4d6-a155-42e6-aa76-1683d5167230","BGR001","1992-CRA-MA-1",,"Crambe","maritima","L.","","","Crambe maritima L.","BGR",,,"","","false",,"100",,"","","1285","2020-05-11 06:16:02"
"3058065","861da0b2-4b23-44f3-816a-bcde9be107a9","DEU271","CR 3009","10.25642/IPK/GBIS/290411","Crambe","maritima","L.","","","Crambe maritima L.",,,"20030313","true","","false","13","100",,"","","1285","2020-05-11 07:04:19"
"3058069","ce699930-b1e3-457a-91f7-690b9ef1b12a","DEU271","CR 2202","10.25642/IPK/GBIS/289647","Crambe","maritima","L.","","","Crambe maritima L.","DEU",,"19971023","true","","false","13","100",,"","","1285","2020-05-11 07:04:50"
"3312002","8057a49e-0a9c-4d18-b72a-7c340e3c0df2","SWE054","NGB8655",,"Crambe","maritima","L.","","","Crambe maritima L.","SWE",,"19990110","true","","false","13","100","NOR051","","","1285","2020-05-11 11:44:26"
"3312201","905a9f84-a56f-4c2c-811a-1d478f28e6d4","SWE054","NGB8424",,"Crambe","maritima","L.","","","Crambe maritima L.","SWE",,"19900129","true","","false","13","100","NOR051","","","1285","2020-05-11 11:46:33"
"3312202","c2374198-b6fd-4544-a1a5-ca161ddb29cc","SWE054","NGB8425",,"Crambe","maritima","L.","","","Crambe maritima L.","SWE",,"19990110","true","","false","13","100","NOR051","","","1285","2020-05-11 11:44:23"
