"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"4327","cdcccb0b-cc8b-4e1b-a934-f6525f3cb256","USA020","PI 560093",,"Cuphea","viscosissima","Jacq.","","","Cuphea viscosissima Jacq.","USA","10","19890925","","true","false","10","100","USA005","","","","2014-07-23 20:02:28"
"4328","8895e8e0-0297-4ca6-a55c-1e6caf1f36f2","USA020","PI 560102",,"Cuphea","viscosissima","Jacq.","","","Cuphea viscosissima Jacq.","USA","10","19890925","","true","false","10","100","USA005","","","","2014-07-23 20:02:28"
"7346","c83305e1-2347-487e-a1bb-1a7e557b394a","USA020","PI 652387",,"Daucus","carota","L.","subsp. fontanesii","Thell.","Daucus carota L. subsp. fontanesii Thell.","TUR","10","19991028","","true","false","10","100","USA005","","","","2014-07-23 19:01:42"
"12701","a56d7807-4170-4222-a4f5-6fb5bde801c0","USA020","Ames 26381",,"Daucus","carota","L.","subsp. fontanesii","Thell.","Daucus carota L. subsp. fontanesii Thell.","PRT","10","20010921","","true","false","10","100","USA005","","","","2014-07-23 17:32:20"
"12992","a44aa4a1-ecf3-4be7-ad85-1cc177b35173","USA020","PI 652215",,"Daucus","carota","L.","","","Daucus carota L.","POL","10","19940706","","false","false","10","100","USA005","","","","2014-07-23 17:17:20"
"13424","c2ecf6ac-d63b-48c8-a21c-714d0d56aeb8","USA020","PI 652218",,"Daucus","carota","L.","subsp. carota","","Daucus carota L. subsp. carota","HUN","10","19950615","","true","false","10","100","USA005","","","","2014-07-23 13:25:35"
"13495","e7286fad-93b4-4fd7-81f2-d13db2edc524","USA020","PI 652293",,"Daucus","carota","L.","","","Daucus carota L.","GRC","10","19991018","","true","false","10","100","USA005","","","","2014-07-23 13:15:41"
"13497","4ec7be6e-4619-4ab9-a9ff-ca8480bdeaa6","USA020","PI 652397",,"Daucus","carota","L.","","","Daucus carota L.","TUR","10","19991028","","true","false","10","100","USA005","","","","2014-07-23 19:01:46"
"14786","3c37737d-cc84-405a-9285-1de127e41eab","USA020","PI 478863",,"Daucus","carota","L.","subsp. carota","","Daucus carota L. subsp. carota",,"10","198307--","","true","false","10","100","USA005","","","","2014-07-23 08:20:57"
"26626","0ba8f6d8-ed68-41c3-b6c9-69d61438e284","USA020","Ames 26395",,"Daucus","carota","L.","","","Daucus carota L.","PRT","10","20010921","","true","false","10","100","USA005","","","","2014-07-23 17:32:21"
"29443","ad9f74a0-4b7e-4d61-a746-c0518da71c13","USA020","PI 652294",,"Daucus","carota","L.","","","Daucus carota L.","GRC","10","19991018","","true","false","10","100","USA005","","","","2014-07-23 13:15:42"
"29444","10ca1f61-546d-4bac-b581-975fef2da53f","USA020","Ames 25762",,"Daucus","carota","L.","subsp. carota","","Daucus carota L. subsp. carota","SYR","10","19991110","","true","false","10","100","USA005","","","","2014-07-23 18:39:32"
"29447","5cc5de97-8d2e-4d0f-944d-a3e08318ded3","USA020","PI 652391",,"Daucus","carota","L.","","","Daucus carota L.","TUR","10","19991028","","true","false","10","100","USA005","","","","2014-07-23 19:02:02"
"29448","ad70d3af-3b0c-4de8-a741-ce2cff15b8a7","USA020","PI 652394",,"Daucus","carota","L.","","","Daucus carota L.","TUR","10","19991028","","true","false","10","100","USA005","","","","2014-07-23 19:02:02"
"29478","e0cc903c-cef8-40c5-be6b-5c4e991c31bc","USA020","Ames 26407",,"Daucus","carota","L.","subsp. maximus","(Desf.) Ball","Daucus carota L. subsp. maximus (Desf.) Ball","PRT","10","20010921","","true","false","10","100","USA005","","","","2014-07-23 17:32:21"
"36620","5fca0ee5-a9ef-4875-89b4-69066825816f","USA020","Ames 23198",,"Daucus","carota","L.","","","Daucus carota L.","ALB","10","19960930","","true","false","10","100","USA005","","","","2014-07-23 10:25:25"
"42681","4ec15950-69f8-4711-8330-aa8157427571","USA020","Ames 26394",,"Daucus","carota","L.","subsp. maritimus","(Lam.) Batt.","Daucus carota L. subsp. maritimus (Lam.) Batt.","PRT","10","20010921","","true","false","10","100",,"","","","2014-07-23 17:32:23"
"45505","31f9d5d1-f710-4308-a6fe-f3fc8a3541ec","USA020","PI 652295",,"Daucus","carota","L.","","","Daucus carota L.","GRC","10","19991018","","true","false","10","100","USA005","","","","2014-07-23 13:15:44"
"45509","99eb6f45-3561-41ca-a7de-25957a4c5d74","USA020","Ames 25612",,"Daucus","carota","L.","","","Daucus carota L.","GRC","10","19991018","","true","false","10","100","USA005","","","","2014-07-23 13:15:44"
"45511","38f4f301-f342-44c2-83eb-bb0808c1e280","USA020","PI 652361",,"Daucus","hybr.","","","","Daucus hybr.","TUR","10","19991028","","true","false","10","100","USA005","","","","2014-07-23 19:02:18"
"45512","83499067-22ff-4e60-b09a-e4af1a473e7b","USA020","PI 652363",,"Daucus","carota","L.","","","Daucus carota L.","TUR","10","19991028","","true","false","10","100",,"","","","2014-07-23 19:02:19"
"46771","b5216d09-36af-4dec-b7ab-62462de26f15","USA020","PI 478865",,"Daucus","carota","L.","subsp. carota","","Daucus carota L. subsp. carota","DEU","10","198307--","","true","false","10","100","USA005","","","","2014-07-23 11:49:59"
"58532","1ada5ef3-b974-4da8-910a-8f380d5d74e3","USA020","Ames 26388",,"Daucus","carota","L.","subsp. maritimus","(Lam.) Batt.","Daucus carota L. subsp. maritimus (Lam.) Batt.","PRT","10","20010921","","false","false","10","100",,"","","","2014-07-23 17:32:24"
"61334","45a14594-3aad-45a1-89e6-74b8fc7f452a","USA020","PI 652352",,"Daucus","carota","L.","","","Daucus carota L.","TUR","10","19991028","","true","false","10","100","USA005","","","","2014-07-23 19:02:33"
"61335","14f1aece-11c3-4800-826f-ca986d5ee43c","USA020","PI 652354",,"Daucus","carota","L.","","","Daucus carota L.","TUR","10","19991028","","true","false","10","100","USA005","","","","2014-07-23 19:02:33"
"61336","c5681675-65aa-4559-8831-1b16796fd289","USA020","PI 652396",,"Daucus","carota","L.","","","Daucus carota L.","TUR","10","19991028","","true","false","10","100","USA005","","","","2014-07-23 19:02:33"
