"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"4327","38.0","-79.55","497.0",,"",,"3"
"4328","39.06666667","-81.41666667","191.0",,"",,"3"
"7346","36.87555556","30.73416667","15.0",,"",,"3"
"12701","37.11944444","-8.55194444","29.0",,"",,"3"
"13495","40.65833333","21.76166667","540.0",,"",,"3"
"13497","38.155","31.28222222","1155.0",,"",,"3"
"26626","37.05944444","-7.7625","31.0",,"",,"3"
"29443","40.28694444","21.46416667","550.0",,"",,"3"
"29444","35.11361111","36.3275","650.0",,"",,"3"
"29447","36.76888889","31.39194444","14.0",,"",,"3"
"29448","37.87555556","32.42861111","1016.0",,"",,"3"
"29478","37.04055556","-7.82444444","20.0",,"",,"3"
"36620","40.18083333","20.45694444","320.0",,"",,"3"
"42681","39.0416666","-7.4233333","250.0",,"",,"2"
"45505","40.09888889","20.76416667","670.0",,"",,"3"
"45509","40.27166667","23.21805556","50.0",,"",,"3"
"45511","37.28583333","27.86638889","520.0",,"",,"3"
"45512","37.28583333","27.86638889","520.0",,"",,"3"
"58532","41.0775","-6.81138889","551.0",,"",,"3"
"61334","38.65861111","26.82083333","51.0",,"",,"3"
"61335","38.14583333","27.15083333","106.0",,"",,"3"
"61336","37.84555556","31.9025","1154.0",,"",,"3"
"61384","41.24583333","69.82138889","1368.0",,"",,"3"
"74583","37.3766666","-8.435","160.0",,"",,"2"
"77432","36.66722222","29.13138889","10.0",,"",,"3"
"77484","41.54055556","70.02583333","1438.0",,"",,"3"
"93327","42.84833333","24.90444444","396.0",,"",,"3"
"93343","51.3","10.25","",,"",,"3"
"93365","38.48972222","26.46388889","30.0",,"",,"3"
"93468","37.06277778","9.46138889","250.0",,"",,"3"
"95144","39.0416666","-7.4233333","250.0",,"",,"2"
"109341","38.17805556","21.68666667","20.0",,"",,"3"
"109343","37.91583333","30.29194444","1012.0",,"",,"3"
"111127","39.6833333","-7.735","274.0",,"",,"2"
"125260","38.70166667","20.70833333","1.0",,"",,"3"
"125261","34.7675","36.305","500.0",,"",,"3"
