"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"5772",,"H. lupulus GE-2006-074","20060921","10","Korugi Preserve, Riparian area adjacent to Iora River.","1"
"7034",,,"19831201","","Minot, along railroad tracks","0"
"7368",,"Oakville-W #5","20011012","",,"0"
"7376",,"Pheasant Creek-W2","20011010","10",,"1"
"13498",,"Rulo-E2","199910--","","Along the lower Missouri River","0"
"13588",,"HDF-2007-077","20070708","10","Wabaunsee County - side of Wabaunsee Rd. NW of Alma","1"
"15279",,"Willow Creek","20020916","10","West of Gunnison on U.S.-50, south on State Highway 149 to County Road 31 following Willow Creek. Along a stretch for a half mile in the vacinity of Pole Creek scattered plants were found. Ending Lat/long, 34.4525/-107.5861","1"
"15280",,"OCJ-49","20020917","10","Along Devil Creek on County Road 164, 100m north of U.S.-160 and 2 miles west of State Highway 151.","1"
"15281",,"Phantom Canyon #2E femal","20020920","","East of Canon City on U.S.-50, north on County Road 67 (Phantom Canyon Road), pass though second tunnel and go one half mile to about milepost 11. Between road cut though narrow rock ridgeline and pullout with concrete fireplace.","0"
"15306",,"OJ-2003-016 Fem",,"10","Graham county, Frye Canyon, in Frye canyon half a mile above trail junction","1"
"22843",,,"1981----","","Just above the floodplain of Belt Creek","0"
"22844",,,"19831201","","Millville, N. side of Turkey River, near limestone pinnacle","0"
"22845",,,"1981----","10","Just above the floodplain of Belt Creek","1"
"23083",,,,"10",,"0"
"23149",,"Souris-E2","199910--","10","Along the Souris River.","1"
"23196",,"Souris E2 #12","20011013","10",,"1"
"23197",,"Glen Ewan-S #12","20011009","10",,"1"
"23198",,"Crooked Lake-W #5","20011010","10",,"1"
"23199",,"Crooked Lake-W #11","20011010","10",,"1"
"23200",,"Abernathy-E #2","20011011","10",,"1"
"23201",,"Abernathy-E #4","20011011","10",,"1"
"23202",,"Morden-SW #1","20011012","",,"0"
"23203",,,"20011007","10",,"1"
"23230",,,"2004----","10","Ute Creek at Amalia, Taos county.","1"
"31216",,"OCJ-25","20020914","10","West of State Highway 13 at Rio Blanco on County Road 5 to Davis Gulch. Up Davis Gulch and one half mile up Deer Gulch along stream bed (dry due to drought).","1"
"31217",,"Phantom Canyon #2B femal","20020920","","East of Canon City on U.S.-50, north on County Road 67 (Phantom Canyon Road), pass though second tunnel and go one half mile to about milepost 11. Between road cut though narrow rock ridgeline and pullout with concrete fireplace.","0"
"31242",,"OJ-2003-19 Fem","20031012","10","Coconino County, Kaibab National Forest, FR 206 south of FR 429, east of FR 22.","1"
"38984",,,"19831201","","Brownville, near Missouri River in mixed shrubs and hardwood","0"
"39355",,"Abernathy-E 2A #1","20011011","10",,"1"
