"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"5772","3230d06d-ada9-4355-9262-dd45cda482bd","USA026","CHUM 1455",,"Humulus","lupulus","L.","var. lupulus","","Humulus lupulus L. var. lupulus","GEO","10","20061006","","false","false","10","100",,"","","","2014-07-23 13:09:51"
"7034","fd7b1f71-4443-4fb1-a162-58836bea6a65","USA026","PI 559249",,"Humulus","lupulus","","","","Humulus lupulus","USA","10","19840723","","","false","20","100",,"","","","2014-07-23 20:02:33"
"7368","1f27846d-3762-4ec2-9d5d-f815231c0f70","USA026","CHUM 1245",,"Humulus","lupulus","","","","Humulus lupulus","CAN","10","20020807","","","false","10","100",,"","","","2014-07-23 11:06:31"
"7376","ca038721-9dd1-4ef9-ad34-2befa89948bf","USA026","PI 635240",,"Humulus","lupulus","L.","var. lupuloides","E. Small","Humulus lupulus L. var. lupuloides E. Small","CAN","10","20020809","","false","false","10","100",,"","","","2014-07-23 11:06:31"
"13498","951f76fd-4df2-449a-99d3-7ad7b853f299","USA026","PI 635259",,"Humulus","lupulus","","","","Humulus lupulus","USA","10","20000113","","","false","10;20","100",,"","","","2014-07-23 20:02:46"
"13588","43aa950f-e126-442f-a625-706d534395b2","USA026","CHUM 1458",,"Humulus","lupulus","L.","var. pubescens","E. Small","Humulus lupulus L. var. pubescens E. Small","USA","10","20070715","","false","false","20","100",,"","","","2014-07-23 20:02:48"
"15279","59456352-0507-43fb-9f57-b4d931bb09c1","USA026","PI 635459",,"Humulus","lupulus","L.","var. neomexicanus","A. Nelson & Cockerell","Humulus lupulus L. var. neomexicanus A. Nelson & Cockerell","USA","10","20020910","","false","false","10;20","100",,"","","","2014-07-23 20:02:51"
"15280","7c5fe11a-c0c6-404f-9af0-866a83c8aeba","USA026","PI 635472",,"Humulus","lupulus","L.","var. neomexicanus","A. Nelson & Cockerell","Humulus lupulus L. var. neomexicanus A. Nelson & Cockerell","USA","10","20020910","","true","false","10","100",,"","","","2014-07-23 20:02:51"
"15281","2f63e8ce-70e4-4053-a50f-040f6a68c20c","USA026","CHUM 1399",,"Humulus","lupulus","","","","Humulus lupulus","USA","10","20020910","","","false","20","100",,"","","","2014-07-23 20:02:51"
"15306","cd175f7f-ecf9-463d-b249-8f9fe3f48ccf","USA026","PI 635233",,"Humulus","lupulus","L.","var. neomexicanus","A. Nelson & Cockerell","Humulus lupulus L. var. neomexicanus A. Nelson & Cockerell","USA","10","20030922","","true","false","20;30","100",,"","","","2014-07-23 20:02:51"
"22843","0b42c615-1034-48eb-88a7-6c93a558a418","USA026","PI 559235",,"Humulus","lupulus","","","","Humulus lupulus","USA","10","19860306","","true","false","20","100",,"","","","2014-07-23 20:03:06"
"22844","92f39e3c-70ce-4533-a6a9-fd409bb5e16d","USA026","PI 559245",,"Humulus","lupulus","","","","Humulus lupulus","USA","10","19840723","","","false","20;30","100",,"","","","2014-07-23 20:03:06"
"22845","f6091d6c-6b89-44e3-9ced-1d18117b3400","USA026","PI 559265",,"Humulus","lupulus","L.","var. lupuloides","E. Small","Humulus lupulus L. var. lupuloides E. Small","USA","10","19870821","","true","false","20;30","100",,"","","","2014-07-23 20:03:06"
"23083","09cf58fc-6646-4821-8b96-618717a0902d","USA026","PI 617427",,"Humulus","lupulus","L.","var. lupuloides","E. Small","Humulus lupulus L. var. lupuloides E. Small",,"50","19971114","","true","false","20","100",,"","","","2014-07-23 08:21:31"
"23149","8aa202f5-3eaf-4343-b6b1-48bf436fecca","USA026","PI 635241",,"Humulus","lupulus","L.","var. lupuloides","E. Small","Humulus lupulus L. var. lupuloides E. Small","CAN","10","19991103","","true","false","10;20","100",,"","","","2014-07-23 11:06:31"
"23196","524aaa0f-784d-445d-93d0-16ed3725e2c9","USA026","PI 635277",,"Humulus","lupulus","L.","var. lupuloides","E. Small","Humulus lupulus L. var. lupuloides E. Small","CAN","10","20020807","","true","false","10","100",,"","","","2014-07-23 11:06:31"
"23197","3bdfecd7-bb59-4c6f-b0ca-0d3f0ef43421","USA026","PI 635337",,"Humulus","lupulus","L.","var. lupuloides","E. Small","Humulus lupulus L. var. lupuloides E. Small","CAN","10","20020807","","false","false","10","100",,"","","","2014-07-23 11:06:31"
"23198","14a58a38-bbb6-4205-9789-d7053920f437","USA026","PI 635352",,"Humulus","lupulus","L.","var. lupuloides","E. Small","Humulus lupulus L. var. lupuloides E. Small","CAN","10","20020807","","true","false","10","100",,"","","","2014-07-23 11:06:31"
"23199","0125b4cf-5f87-47b2-b9dc-f8934fb4719f","USA026","PI 635358",,"Humulus","lupulus","L.","var. lupuloides","E. Small","Humulus lupulus L. var. lupuloides E. Small","CAN","10","20020807","","true","false","10","100",,"","","","2014-07-23 11:06:31"
"23200","843b7eae-92c4-41ca-ae05-d7e5edbf04c3","USA026","PI 635362",,"Humulus","lupulus","L.","var. lupuloides","E. Small","Humulus lupulus L. var. lupuloides E. Small","CAN","10","20020807","","true","false","10","100",,"","","","2014-07-23 11:06:31"
"23201","1861c344-ca2c-4d95-a23c-7d785eda7e7d","USA026","PI 635364",,"Humulus","lupulus","L.","var. lupuloides","E. Small","Humulus lupulus L. var. lupuloides E. Small","CAN","10","20020807","","true","false","10","100",,"","","","2014-07-23 11:06:31"
"23202","ae3e4195-4f92-424b-8d1a-66882713c232","USA026","CHUM 1275",,"Humulus","lupulus","","","","Humulus lupulus","CAN","10","20020807","","","false","10","100",,"","","","2014-07-23 11:06:31"
"23203","7842d7c7-5854-48cf-a113-0948802428e8","USA026","PI 635493",,"Humulus","lupulus","L.","var. lupuloides","E. Small","Humulus lupulus L. var. lupuloides E. Small","USA","10","20030220","","true","false","10","100",,"","","","2014-07-23 20:03:07"
