"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"5772","41.629","45.4544","",,"",,"2"
"7034","48.25","-101.25","502.0",,"",,"2"
"7376","50.60837","-103.49922","",,"",,"2"
"13498","40.06889","-95.36528","279.0",,"",,"2"
"13588","39.04883","-96.32391","133.0",,"",,"2"
"15279","38.45278","-107.05833","2357.0",,"",,"3"
"15280","37.2125","-107.2975","2025.0",,"",,"3"
"15281","38.55028","-105.09972","2348.0",,"",,"2"
"15306","32.73083","-109.855","1964.0",,"",,"3"
"22843","47.41667","-110.91667","1136.0",,"",,"2"
"22844","42.75","-91.16667","280.0",,"",,"2"
"22845","47.41667","-110.91667","",,"",,"3"
"23149","49.61306","-100.23444","420.0",,"",,"3"
"23230","36.9425","-105.455","2500.0",,"",,"2"
"31216","39.77028","-108.00306","2179.0",,"",,"3"
"31217","38.55028","-105.09972","2348.0",,"",,"2"
"31242","36.58186","-112.34364","2195.0",,"",,"3"
"38984","40.33333","-95.75","316.0",,"",,"2"
"45513","40.06083","-95.3925","260.0",,"",,"3"
"47270","39.93139","-105.28194","1832.0",,"",,"3"
"54754","40.33333","-95.75","316.0",,"",,"2"
"54755","42.75","-91.16667","",,"",,"3"
"54756","41.8","-111.83333","1972.0",,"",,"2"
"55068","50.53861","-102.47778","542.0",,"",,"2"
"63200","39.93083","-105.29111","1890.0",,"",,"3"
"63201","38.45806","-106.75833","2439.0",,"",,"3"
"63202","38.0225","-108.055","2228.0",,"",,"3"
"69365","41.80723","45.73731","403.0",,"",,"2"
"70831","40.33333","-95.75","316.0",,"",,"2"
"70832","47.41667","-110.91667","1136.0",,"",,"2"
"79119","38.4525","-107.05861","2374.0",,"",,"3"
"79120","35.71667","-105.68","2328.0",,"",,"3"
"79121","35.71667","-105.68","2328.0",,"",,"3"
"79122","35.80889","-105.28833","2176.0",,"",,"3"
"86842","40.01667","-95.5","",,"",,"3"
"86843","42.75","-91.16667","",,"",,"3"
"86844","42.75","-91.16667","",,"",,"3"
"86845","47.41667","-110.91667","1136.0",,"",,"2"
"86846","48.25","-101.25","502.0",,"",,"2"
"87297","","","2454.0",,"",,"0"
"95159","40.48722","-107.08889","2063.0",,"",,"3"
"95160","39.77028","-108.00306","2170.0",,"",,"3"
"95161","39.69667","-105.72389","2791.0",,"",,"3"
"95162","38.04861","-108.03472","2299.0",,"",,"3"
"95163","37.59028","-108.49889","2265.0",,"",,"3"
"95186","34.04611","-109.7275","2368.0",,"",,"3"
"95187","33.92222","-109.18306","2440.0",,"",,"3"
"101263","40.76417","44.48028","1500.0",,"",,"3"
"102791","48.25","-101.25","502.0",,"",,"2"
"102792","42.75","-91.16667","280.0",,"",,"2"
"103128","48.13483","-102.43983","649.0",,"",,"3"
"103172","46.54389","-97.93111","354.0",,"",,"3"
"111150","40.49194","-107.29889","1939.0",,"",,"3"
"111151","39.185","-106.80833","2437.0",,"",,"3"
"111152","38.41361","-106.51167","2518.0",,"",,"3"
"111177","32.64417","-109.85056","2695.0",,"",,"3"
"117134","40.98972","44.65417","854.0",,"",,"3"
"118756","48.25","-101.25","502.0",,"",,"2"
"118757","48.25","-101.25","502.0",,"",,"2"
"127098","39.77028","-108.00306","2170.0",,"",,"3"
"127099","37.49028","-106.26","2530.0",,"",,"3"
"127131","35.11472","-111.58778","2152.0",,"",,"2"
"133153","44.26222","-123.1875","90.0",,"",,"2"
"133217","41.54361","41.56074","60.0",,"",,"2"
"133247","41.4896","44.93742","1672.0",,"",,"2"
"135053","50.63567","-102.87933","480.0",,"",,"3"
"143130","40.24861","-107.78528","2025.0",,"",,"3"
"143131","38.4525","-107.05861","2374.0",,"",,"3"
"143152","32.43639","-110.75861","1838.0",,"",,"2"
"150821","40.16667","-95.5","284.0",,"",,"2"
"150822","47.41667","-110.91667","1136.0",,"",,"2"
"150823","40.16667","-95.5","284.0",,"",,"2"
"150824","47.41667","-110.91667","1136.0",,"",,"2"
"151189","48.76215","-123.64417","2.0",,"",,"3"
"159040","40.86611","-109.02444","1733.0",,"",,"3"
"159041","35.73667","-105.67806","2354.0",,"",,"3"
"159042","37.13417","-104.81472","2070.0",,"",,"3"
"167010","50.59553","-103.46303","",,"",,"2"
"175155","39.69056","-107.70306","2009.0",,"",,"3"
"175156","38.55028","-105.09972","2348.0",,"",,"2"
"175177","33.40944","-108.57389","2403.0",,"",,"3"
"181201","41.9882","44.5161","638.0",,"",,"2"
"182561","42.75","-91.16667","280.0",,"",,"2"
"182562","47.41806","-110.92417","1136.0",,"",,"2"
"188986","40.33333","-95.75","",,"",,"3"
"190792","39.88222","-107.76778","2192.0",,"",,"3"
"190793","39.81028","-107.17111","2363.0",,"",,"3"
"190816","32.64417","-109.85056","2695.0",,"",,"3"
"197136","42.01987","45.76476","754.0",,"",,"2"
"198455","47.42085","-110.91876","1045.0",,"",,"3"
"198789","49.16528","58.68556","403.0",,"",,"3"
"214492","42.75","-91.16667","",,"",,"3"
"214493","48.25","-101.25","",,"",,"3"
"214494","47.41817","-110.92417","2000.0",,"",,"3"
"222806","40.50944","-107.13056","2032.0",,"",,"3"
"222807","36.5375","-105.22694","2533.0",,"",,"3"
"230722","49.61306","-100.23444","",,"",,"3"
"236992","42.874","-97.4854","408.0",,"",,"2"
"238677","39.64833","-107.70833","1887.0",,"",,"3"
"238748","36.83783","-105.349","2700.0",,"",,"2"
"246518","48.224","-100.26333","487.0",,"",,"3"
"246524","46.61667","-97.6","339.0",,"",,"2"
"246547","48.224","-101.26333","487.0",,"",,"2"
"254430","38.76778","-106.09722","2348.0",,"",,"3"
"254431","38.45472","-106.10056","2532.0",,"",,"3"
"254432","38.55028","-105.09972","2088.0",,"",,"3"
"262056","47.41817","-110.92417","2000.0",,"",,"3"
"262057","47.41667","-110.91667","1136.0",,"",,"2"
"262058","48.25","-101.25","502.0",,"",,"2"
"262059","48.25","-101.25","502.0",,"",,"2"
"262385","48.88944","58.57194","394.0",,"",,"3"
"270375","40.515","-105.18806","1722.0",,"",,"3"
"278086","47.41806","-110.92417","1136.0",,"",,"2"
"286295","39.91583","-105.23861","1829.0",,"",,"3"
"286296","39.7975","-107.16111","2363.0",,"",,"3"
"286297","36.53722","-105.20583","2455.0",,"",,"3"
"286298","38.55028","-105.09972","2088.0",,"",,"3"
"286319","33.39611","-105.75667","2644.0",,"",,"3"
"286320","33.81","-107.58722","2283.0",,"",,"2"
"293962","47.41667","-110.91667","1136.0",,"",,"2"
"294264","48.29583","-101.4575","488.0",,"",,"3"
"294265","48.3125","-102.76517","635.0",,"",,"3"
"300545","42.885","-100.5487","823.0",,"",,"2"
"302270","40.26306","-107.78861","1994.0",,"",,"3"
"302271","37.53139","-105.295","2541.0",,"",,"3"
"309767","40.16667","-95.5","284.0",,"",,"2"
"309768","41.8","-111.83333","1972.0",,"",,"2"
"318030","40.48778","-107.15889","1975.0",,"",,"3"
"318031","40.48889","-107.15611","1964.0",,"",,"3"
"318032","35.71667","-105.68","2328.0",,"",,"3"
"318033","38.55222","-105.09611","2348.0",,"",,"2"
"325609","47.41806","-110.92417","1136.0",,"",,"2"
"325610","47.41667","-110.91667","",,"",,"3"
"325611","47.41667","-110.91667","1136.0",,"",,"2"
"325912","48.3295","-102.76033","639.0",,"",,"3"
"325929","49.94611","-98.03306","251.0",,"",,"2"
"325944","50.57222","-103.41083","",,"",,"2"
"325950","48.29583","-101.4575","488.0",,"",,"2"
"333963","38.56861","-105.015","1872.0",,"",,"3"
"333982","35.02306","-111.73611","0.0",,"",,"3"
"341489","40.01667","-95.5","279.0",,"",,"2"
"341490","41.8","-111.83333","1972.0",,"",,"2"
"341491","47.41667","-110.91667","1136.0",,"",,"2"
"341797","48.1595","-101.16117","490.0",,"",,"3"
"341802","46.46139","-97.72278","379.0",,"",,"2"
"349767","35.73667","-105.67806","2354.0",,"",,"3"
"357353","48.25","-101.25","502.0",,"",,"2"
"357354","47.41667","-110.91667","1136.0",,"",,"2"
"357662","50.64417","-102.82278","545.0",,"",,"2"
"357698","47.52917","-97.98528","406.0",,"",,"3"
"365593","39.98944","-107.61472","2157.0",,"",,"3"
"365594","38.55028","-105.09972","2348.0",,"",,"2"
"371558","44.26222","-123.1875","90.0",,"",,"2"
"373080","41.8","-111.83333","1972.0",,"",,"2"
"373394","50.63417","-103.56167","560.0",,"",,"2"
"373395","50.61033","-103.55967","520.0",,"",,"3"
"381393","39.93861","-105.25778","1723.0",,"",,"3"
"381414","33.81","-107.58722","2283.0",,"",,"2"
"387551","44.26222","-123.1875","90.0",,"",,"2"
"389028","42.75","-91.16667","280.0",,"",,"2"
"389334","49.21933","-102.1825","500.0",,"",,"3"
"389342","46.5455","-97.92983","354.0",,"",,"3"
"397474","40.25444","-107.78806","2014.0",,"",,"3"
"402735","41.73778","20.30639","360.0",,"",,"3"
"405012","47.41667","-110.91667","1136.0",,"",,"2"
"405326","50.56117","-103.3295","520.0",,"",,"3"
"405327","50.5305","-103.25717","520.0",,"",,"3"
"413480","39.81028","-107.18222","3098.0",,"",,"2"
"413481","37.49528","-105.33444","2409.0",,"",,"3"
"413482","37.01917","-104.49139","2295.0",,"",,"2"
"413506","33.81","-107.58722","2302.0",,"",,"3"
"421082","48.25","-101.25","",,"",,"3"
"429317","39.76528","-108.01389","2079.0",,"",,"3"
"429318","38.45277","-107.05833","2374.0",,"",,"3"
"429319","37.49528","-106.23583","2514.0",,"",,"3"
"429320","39.42917","-104.96861","1779.0",,"",,"3"
"436901","40.33333","-95.75","316.0",,"",,"2"
"436902","40.33333","-95.75","",,"",,"3"
"436903","40.01667","-95.5","",,"",,"3"
"436904","48.25","-101.25","502.0",,"",,"2"
"436905","47.41806","-110.92417","1136.0",,"",,"2"
"436906","42.75","-91.16667","280.0",,"",,"2"
"436907","47.41667","-110.91667","",,"",,"3"
"436908","47.41667","-110.91667","1136.0",,"",,"2"
"445293","40.56694","-105.23","1813.0",,"",,"3"
"450563","41.84806","19.37917","1.0",,"",,"3"
"452758","40.16667","-95.5","",,"",,"3"
"452759","34.5","-106.0","1966.0",,"",,"2"
"459119","40.57983","-95.781","290.0",,"",,"2"
"459160","39.1121","-96.7608","376.0",,"",,"2"
"460895","38.55028","-105.09972","2088.0",,"",,"3"
"460912","34.61861","-111.09278","1953.0",,"",,"3"
"460913","33.40639","-105.75694","2796.0",,"",,"3"
"467055","41.90041","44.07606","900.0",,"",,"2"
"468481","48.25","-101.25","",,"",,"3"
"468482","47.41806","-110.92417","1136.0",,"",,"2"
"468863","48.28183","-101.43333","487.0",,"",,"2"
"474938","40.33333","-95.75","",,"",,"3"
"476910","40.27028","-107.79139","1987.0",,"",,"3"
"476911","39.8675","-107.535","2338.0",,"",,"3"
"476912","37.76861","-106.80028","2537.0",,"",,"3"
"476928","32.43639","-110.75861","1838.0",,"",,"2"
"483048","41.64229","45.91094","502.0",,"",,"2"
"484523","42.75","-91.16667","",,"",,"3"
"500517","40.33333","-95.75","",,"",,"3"
"500518","42.75","-91.16667","",,"",,"3"
"500827","48.28183","-101.43333","487.0",,"",,"3"
"508772","39.93028","-105.29667","1890.0",,"",,"3"
"508773","37.27417","-107.96","2164.0",,"",,"3"
"508802","32.64417","-109.85056","2695.0",,"",,"3"
"3531133","40.516667","-3.283333","610.0",,"",,"6"
"3804540","","","2454.0",,"",,"0"
"3816186","","","1.0",,"",,"0"
"3816325","","","100.0",,"",,"0"
"3816356","","","30.0",,"",,"0"
"3842951","49.888056","20.161944","220.0",,"",,"3"
"3844002","49.888056","20.161944","220.0",,"",,"3"
"3844267","49.888056","20.161944","220.0",,"",,"3"
"3941657","45.8","16.0","146.0",,"",,"3"
"3941672","45.075","14.673889","45.0",,"",,"6"
"4001211","56.231667","10.524722","",,"",,"6"
"4027222","43.472778","110.925","",,"",,"2"
"4027223","47.38","-110.925","",,"",,"2"
"4027224","43.062222","110.925","",,"",,"2"
"4027225","49.117222","110.925","",,"",,"2"
"4027226","47.312778","110.925","",,"",,"2"
"4027227","51.31","110.925","",,"",,"2"
"4027228","42.326389","110.925","",,"",,"2"
"4027229","50.823333","110.925","",,"",,"2"
"4027231","42.141944","110.925","",,"",,"2"
"4027232","48.703889","110.925","",,"",,"2"
"4027233","47.396944","-110.925","",,"",,"2"
"4027236","49.041389","-110.925","",,"",,"2"
"4027237","49.041667","-110.925","",,"",,"2"
"4027238","50.693056","-110.925","",,"",,"2"
"4027239","43.034167","110.925","",,"",,"2"
"4027240","43.076944","110.925","",,"",,"2"
"4027242","47.368056","-110.925","",,"",,"2"
"4027244","50.084444","110.925","",,"",,"2"
"4027245","47.379444","-110.925","",,"",,"2"
"4092156","45.683333","15.733333","140.0",,"",,"5"
"4092182","45.733333","15.683333","343.0",,"",,"5"
"4383729","44.1931","143.61345","19.0",,"",,"2"
"4423428","43.0549","141.62123","19.0",,"",,"2"
"4423429","42.65862","143.0007","279.0",,"",,"2"
"4916895","42.304444","-0.634722","772.0",,"",,"2"
"4916901","40.934444","-0.105833","499.0",,"",,"2"
"4916905","41.883056","-1.779444","549.0",,"",,"2"
"5767195","","","350.0",,"",,"0"
"5767196","","","500.0",,"",,"0"
"5767197","","","370.0",,"",,"0"
"5767198","","","100.0",,"",,"0"
"5767199","","","830.0",,"",,"0"
"5767200","","","460.0",,"",,"0"
"5767201","","","730.0",,"",,"0"
"5767202","","","530.0",,"",,"0"
"5767203","","","400.0",,"",,"0"
"5767204","","","410.0",,"",,"0"
"5767295","","","470.0",,"",,"0"
"5767296","","","160.0",,"",,"0"
"5767297","","","10.0",,"",,"0"
"5767298","","","200.0",,"",,"0"
"5767299","","","20.0",,"",,"0"
"5767301","","","20.0",,"",,"0"
"5767302","","","160.0",,"",,"0"
"5767303","","","560.0",,"",,"0"
"5767304","","","86.0",,"",,"0"
"5767306","","","230.0",,"",,"0"
"5767307","","","80.0",,"",,"0"
"5767308","","","150.0",,"",,"0"
"5767309","","","100.0",,"",,"0"
"5767310","","","20.0",,"",,"0"
"5767311","","","540.0",,"",,"0"
"5767312","","","600.0",,"",,"0"
"5767313","","","100.0",,"",,"0"
"5767314","","","100.0",,"",,"0"
"5767315","","","30.0",,"",,"0"
"5767316","","","460.0",,"",,"0"
"5767317","","","90.0",,"",,"0"
"5767318","","","90.0",,"",,"0"
"5767319","","","70.0",,"",,"0"
"5767320","","","150.0",,"",,"0"
"5767321","","","500.0",,"",,"0"
"5767323","","","60.0",,"",,"0"
"5767324","","","100.0",,"",,"0"
"5767325","","","190.0",,"",,"0"
"5767326","","","150.0",,"",,"0"
"5767327","","","160.0",,"",,"0"
"5767328","","","90.0",,"",,"0"
"5767329","","","60.0",,"",,"0"
"5767330","","","180.0",,"",,"0"
"5767331","","","90.0",,"",,"0"
"5767332","","","160.0",,"",,"0"
"5767333","","","90.0",,"",,"0"
"5767334","","","190.0",,"",,"0"
"5767335","","","150.0",,"",,"0"
"5767336","","","80.0",,"",,"0"
"5767337","","","50.0",,"",,"0"
"5767338","","","380.0",,"",,"0"
"5767339","","","40.0",,"",,"0"
"5767340","","","200.0",,"",,"0"
"5767341","","","450.0",,"",,"0"
"5767342","","","220.0",,"",,"0"
"5767343","","","200.0",,"",,"0"
"5767344","","","570.0",,"",,"0"
"5767345","","","40.0",,"",,"0"
"5767346","","","300.0",,"",,"0"
"5767347","","","50.0",,"",,"0"
"5767348","","","320.0",,"",,"0"
"5767349","","","20.0",,"",,"0"
"5767350","","","40.0",,"",,"0"
"5767351","","","380.0",,"",,"0"
"5767353","","","170.0",,"",,"0"
"5767354","","","480.0",,"",,"0"
"5767355","","","200.0",,"",,"0"
"5767356","","","950.0",,"",,"0"
"5767357","","","170.0",,"",,"0"
"5767358","","","80.0",,"",,"0"
"5767359","","","170.0",,"",,"0"
"5767360","","","450.0",,"",,"0"
"5767361","","","200.0",,"",,"0"
"5767362","","","50.0",,"",,"0"
"5767363","","","30.0",,"",,"0"
"5767364","","","120.0",,"",,"0"
"5767366","","","420.0",,"",,"0"
"5767367","","","280.0",,"",,"0"
"5767368","","","145.0",,"",,"0"
"5767369","","","180.0",,"",,"0"
"5767370","","","100.0",,"",,"0"
"5767371","","","190.0",,"",,"0"
"5767372","","","350.0",,"",,"0"
