"genesysId","instCode","name","aliasType","lang","version"
"5772","USA126","CHUM 1455","OTHERNUMB",,"0"
"5772","USA126","H. lupulus var. lupulus GE-2006-074","OTHERNUMB",,"0"
"5772",,"H. lupulus GE-2006-074","ACCENAME",,"0"
"5772",,"H. lupulus GE-2006-074","OTHERNUMB",,"0"
"5772","USA126","HOPS","OTHERNUMB",,"0"
"5772","USA126","GE-2006-074","OTHERNUMB",,"0"
"5772",,"JP 0906","OTHERNUMB",,"0"
"5772",,"H. lupulus GE-2006-074","COLLNUMB",,"0"
"7368",,"Oakville-W #5","ACCENAME",,"0"
"7368","USA126","CHUM 1245","OTHERNUMB",,"0"
"7376",,"Pheasant Creek-W2","ACCENAME",,"0"
"7376","USA126","CHUM 1446","OTHERNUMB",,"0"
"7376","USA126","Pheasant Creek-W2","OTHERNUMB",,"1"
"7376","USA126","HOPS","OTHERNUMB",,"0"
"7376","USA126","Pheasant Creek-W2","OTHERNUMB",,"0"
"7376",,"Pheasant Creek-W2","COLLNUMB",,"0"
"13498",,"Rulo-E2","ACCENAME",,"0"
"13498","USA126","CHUM 1020","OTHERNUMB",,"0"
"13588","USA126","CHUM 1458","OTHERNUMB",,"0"
"13588",,"H. lupulus HDF-2007-077","ACCENAME",,"0"
"13588",,"H. lupulus HDF-2007-077","OTHERNUMB",,"0"
"13588",,"HDF-2007-077","OTHERNUMB",,"0"
"13588","USA126","HOPS","OTHERNUMB",,"0"
"13588",,"CF 0607","OTHERNUMB",,"0"
"13588",,"HDF-2007-077","COLLNUMB",,"0"
"15279",,"Willow Creek","ACCENAME",,"0"
"15279","USA126","OCJ-35","OTHERNUMB",,"1"
"15279","USA126","CHUM 1364","OTHERNUMB",,"0"
"15279",,"Willow Creek","OTHERNUMB",,"0"
"15279","USA126","OCJ-35 SG#1","OTHERNUMB",,"0"
"15279","USA126","HOPS","OTHERNUMB",,"0"
"15279",,"KH0902","OTHERNUMB",,"0"
"15279",,"Willow Creek","COLLNUMB",,"0"
"15280",,"Chimney Rock","ACCENAME",,"0"
"15280","USA126","OCJ-49","OTHERNUMB",,"1"
"15280","USA126","CHUM 1377","OTHERNUMB",,"0"
