"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"93147","ee50100b-41d7-45c1-951b-0d81aa1f8824","USA022","PI 440469",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","KAZ","10","197802--","","false","false","10","100",,"","","","2014-07-23 15:15:30"
"93296","2ee605de-2b71-49aa-934b-c94f7d06948a","USA022","W6 17773",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","RUS","10","199601--","","false","false","10","100",,"","","","2014-07-23 17:45:19"
"93385","ef036122-6400-4a62-a390-84814cf5f290","USA022","W6 23270",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","KAZ","10","200008--","","false","false","10","100",,"","","","2014-07-23 15:15:30"
"93466","1dbc3c7a-7e22-4c73-81b1-e691e067aa99","USA022","W6 30392",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","KGZ","10","20070307","","false","false","10","100",,"","","","2014-07-23 15:07:18"
"124751","557b55e5-5c33-48a4-9c90-808e7695fcb2","USA022","W6 13157",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","CHN","10","19931102","","true","false","10","100","USA005","","","","2014-07-23 11:27:46"
"236679","de5f1156-5491-4edb-a814-429c34b7226b","USA022","PI 440468",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","RUS","10","197802--","","true","false","10","100",,"","","","2014-07-23 17:46:03"
"284639","f664a193-6d4f-43fb-becb-ff7dcbd3a6b5","USA022","W6 24048",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","ARM","10","20020624","","false","false","10","100",,"","","","2014-07-23 10:26:37"
"348038","9a9edaca-7516-4db2-a772-ef9b7b88171c","USA022","W6 23285",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","KAZ","10","200008--","","false","false","10","100",,"","","","2014-07-23 15:16:21"
"426977","c0404765-2e94-449f-82f1-b584c4002a14","USA022","W6 12942",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","CHN","10","19931102","","true","false","10","100",,"","","","2014-07-23 11:30:32"
"427159","39999383-12a6-4fb0-b88e-a93d41aa647b","USA022","PI 358881",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","SCG","10","19710305","","true","false","10","100","USA005","","","","2014-07-23 21:27:01"
"442909","60f5acaf-53b3-4bfe-b839-df8c8b5c684f","USA022","W6 4872",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","USA","10","19900827","","true","false","10","100",,"","","","2014-07-23 20:17:58"
"458976","3d79a0ba-50aa-4c85-b744-84235c91a21b","USA022","W6 17221",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","BGR","10","19950630","","false","false","10","100",,"","","","2014-07-23 10:50:09"
"752261","7fc88de4-80d7-4e30-8c91-8cf08f7dc65e","LBN002","IG 140204","10.18730/9JK6D","Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","TJK","13","200407--","true","false","false","10","100","MEX002","","","9","2020-01-22 07:18:37"
"3236144","3f455cb6-033b-4d1f-8968-e5ae6b60a66d","HUN003","RCAT069137",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","HUN","10","19950000","","","false","12","100",,"","","1285","2020-05-11 09:58:48"
"3533579","b2cbb97c-69dc-4e6e-a7cc-83c67d36053c","ESP004","NC073272",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","ESP","61","2000----","false","","false","12","100",,"","","1285","2020-05-11 07:12:08"
"3791825","0ec9ffc0-8f66-4562-b56d-03029460e890","GBR004","424323",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","GEO",,"20071113","false","false","false","10","110",,"","","4","2020-04-09 09:27:45"
"3902891","f8f7833f-8a3b-4fde-ace0-d19156ddb1e8","UKR008","UD0401036",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","RUS","40","19990000","","","false",,"100",,"","","1285","2020-05-11 12:00:09"
"3902892","0eca4693-72ea-4eca-b349-6f2fe99dea4a","UKR008","UD0401037",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","RUS","40","19990000","","","false",,"100",,"","","1285","2020-05-11 11:58:43"
"3902894","0d74849f-3961-4bc9-b7e0-3a281a66a253","UKR008","UD0401038",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","RUS","40","19990000","","","false",,"100",,"","","1285","2020-05-11 11:58:22"
"3914906","98a3311b-ded7-4e20-b92a-fe9f36624855","ARM035","11T04/SYR002:IG126296",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","ARM","10",,"true","","false","10","100",,"","","1285","2020-05-11 06:06:42"
"3914926","2601fa01-b314-40bd-9de3-324420ba4531","ARM035","11T02",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","ARM","10",,"","","false","10","100",,"","","1285","2020-05-11 06:06:31"
"3914929","b57dca81-129e-47eb-b3fc-5d02110fff63","ARM035","11T03/SYR002:IG126253",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","ARM","10",,"true","","false","10","100",,"","","1285","2020-05-11 06:06:48"
"3916008","4e63fd69-6da3-481a-b041-0589ffb2362d","ARM035","11T01",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","ARM","10",,"true","","false","10","100",,"","","1285","2020-05-11 06:06:49"
"3973627","9010a927-4913-4878-86ac-d4c08a10ce3e","POL003","500895",,"Filipendula","vulgaris","MOENCH","","","Filipendula vulgaris MOENCH","POL","60","2009----","false","","false","13","100",,"","","1285","2020-05-11 10:21:44"
"3973933","cb7590b6-1812-4da2-aa69-e6039bd460fa","POL003","500912",,"Ballota","nigra","L.","","","Ballota nigra L.","POL","61","2009----","false","","false","13","100",,"","","1285","2020-05-11 10:22:52"
"3976092","bbd4ef17-9dad-4f6c-966c-ca5b53631243","CZE122","13L1500598",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","CZE",,"2007----","true","","false","10;13","100",,"","","1285","2020-05-11 06:32:05"
"3977114","3697c62e-654f-4091-bfd8-9d133914e261","CZE122","13L1500007",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","CZE",,"2004----","true","","false","10;13","100",,"","","1285","2020-05-11 06:32:21"
"3977974","71dc35db-04dd-4615-bc97-29f694ff2773","CZE122","13L1500510",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","CZE","62","2002----","true","","false","10;13","100",,"","","1285","2020-05-11 06:31:29"
"3978042","5af69f21-6120-4fb5-90e7-0e17f7f10ee2","CZE122","13L1500512",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","CZE","24","2002----","true","","false","10;13","100",,"","","1285","2020-05-11 06:32:52"
"3979113","45d288ab-8aac-4c86-b280-1113658509c5","CZE122","13L1500544",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","CZE","60","1999----","true","","false","10;13","100",,"","","1285","2020-05-11 06:35:24"
"3983064","42c935c2-6b76-4fe0-b8fb-bca62d0db3c2","CZE122","13L1500487",,"Lathyrus","tuberosus","L.","","","Lathyrus tuberosus L.","CZE",,"1997----","true","","false","10;13","100",,"","","1285","2020-05-11 06:31:29"
