"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"93147","","","1760.0",,"",,"0"
"93296","44.79361111","38.55777778","210.0",,"",,"3"
"93385","48.71666667","58.58333333","",,"",,"3"
"93466","42.66388889","77.22611111","1643.0",,"",,"3"
"124751","43.85","87.86666667","1250.0",,"",,"3"
"236679","","","500.0",,"",,"0"
"348038","49.69277778","56.53972222","255.0",,"",,"3"
"426977","43.86666667","86.35","1600.0",,"",,"3"
"442909","","","1459.0",,"",,"0"
"458976","","","350.0",,"",,"0"
"752261","37.9467","70.1927","852.0",,"",,"3"
"3236144","47.6833","19.9667","",,"",,"6"
"3791825","","","1340.0",,"",,"0"
"3914906","","","1845.0",,"",,"0"
"3916008","","","1845.0",,"",,"0"
"3973627","50.806389","20.439722","299.0",,"",,"3"
"3973933","53.329444","14.474444","11.0",,"",,"3"
"3976092","","","250.0",,"",,"0"
"3977114","","","220.0",,"",,"0"
"3977974","49.176111","16.485833","330.0",,"",,"6"
"3978042","49.096944","16.559722","320.0",,"",,"7"
"3979113","48.85","15.963889","400.0",,"",,"6"
"3983064","","","290.0",,"",,"0"
"3983076","","","225.0",,"",,"0"
"4151988","53.329444","14.474444","11.0",,"",,"5"
"4313183","41.8981","44.6625","910.0",,"",,"2"
"4364897","53.18","56.01","187.0",,"",,"2"
"4374976","44.797","40.34","171.0",,"",,"2"
"4396304","53.16","55.6","192.0",,"",,"2"
"4435525","53.34","56.22","234.0",,"",,"2"
"4543138","","","650.0",,"",,"4"
"4543149","","","350.0",,"",,"2"
"4620050","42.03833","43.91917","664.0",,"","GPS","2"
"4620053","41.66","42.97639","1065.0",,"","GPS","2"
"4620063","41.28","43.62389","1922.0",,"","GPS","2"
"4620070","41.61417","43.48611","2065.0",,"","GPS","3"
"4620086","45.07194","9.20611","63.0",,"","Google Earth","2"
"4620100","45.0725","9.20472","63.0",,"","Google Earth","2"
"4620102","44.94444","9.99361","48.0",,"","Google Earth","2"
"4620127","45.07222","9.20556","64.0",,"","GPS","3"
"4624995","40.2","44.63306","1300.0",,"",,"3"
"4625070","41.33167","44.23972","1138.0",,"","GPS","2"
"4625073","41.64889","42.9225","1037.0",,"","GPS","3"
"4625077","41.89083","44.73861","503.0",,"","GPS","3"
"5649884","50.464722","20.589167","236.0",,"",,"3"
"5712813","42.65889","-1.31639","425.0","WGS 84","","GPS","2"
"5712837","41.2575","47.03556","362.0","WGS 84","","GPS","2"
"5712854","40.80833","46.22472","633.0","WGS 84","","GPS","3"
"5712877","40.43028","-1.39583","1070.0","WGS 84","","GPS","3"
"5712887","40.42194","-1.5175","1200.0","WGS 84","","GPS","2"
"5712894","40.38167","-1.51389","1195.0","WGS 84","","GPS","3"
"5712897","40.28778","48.56667","534.0","WGS 84","","GPS","2"
"5712982","40.99167","45.62972","1130.0","WGS 84","","GPS","2"
"5713000","40.6425","48.47417","794.0","WGS 84","","GPS","2"
"5716979","41.262778","47.037222","362.0",,"",,"2"
"5716983","","48.483333","534.0",,"",,"1"
"5716987","40.648611","48.479167","794.0",,"",,"2"
"5716990","","46.2175","633.0",,"",,"0"
"5716993","40.796111","","1130.0",,"",,"1"
"5737693","40.381667","-1.513889","1195.0",,"",,"2"
"5737698","40.430278","-1.395833","1070.0",,"",,"2"
"5737704","42.658889","-1.316389","425.0",,"",,"2"
"5737708","40.421944","-1.5175","1200.0",,"",,"2"
"5757356","44.025","15.655","200.0",,"",,"2"
"5993319","41.07444","43.83194","2000.0",,"",,"2"
"5993320","40.61667","44.91667","2100.0",,"",,"3"
"5993324","40.36667","44.36667","1600.0",,"",,"3"
"6008826","40.9916","45.6297","1130.0",,"",,"0"
"6008840","41.2576","47.0357","362.0",,"",,"0"
"6017444","40.95472","-2.4625","1073.0","WGS 84","","GPS","1"
"6017480","42.365","1.82222","1034.0","WGS 84","","GPS","0"
"6018146","40.45","44.36667","1750.0",,"",,"1"
"6293893","40.954722","-2.4625","1061.0",,"",,"1"
"6293934","42.365","1.822222","1034.0",,"",,"1"
"6378055","41.6599","42.9763","1065.0",,"",,"0"
"6378056","41.6142","43.486","2065.0",,"",,"0"
"6378057","42.0382","43.919","664.0",,"",,"0"
"6378058","41.2799","43.624","1922.0",,"",,"0"
"6378092","44.9446","9.9936","48.0",,"",,"0"
"6378106","45.0725","9.20469","63.0",,"",,"0"
"6378107","45.0721","9.20622","63.0",,"",,"0"
"6378208","41.8908","44.7386","503.0",,"",,"0"
"6378209","41.6489","42.9226","1037.0",,"",,"0"
"6378210","41.3317","44.2398","1138.0",,"",,"0"
"6378241","40.2","44.6333","1300.0",,"",,"0"
"6378274","40.8083","46.2247","633.0",,"",,"0"
"6378276","40.6425","48.4742","794.0",,"",,"0"
"6378279","40.2878","48.5667","534.0",,"",,"0"
"6404862","50.456667","20.795833","279.0",,"",,"0"
"6407070","53.329444","14.474444","11.0",,"",,"0"
"6501868","53.329444","14.474444","11.0",,"",,"0"
"6503560","50.806389","20.439722","299.0",,"",,"0"
