"genesysId","instCode","name","aliasType","lang","version"
"10595",,"NU 45936","ACCENAME",,"0"
"10595",,"1438","OTHERNUMB",,"1"
"10595","USA126","Ames 24429","OTHERNUMB",,"0"
"10595",,"NU 45936","OTHERNUMB",,"0"
"10595",,"1438","COLLNUMB",,"0"
"3136550","DEU001","50345","DONORNUMB",,"0"
"3136550","DEU146","D 8843","OTHERNUMB",,"0"
"3136550","DEU001","50345","OTHERNUMB",,"0"
"3136553","DEU001","50359","DONORNUMB",,"0"
"3136553","DEU146","D 8820","OTHERNUMB",,"0"
"3136553","DEU001","50359","OTHERNUMB",,"0"
"3136555","DEU001","50841","DONORNUMB",,"0"
"3136555","DEU146","D 8486","OTHERNUMB",,"0"
"3136555","DEU001","50841","OTHERNUMB",,"0"
"3136556","DEU001","58511","DONORNUMB",,"0"
"3136556","DEU146","D 8677","OTHERNUMB",,"0"
"3136556","DEU001","58511","OTHERNUMB",,"0"
"3136557","DEU001","50268","DONORNUMB",,"0"
"3136557","DEU146","D 8121","OTHERNUMB",,"0"
"3136557","DEU001","50268","OTHERNUMB",,"0"
"4036637","DEU146","D 8428","OTHERNUMB",,"0"
"4036637","DEU001","51303","OTHERNUMB",,"0"
"4036637","DEU001","51303","DONORNUMB",,"0"
"4036690","DEU146","D 8837","OTHERNUMB",,"0"
"4036690","DEU001","50346","OTHERNUMB",,"0"
"4036690","DEU001","50346","DONORNUMB",,"0"
"5640051",,"LEVISTICUM OFFICINALE","ACCENAME",,"0"
"5640051",,"LEVISTICUM OFFICINALE","DONORNUMB",,"0"
"5735379","DEU146","D 9069","OTHERNUMB",,"0"
"5735379","DEU001","55723","OTHERNUMB",,"0"
"5735379","DEU001","55723","DONORNUMB",,"0"
