"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"20026",,,,"10","Near and around the University of Manila.","1"
"51987",,,,"10","Near St. Cloud, Florida","1"
"67930",,,"1968----","10",,"1"
"83927",,,,"10","Yuba City","1"
"179707",,,,"10","Whites Road, Kalamazoo","1"
"211590",,,,"10",,"0"
"211592",,,"1968----","10",,"1"
"211593",,,,"10","Rue de Sully, Dijon","1"
"243391",,,"1968----","10",,"1"
"275203",,,,"10",,"0"
"306963",,,,"10","Yakima County, Sunnyside","1"
"323174",,,"19950904","10",,"1"
"354523",,,,"10","By Old Mill near the Central Railroad NE of High Bridge NJ","1"
"354530",,,,"10","North side of Jordan Creek, Allentown","1"
"370270",,,"1968----","10","Southern Russia","1"
"402168",,,"199003--","10","Near Sao Roque","1"
"449988",,,,"10","Stream through fairgrounds at Kempton, PA.","1"
"449989",,,,"10","Santa Fe County, near Santa Fe.","1"
"465687",,,"1968----","10",,"1"
"465690",,,,"10","Quendale Bay, Shetland, Scotland","1"
"481688",,,,"10","Greenfield Village, near Dearborn","1"
"497801",,,"19900709","10","Tajikistan Botan. Inst., along an irrigation canal","1"
"3126705",,,,"99",,"1"
"3126772","TUN-93","97","19930515","99","Oase Chenini, Westrand von Gabès, Südtunesien","15"
"3420089",,"00151",,"40","London","10"
"3420092",,"00148",,"40","Moskovskaya obl.","11"
"3420354",,"00022",,"40","Respublika Krim","11"
"3536948","C395","070_CL03","20030902","61","Castilla y Leon, Palencia, Grijota","12"
"3902291",,"01210","19800000","40","L'vivs'ka obl","11"
"3902299",,"01201","19850000","40",,"11"
"3902300",,"01199","19820000","40","Leningradskaya obl.","11"
"3902305",,"01194","19800000","40","KHmel'nits'ka obl","11"
"3902309",,"01186","19750000","40",,"11"
"3902323",,"01167","19790000","40","Kiyivs'ka obl","11"
"3902325",,"01166","19790000","40","KHmel'nits'ka obl","11"
"3902326",,"01165","19790000","40","L'vivs'ka obl","11"
"3902327",,"01164","19790000","40",,"11"
"3902328",,"01163","19790000","40","Kiyiv","11"
"3902329",,"01159","19790000","40",,"11"
"3903289",,"01080","19750000","40",,"11"
"3903290",,"01079","19750000","40",,"11"
"3903302",,"01078","19750000","40",,"11"
"3903347",,"01055","19770000","40","CHernigivs'ka oblast'","11"
"3910014",,"01083","19760000","40","Respublika Krim","11"
"3910015",,"01082","19750000","40","Angliya","11"
"3910016",,"01081","19760000","40","Moskovskaya obl.","11"
"3910060",,"01146","19750000","40","Poltavs'ka obl.","11"
"3912827",,"01141","19750000","40","Kiyivs'ka obl.","11"
"3912828",,"01140","19750000","40",,"11"
"3912831",,"01117","19750000","40",,"11"
"3912833",,"01115","19760000","40","Poltavs'ka obl.","11"
"3912834",,"01114","19750000","40","Poltavs'ka obl.","11"
"3912835",,"01113","19780000","40","Zakarpats'ka obl.","11"
"3912843",,"01105","19750000","40","Kazanlik","11"
"3912844",,"01104","19780000","40","Kiyivs'ka obl.","11"
"3912845",,"01103","19760000","40","Leningradskaya obl.","11"
"3912851",,"01097","19760000","40",,"11"
"3912852",,"01095","19780000","40","CHernigivs'ka oblast'","11"
"3912876",,"00200",,"40",,"10"
"3922471",,"01162","19790000","40",,"11"
"3922472",,"01161","19790000","40",,"11"
"3922473",,"01160","19790000","40",,"11"
