"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"39248",,"M. suaveolens 'Timija'","1964----","","Beni Mallal province, High Altas Mountains, Oued Bougmez. Margin of cultivated land.","0"
"243393",,,,"10","Near Colmar","1"
"395574",,,,"10","Lehigh County, Coopersburg, along a stream just off Route 309.","1"
"2936430",,,,"",,"26"
"3126737",,,,"99",,"1"
"3536585",,"70p","20010907","","Extremadura, Badajoz, Lobon, Guadajira finca La Orden en el canal","11"
"3536600",,"113p","20011004","","Extremadura, Badajoz, Siruela, ermita de Altagracia","12"
"3536965","C395","087_CL03","20030815","61","Castilla y Leon, Burgos, Merindad de Sotoscueva, Butrera","12"
"3537507","C395","029_CL04","20040802","10","Castilla y Leon, Zamora, Gallegos del Rio","12"
"3537545","C395","067_CL04","20040811","10","Castilla y Leon, Salamanca, Villares de Yeltes","12"
"3786862",,,"20080917","10",,"1"
"3822387",,"16","19880823","10",,"2"
"4537317",,"256/10","20100930","10",,"1"
"4540006",,"Co094","20120830","10",,"1"
"4542090",,"Co196","20121011","10",,"1"
"4894623","FRAKORSIKA-2000","13","20000722","10","Korsika, ca. 1 km westlich vonPigna, ca. 2,7 km südöstlich von Algajola; Höhe: ca.100","2"
"5640322",,"LA201309200211",,"23","Ertholmene","11"
"6019136",,"AC_598","20170924","10",,"1"
