"genesysId","instCode","name","aliasType","lang","version"
"39248",,"915","ACCENAME",,"0"
"39248",,"1969-1659","OTHERNUMB",,"0"
"39248",,"M. suaveolens 'Timija'","OTHERNUMB",,"0"
"39248","USA126","CMEN 695","OTHERNUMB",,"0"
"243393",,"M. suaveolens 10016 French rot.","ACCENAME",,"0"
"243393","USA126","M. suaveolens 10016 French rot.","OTHERNUMB",,"0"
"243393","USA126","MINT","OTHERNUMB",,"0"
"243393","USA126","CMEN 8","OTHERNUMB",,"0"
"243393","USA126","10016 French rot","OTHERNUMB",,"0"
"395574",,"M. suaveolens 10084","ACCENAME",,"0"
"395574","USA126","M. suaveolens 10084","OTHERNUMB",,"0"
"395574",,"Applemint","OTHERNUMB",,"0"
"395574","USA126","MINT","OTHERNUMB",,"0"
"395574","USA126","10084","OTHERNUMB",,"0"
"2936430","AUT011","BFLAOE-901466","OTHERNUMB",,"0"
"3126737","DEU001","32703","DONORNUMB",,"0"
"3126737","DEU146","D 8191","OTHERNUMB",,"0"
"3126737","DEU001","32703","OTHERNUMB",,"0"
"3536585",,"Menta de burro","ACCENAME",,"0"
"3536585",,"70p","COLLNUMB",,"0"
"3536600",,"Menta de burro","ACCENAME",,"0"
"3536600",,"113p","COLLNUMB",,"0"
"3536965",,"Mastranzo","ACCENAME",,"0"
"3536965",,"087_CL03","COLLNUMB",,"0"
"3537507",,"Mastranzo","ACCENAME",,"0"
"3537507",,"029_CL04","COLLNUMB",,"0"
"3537545",,"Mastranzo","ACCENAME",,"0"
"3537545",,"067_CL04","COLLNUMB",,"0"
"3822387",,"16","COLLNUMB",,"0"
"4537317",,"256/10","COLLNUMB",,"0"
"4540006",,"Co094","COLLNUMB",,"0"
"4542090",,"Co196","COLLNUMB",,"0"
"4894623","DEU146","D 8000","OTHERNUMB",,"0"
"4894623",,"13","COLLNUMB",,"0"
"5640322",,"Ertholmene LA201309","ACCENAME",,"0"
"5640322",,"LA201309200211","COLLNUMB",,"0"
"6019136",,"AC_598","COLLNUMB",,"0"
