"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"3543401",,,"20080902","",,"11"
"3821711",,"SK 197846","19880826","10",,"1"
"3822193",,"SK 197846","19880825","10",,"2"
"3941955",,,"20091008","60","Gudhjem","13"
"3942144",,,"20091027","60","Hoff kirke","12"
"3942292",,,"20080831","60",,"12"
"3942298",,,"20090816","20","Älmhult","12"
"3942299",,,"20090823","","andrarum","0"
"3977906","CZETROU-99","TROU 56/99","19990907","","NP Podyji, Lukov, meadow at Galis","15"
"3978307","CZEKRK-01","KRK 42/01","20010814","","Krkonose Mts., Strazne, u Stare skoly","15"
"3982975","CZETROU-96","181/96","19960828","13","Orlicke Mts., Serlich, 16 km NE of Dobruska","24"
"4001115",,,"20110901","10","Skrylle, Lund","12"
"4001571",,,"20101001","60","Stenberg","13"
"4283839",,,"20110717","60",,"1"
"4546907",,"43","20130907","10",,"1"
"4550342",,"58","20140828","10",,"1"
"4624400",,"KJW13","20150803","10",,"0"
"5640336",,,"20130924","60","Nørre Vosborg","11"
"6017764",,"HMR40","20170720","10",,"0"
