"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"3543401","bdc86ad8-b80e-4125-8a75-4ba092a7f25b","SWE054","NGB20237",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","ISL",,"20090323","false","","false","13","100",,"","","1285","2020-05-11 11:46:10"
"3821711","6663b779-dfc7-404b-9fdc-cd510cdb2ea5","GBR004","80868",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","GBR",,"19900110","false","false","false","10","110",,"","","4","2020-04-09 09:28:37"
"3822193","fdccbfac-1ed8-42e3-9aa9-22ea9aaeb1ea","GBR004","76043",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","GBR",,"19881121","false","false","false","10","110",,"","","4","2020-04-09 09:28:33"
"3941955","3ffb5126-6086-474b-a69d-84e8c27a8308","SWE054","NGB21853",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","DNK","60","20100423","false","","false","13","100",,"","","1285","2020-05-11 11:44:43"
"3942144","cee2a202-1d6e-404a-8dcd-f87bf0cf1e1d","SWE054","NGB21392",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","NOR","60","20091218","false","","false","13","100",,"","","1285","2020-05-11 11:48:24"
"3942292","53bffd6d-e7d7-49e0-ae6d-32d048dfae9a","SWE054","NGB21100",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","ISL","60","20090916","false","","false","13","100",,"","","1285","2020-05-11 11:47:06"
"3942298","c95e13b7-bb2f-4731-924f-2caa167463a1","SWE054","NGB21089",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","SWE","20","20090911","false","","false","13","100",,"","","1285","2020-05-11 11:46:27"
"3942299","01254ae3-e444-4ebc-9979-ef9ff683676b","SWE054","NGB21088",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","SWE",,"20090911","false","","false","13","100",,"","","1285","2020-05-11 11:46:27"
"3977906","f6deb317-3b98-4394-a72a-bc7cc9468a2e","CZE122","13M1600003",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","CZE",,"2002----","true","","false","10;13","100",,"","","1285","2020-05-11 06:34:51"
"3978307","c5830b43-9c88-4c4d-b094-b1da6365b471","CZE122","13M1600002",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","CZE",,"2001----","true","","false","10;13","100",,"","","1285","2020-05-11 06:36:02"
"3982975","0dd84b37-d875-4d37-bd6e-8ea20250f993","CZE122","13M1600001",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","CZE","13","1997----","true","","false","10;13","100",,"","","1285","2020-05-11 06:32:48"
"4001115","a968b175-8ca0-4d2f-997c-bd059cebc9e9","SWE054","NGB23635",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","SWE","10","20110921","false","","false","13","100",,"","","1285","2020-05-11 11:48:37"
"4001571","4e545854-debe-4630-805e-2c5e5104effc","SWE054","NGB22839",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","NOR","60","20101105","false","","false","13","100",,"","","1285","2020-05-11 11:45:24"
"4283839","a5af186f-64d8-4b44-905b-9fbb017c292b","SWE054","NGB23528",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","SWE",,"20110824","false","","false","13","100","NOR051","2","2014-01-09 23:31:38","1285","2020-05-11 11:47:08"
"4546907","8214afaf-0b76-4c71-9f8d-b962fe9f6538","GBR004","770178",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","ITA",,"20140121","false","false","false","10;40","110",,"4","2015-09-25 14:57:16","4","2020-04-09 09:33:29"
"4550342","ea32a27f-6b52-4073-b869-bc0e6d69ea18","GBR004","815354",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","ITA",,"20150126","false","false","false","10;40","110",,"4","2015-09-25 15:26:46","4","2020-04-09 09:33:49"
"4624400","a5e20044-b817-4c99-b415-d54d2ecb1c2a","GBR004","843135",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","GBR",,"20150805","false","false","false","10","110",,"4","2016-08-05 11:13:52","4","2020-04-09 09:33:59"
"5640336","a161099a-ee36-4d00-89df-628129ec5743","SWE054","NGB24827",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","DNK",,"20131021","false","","false","13","100",,"4","2016-10-28 00:20:13","1285","2020-05-11 11:45:32"
"6017764","a0673383-9118-4c4c-9cfa-8f868dff4f19","GBR004","945039",,"Myrrhis","odorata","(L.) Scop.","","","Myrrhis odorata (L.) Scop.","GBR",,"20170724","false","true","false","10;50","110",,"4","2018-04-16 06:55:58","4","2020-04-09 09:34:38"
