"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"3543401","63.418611","-19.0125","24.0",,"",,"6"
"3821711","","","182.0",,"",,"0"
"3822193","","","170.0",,"",,"0"
"3941955","55.213333","14.968889","",,"",,"6"
"3942144","60.683333","10.833333","",,"",,"6"
"3942292","64.131111","-21.777222","45.0",,"",,"6"
"3942298","56.621944","14.201944","",,"",,"6"
"3942299","55.708611","14.011667","",,"",,"6"
"3977906","","","280.0",,"",,"0"
"3978307","50.677778","15.620556","768.0",,"",,"6"
"3982975","","","1000.0",,"",,"0"
"4001115","55.687778","13.359722","",,"",,"6"
"4001571","60.702778","10.753611","",,"",,"6"
"4283839","55.756944","13.820833","",,"",,"5"
"4546907","","","1200.0",,"",,"0"
"4550342","","","1979.0",,"",,"0"
"4624400","","","86.0",,"",,"0"
"5640336","56.326667","8.329722","7.0",,"",,"2"
"6017764","","","225.0",,"",,"0"
