"genesysId","instCode","name","aliasType","lang","version"
"3543401",,"VIK SS1308","ACCENAME",,"0"
"3821711",,"SK 197846","COLLNUMB",,"0"
"3822193",,"SK 197846","COLLNUMB",,"0"
"3941955",,"GUDHJEM SS1002","ACCENAME",,"0"
"3942144",,"HOFF SS091027","ACCENAME",,"0"
"3942292",,"KALFAMOI AB0601","ACCENAME",,"0"
"3942298",,"RÅSHULT SS0808","ACCENAME",,"0"
"3942299",,"HAGAMÖLLE SS090823","ACCENAME",,"0"
"3977906",,"TROU 56/99","COLLNUMB",,"0"
"3978307",,"KRK 42/01","COLLNUMB",,"0"
"3982975",,"181/96","COLLNUMB",,"0"
"4001115",,"SKRYLLE SS20110901","ACCENAME",,"0"
"4001571",,"STENBERG SS101001","ACCENAME",,"0"
"4283839",,"PUUS INTAGET","ACCENAME",,"0"
"4546907",,"43","COLLNUMB",,"0"
"4550342",,"58","COLLNUMB",,"0"
"4624400",,"KJW13","COLLNUMB",,"0"
"5640336",,"NØRRE VOSBORG SS20130924","ACCENAME",,"0"
"6017764",,"HMR40","COLLNUMB",,"0"
