"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"2936307","862dec8e-719b-422d-85ce-074692381671","AUT001","BVAL-901661",,"Nasturtium","officinale","R.Br.","","","Nasturtium officinale R.Br.","AUT",,"20050411","false","","false","13","100",,"","","1285","2020-05-11 06:07:37"
"3126551","59076ce3-e05d-4eb2-b91a-ca5ee21a5fcd","DEU146","NAS 3","10.25642/IPK/GBIS/46815","Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","MAR",,"1976----","false","","false","13","100",,"","","1285","2020-05-11 06:42:28"
"3126553","12f39f96-ae89-4dc2-ba53-a2669ae831ba","DEU146","NAS 12","10.25642/IPK/GBIS/263053","Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ITA",,"2001----","false","","false","13;20","120","NOR051","","","1285","2020-05-11 06:40:40"
"3247725","9d2bec90-7128-4478-90c2-8199d8a77591","HUN003","RCAT043043",,"Nasturtium","officinale","R. Br.","","","Nasturtium officinale R. Br.","HUN","10","19910000","","","false","12","100",,"","","1285","2020-05-11 09:50:28"
"3523973","9df1f2f0-56df-4ee0-9ef7-a3e717bfdab5","ESP003","NC060605",,"Nasturtium","officinale","W. T. Aiton","","","Nasturtium officinale W. T. Aiton","MAR",,"1998----","false","","false","13","100","ESP004","","","1285","2020-05-11 07:08:24"
"3795862","5bfdf91d-90ce-4a2a-9ab8-88a8d6d97d13","GBR004","376813",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","USA",,"20070225","false","false","false","10","110",,"","","4","2020-04-09 09:30:49"
"3810987","ee7c07ac-4f8f-4172-893a-032eb634c6f6","GBR004","200361",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","JOR",,"20030908","false","false","false","10","110",,"","","4","2020-04-09 09:29:31"
"3810993","802f5619-c2ba-489a-8b08-63aa07f4e1ce","GBR004","200327",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","JOR",,"20030908","false","false","false","10","110",,"","","4","2020-04-09 09:29:31"
"3822186","6488edea-85ff-4f1e-abdc-0373e1922006","GBR004","70959",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","GBR",,"19881123","false","false","false","10;40","110",,"","","4","2020-04-09 09:28:33"
"3902922","0b2544fd-b5b2-49fa-ab65-255092bcc89c","UKR021","UT6700001",,"Nasturtium","officinale","R. Br.","","","Nasturtium officinale R. Br.","UKR","40",,"","","false","12","110",,"","","1285","2020-05-11 12:03:11"
"4876542","ce63881c-72c2-43cd-9f16-f13ba3668953","AZE004","AzGR-4327",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","AZE",,"19540811","","","false",,"100",,"4","2016-10-27 18:37:02","1285","2020-05-11 06:08:49"
"4890850","d47f9def-e25a-4041-916a-e0e31ba16d02","DEU022","NO-01-0140-2013",,"Nasturtium","officinale","R. Br.","","","Nasturtium officinale R. Br.","DEU",,"2013----","false","","false","10","100","DEU502","4","2016-10-27 19:20:26","1285","2020-05-11 06:36:23"
"4897072","47d705c1-b2cf-414c-b93f-3b3d3e55d8ec","DEU515","SO-05-1034-2013",,"Nasturtium","officinale","R.Br.","","","Nasturtium officinale R.Br.","DEU",,"2013----","false","","false","10","100","DEU502","4","2016-10-27 19:58:01","1285","2020-05-11 07:07:03"
"4911032","6a9beb45-2c16-40ea-9cad-ac92666aafec","DEU626","SW-05-0263-2012",,"Nasturtium","officinale","R. Br.","","","Nasturtium officinale R. Br.","DEU",,"2012----","false","","false","10","100","DEU502","4","2016-10-27 20:00:02","1285","2020-05-11 07:07:54"
"4911095","ab3716fd-4803-4d35-818b-1619ffeaf592","DEU626","SW-05-0338-2012",,"Nasturtium","officinale","R. Br.","","","Nasturtium officinale R. Br.","DEU",,"2012----","false","","false","10","100","DEU502","4","2016-10-27 20:00:02","1285","2020-05-11 07:07:38"
"4911108","3e0f1812-1286-4612-99ae-3aeb128442e4","DEU626","SW-03-0420-2012",,"Nasturtium","officinale","R. Br.","","","Nasturtium officinale R. Br.","DEU",,"2012----","false","","false","10","100","DEU502","4","2016-10-27 20:00:02","1285","2020-05-11 07:07:50"
"4916994","c9a52448-5ec9-4f52-8cb9-b1edcebc1278","ESP027","NC105170",,"Nasturtium","officinale","W. T. Aiton","","","Nasturtium officinale W. T. Aiton","ESP",,"20150609","true","","false","13","100","ESP004","4","2016-10-27 20:12:30","1285","2020-05-11 07:18:29"
"4917009","6aaef3e4-4a9f-4443-b5ab-415927e4b1d7","ESP027","NC105161",,"Nasturtium","officinale","W. T. Aiton","","","Nasturtium officinale W. T. Aiton","ESP",,"20150609","true","","false","13","100","ESP004","4","2016-10-27 20:12:30","1285","2020-05-11 07:18:08"
"5618774","2e7e38a5-db6b-4fd8-92de-00a3f633bbba","ISR002","23774",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20100721","","","false",,"110",,"4","2016-10-28 00:00:24","1285","2020-05-11 10:00:26"
"5618776","c2290bea-48cd-4b06-8b51-31d64ef8e5a8","ISR002","21408",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20080723","","","false","13","100","GBR004","4","2016-10-28 00:00:24","1285","2020-05-11 10:01:15"
"5618777","2a8aa411-fbf9-49f8-b483-f3d4a8dac3c6","ISR002","20443",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20070820","","","false","13","100","GBR004","4","2016-10-28 00:00:24","1285","2020-05-11 10:01:05"
"5618779","648de385-fd8f-4ac2-871a-9f603e7dc3e3","ISR002","23039",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20090716","","","false","13","110","GBR004","4","2016-10-28 00:00:24","1285","2020-05-11 10:01:01"
"5618780","05549828-ecba-4e46-920a-e766808137db","ISR002","19430",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20060604","","","false",,"100",,"4","2016-10-28 00:00:24","1285","2020-05-11 10:01:15"
"5618781","01fb0b8e-1a26-4a3e-8836-64abab99d30b","ISR002","23773",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20100720","","","false","13","110","GBR004","4","2016-10-28 00:00:24","1285","2020-05-11 10:00:36"
