"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"2936307","47.866667","14.166667","500.0",,"",,"4"
"3247725","47.7","19.1333","",,"",,"6"
"3523973","33.983333","-3.05","",,"",,"6"
"3795862","","","77.0",,"",,"0"
"3810987","","","975.0",,"",,"0"
"3810993","","","749.0",,"",,"0"
"3822186","","","56.0",,"",,"0"
"4916994","40.371944","-1.5775","1310.0",,"",,"2"
"4917009","40.934444","-0.105833","499.0",,"",,"2"
"5618774","32.540833","35.061944","128.0",,"",,"2"
"5618776","31.810556","34.853889","74.0",,"",,"2"
"5618777","33.2275","35.561944","390.0",,"",,"2"
"5618779","32.998889","35.823056","770.0",,"",,"2"
"5618780","32.559167","35.348889","60.0",,"",,"2"
"5618781","32.601667","35.0575","157.0",,"",,"2"
"5618784","32.549167","34.953056","65.0",,"",,"2"
"5618785","32.632222","35.288333","65.0",,"",,"2"
"5618788","32.559722","35.352778","-17.0",,"",,"2"
"5618790","32.667222","35.427222","32.0",,"",,"2"
"5618791","32.632222","35.1125","98.0",,"",,"2"
"5618794","32.158333","35.107778","228.0",,"",,"2"
"5618801","31.996667","35.100833","310.0",,"",,"2"
"5618802","32.503611","35.002222","75.0",,"",,"2"
"5618803","32.583889","35.043056","100.0",,"",,"2"
"5618805","31.895278","35.236111","717.0",,"",,"2"
"5618807","32.939722","35.428333","459.0",,"",,"2"
"5618809","32.9225","35.849444","650.0",,"",,"2"
"5618810","33.199722","35.574722","90.0",,"",,"2"
"5618811","31.818611","34.995833","232.0",,"",,"2"
"5618812","33.019167","35.574444","170.0",,"",,"2"
"5618816","32.118333","35.255278","613.0",,"",,"2"
"5618818","32.491111","34.9925","39.0",,"",,"2"
"5618820","32.823889","35.517778","-211.0",,"",,"2"
"5618821","33.252222","35.651944","196.0",,"",,"2"
"5618822","32.673611","35.134444","26.0",,"",,"2"
"5676635","40.733333","46.633333","276.0",,"",,"2"
"6556338","","","390.0",,"",,"0"
"6556521","","","80.0",,"",,"0"
"6556567","","","140.0",,"",,"0"
"6556618","","","232.0",,"",,"0"
"6556827","","","74.0",,"",,"0"
"6557020","","","65.0",,"",,"0"
"6557271","","","65.0",,"",,"0"
"6557315","","","770.0",,"",,"0"
"6557448","","","100.0",,"",,"0"
"6557547","","","310.0",,"",,"0"
"6558008","","","196.0",,"",,"0"
"6558034","","","170.0",,"",,"0"
"6558821","","","157.0",,"",,"0"
"6558880","","","717.0",,"",,"0"
