"genesysId","instCode","name","aliasType","lang","version"
"3126551","DEU146","K 4184","OTHERNUMB",,"0"
"3126553","DEU146","K 10600","OTHERNUMB",,"0"
"3247725",,"felsôgödi (gödi) ökotipus","ACCENAME",,"0"
"3247725","HUN003","039716","OTHERNUMB",,"0"
"3247725",,"05027/91","COLLNUMB",,"0"
"3795862",,"NSGB-0152","COLLNUMB",,"0"
"3810987",,"2003JOR 30-1","COLLNUMB",,"0"
"3810993",,"2003JOR 28-1","COLLNUMB",,"0"
"3822186",,"152","COLLNUMB",,"0"
"3902922",,"00001","COLLNUMB",,"0"
"4876542",,"Derman aji giji","ACCENAME",,"0"
"4876542","AZE004","DERMAN-87","OTHERNUMB",,"0"
"4876542","AZE015","SEYYARE-87","OTHERNUMB",,"0"
"4876542",,"SEYYARE-87","COLLNUMB",,"0"
"4890850",,"NO-01-0140-2013","COLLNUMB",,"0"
"4897072",,"SO-05-1034-2013","COLLNUMB",,"0"
"4911032",,"SW-05-0263-2012","COLLNUMB",,"0"
"4911095",,"SW-05-0338-2012","COLLNUMB",,"0"
"4911108",,"SW-03-0420-2012","COLLNUMB",,"0"
"4916994",,"Berros","ACCENAME",,"0"
"4916994",,"4374","COLLNUMB",,"0"
"4917009",,"Berro","ACCENAME",,"0"
"4917009",,"4161","COLLNUMB",,"0"
"5618774",,"Naof0301160610","COLLNUMB",,"0"
"5618776",,"Naof0301230608","COLLNUMB",,"0"
"5618777",,"Naof0201040607","COLLNUMB",,"0"
"5618779",,"Naof0301130609","COLLNUMB",,"0"
"5618780",,"Naof-5-23","COLLNUMB",,"0"
"5618781",,"Naof0201160610","COLLNUMB",,"0"
"5618784",,"Naof0101060509","COLLNUMB",,"0"
"5618785",,"Naof0801070608","COLLNUMB",,"0"
"5618788",,"Naof-5-21","COLLNUMB",,"0"
"5618790",,"Naof0501070608","COLLNUMB",,"0"
"5618791",,"Naof0801160610","COLLNUMB",,"0"
"5618794",,"Naof0101110412","COLLNUMB",,"0"
"5618801",,"Naof0101020510","COLLNUMB",,"0"
"5618802",,"Naof0301040607","COLLNUMB",,"0"
"5618803",,"Naof-5-22","COLLNUMB",,"0"
"5618805",,"Naof0201270414","COLLNUMB",,"0"
"5618807",,"Naof0101180611","COLLNUMB",,"0"
"5618809",,"Naof0201030610","COLLNUMB",,"0"
"5618810",,"Naof0201130512","COLLNUMB",,"0"
"5618811",,"Naof0101280507","COLLNUMB",,"0"
"5618812",,"Naof0602250612","COLLNUMB",,"0"
"5618816",,"Naof0101280411","COLLNUMB",,"0"
"5618818",,"Naof0101040607","COLLNUMB",,"0"
"5618820",,"Naof0701230412","COLLNUMB",,"0"
"5618821",,"Naof0201140512","COLLNUMB",,"0"
"5618822",,"Naof0701300408","COLLNUMB",,"0"
"5676635",,"Sutarasi","ACCENAME",,"0"
"5676635","AZE014","170-Na","OTHERNUMB",,"0"
"5676635","AZE015","SHA70","OTHERNUMB",,"0"
"5676635",,"SHA70","COLLNUMB",,"0"
"6420617",,"2003JOR30-1","COLLNUMB",,"0"
"6420641",,"2003JOR28-1","COLLNUMB",,"0"
"6556338",,"Naof0201040607","COLLNUMB",,"0"
"6556521",,"Naof622040706","COLLNUMB",,"0"
"6556567",,"Naof621220606","COLLNUMB",,"0"
"6556618",,"Naof0101280507","COLLNUMB",,"0"
"6556827",,"Naof0301230608","COLLNUMB",,"0"
"6557020",,"Naof0801070608","COLLNUMB",,"0"
"6557271",,"Naof0101060509","COLLNUMB",,"0"
"6557315",,"Naof0301130609","COLLNUMB",,"0"
"6557448",,"Naof-5-22","COLLNUMB",,"0"
"6557522",,"Naof-5-21","COLLNUMB",,"0"
"6557547",,"Naof0101020510","COLLNUMB",,"0"
"6558008",,"Naof0201140512","COLLNUMB",,"0"
"6558034",,"Naof0602250612","COLLNUMB",,"0"
"6558821",,"Naof0201160610","COLLNUMB",,"0"
"6558880",,"Naof0201270414","COLLNUMB",,"0"
