"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"8384","9e968ddf-9557-403f-8389-dde33136e963","USA020","PI 636381",,"Origanum","vulgare","L.","","","Origanum vulgare L.","POL","10","19910816","","true","false","10","100","USA005","","","","2014-07-23 17:17:20"
"10508","4188e57f-4950-44ae-b8d0-9316055b561b","USA020","PI 633643",,"Origanum","vulgare","L.","","","Origanum vulgare L.","ALB","10","19960930","","false","false","10","100","USA005","","","","2014-07-23 10:25:23"
"42497","3841ce45-55a6-4040-93b8-26497d7a9ffe","USA020","PI 603145",,"Origanum","vulgare","L.","","","Origanum vulgare L.","KAZ","10","19970625","","true","false","10;20","100","USA005","","","","2014-07-23 15:15:18"
"95936","2a0db9fb-7324-4fe8-bcd6-992be76d7458","USA020","PI 593731",,"Origanum","vulgare","L.","subsp. vulgare","","Origanum vulgare L. subsp. vulgare","CZE","10","19900316","","true","false","10","100","USA005","","","","2014-07-23 11:47:06"
"144130","cfabbeb6-b18d-4ded-89fc-68b3930d2f8e","USA020","PI 649692",,"Origanum","vulgare","L.","subsp. vulgare","","Origanum vulgare L. subsp. vulgare","UKR","10","19920929","","true","false","10","100","USA005","","","","2014-07-23 19:35:19"
"152176","d6a6aea5-4c95-4a54-9337-282c80363a8a","USA020","PI 593738",,"Origanum","vulgare","L.","","","Origanum vulgare L.","CHN","10","19940621","","true","false","10","100","USA005","","","","2014-07-23 11:28:02"
"207819","826604c3-0b3e-414a-9837-587f4264c38e","USA020","PI 649693",,"Origanum","vulgare","L.","subsp. vulgare","","Origanum vulgare L. subsp. vulgare","DEU","10","19930707","","true","false","10","100","USA005","","","","2014-07-23 11:50:12"
"265652","fff48505-a62e-4145-8e11-cd6468786467","USA020","PI 636383",,"Origanum","vulgare","L.","","","Origanum vulgare L.","FRA","10","19980511","","true","false","10","100","USA005","","","","2014-07-23 12:52:20"
"292392","1188ff9b-0891-4ffc-9262-262b841bdc5b","USA020","PI 649694",,"Origanum","vulgare","L.","subsp. vulgare","","Origanum vulgare L. subsp. vulgare","POL","10","20020920","","true","false","10","100","USA005","","","","2014-07-23 17:17:35"
"295255","3a40ec62-fc04-4d61-8653-d8b59fe2dc54","USA020","PI 636382",,"Origanum","vulgare","L.","","","Origanum vulgare L.","CHE","10","19930520","","true","false","10","100","USA005","","","","2014-07-23 11:11:45"
"339342","aeed11d2-247f-462a-9260-e7748aae59d5","USA020","Ames 24696",,"Origanum","vulgare","L.","subsp. virens","(Hoffmanns. & Link) Ietsw.","Origanum vulgare L. subsp. virens (Hoffmanns. & Link) Ietsw.","PRT","10","19980602","","false","false","10","100",,"","","","2014-07-23 17:32:56"
"408689","8a1eb8f0-10d6-4622-8d8f-7fac0919c6d7","USA020","PI 636384",,"Origanum","vulgare","L.","","","Origanum vulgare L.","FRA","10","19980511","","true","false","10","100","USA005","","","","2014-07-23 12:52:32"
"434725","eedcddcc-b5ba-452b-a9ed-86eb60e3cdd4","USA020","PI 636385",,"Origanum","vulgare","L.","subsp. vulgare","","Origanum vulgare L. subsp. vulgare","HUN","10","19980602","","true","false","10","100","USA005","","","","2014-07-23 13:26:01"
"2936308","ece7c2c2-9bc7-4c21-a4d3-764ebc5a8780","AUT001","BVAL-901660",,"Origanum","vulgare","L.","","","Origanum vulgare L.","AUT",,"20040921","false","","false","13;20","100","NOR051","","","1285","2020-05-11 06:07:08"
